Subtotal Area	DEANNA LORRAINE	JOHN DENNIS	NANCY PELOSI	AGATHA BACELAR	SHAHID BUTTAR	TOM GALLAGHER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7645 - Election Day	4	4	70	2	7	3	61	96	0	0	6	90	0
Precinct 7645	9	41	278	8	19	6	656	382	0	1	20	361	0
Precinct 7646 - Vote By Mail	7	36	369	4	33	12	1,032	485	0	0	24	461	0
Precinct 7646 - Election Day	1	9	132	0	23	2	121	179	0	0	11	168	1
Precinct 7646	8	45	501	4	56	14	1,153	664	0	0	35	629	1
Precinct 7647 - Vote By Mail	1	10	143	10	24	14	724	211	0	2	7	202	0
Precinct 7647 - Election Day	5	2	72	2	16	12	263	117	0	0	7	110	1
Precinct 7647	6	12	215	12	40	26	987	328	0	2	14	312	1
Precinct 7648 MB - Vote By Mail	0	0	1	0	0	0	2	1	0	0	0	1	0
Precinct 7648 MB	0	0	1	0	0	0	2	1	0	0	0	1	0
Precinct 7649 - Vote By Mail	10	24	193	7	27	10	723	286	0	0	15	271	0
Precinct 7649 - Election Day	5	3	75	2	16	4	177	108	0	1	2	105	0
Precinct 7649	15	27	268	9	43	14	900	394	0	1	17	376	0
Precinct 7651 - Vote By Mail	9	19	243	5	33	6	834	332	0	0	17	315	0
Precinct 7651 - Election Day	1	8	82	8	6	0	113	110	0	0	5	105	0
Precinct 7651	10	27	325	13	39	6	947	442	0	0	22	420	0
Precinct 7652 - Vote By Mail	2	17	153	1	20	3	535	208	0	0	12	196	0
Precinct 7652 - Election Day	1	4	66	7	11	4	100	98	0	0	5	93	0
Precinct 7652	3	21	219	8	31	7	635	306	0	0	17	289	0
Precinct 7653 - Vote By Mail	3	24	240	8	28	5	750	335	0	0	27	308	0
Precinct 7653 - Election Day	1	6	71	0	4	4	89	95	0	0	8	87	1
Precinct 7653	4	30	311	8	32	9	839	430	0	0	35	395	1
Precinct 7654 - Vote By Mail	5	8	145	2	20	2	413	191	0	0	9	182	0
Precinct 7654 - Election Day	0	3	69	2	9	1	53	91	0	0	7	84	0
Precinct 7654	5	11	214	4	29	3	466	282	0	0	16	266	0
Precinct 7655 - Vote By Mail	3	16	151	5	21	4	583	215	0	0	15	200	0
Precinct 7655 - Election Day	1	3	64	3	5	1	96	84	0	0	7	77	0
Precinct 7655	4	19	215	8	26	5	679	299	0	0	22	277	0
Precinct 7656 - Vote By Mail	2	37	228	4	12	5	603	308	0	0	20	288	0
Precinct 7656 - Election Day	1	11	49	0	2	0	35	67	0	0	4	63	0
Precinct 7656	3	48	277	4	14	5	638	375	0	0	24	351	0
Precinct 7657 - Vote By Mail	6	16	209	4	17	2	561	269	0	0	15	254	0
Precinct 7657 - Election Day	0	4	70	1	6	1	37	89	0	0	7	82	0
Precinct 7657	6	20	279	5	23	3	598	358	0	0	22	336	0
Precinct 7701 - Vote By Mail	8	34	338	8	59	11	868	481	0	2	21	458	0
Precinct 7701 - Election Day	1	17	125	2	19	5	196	175	0	0	6	169	0
Precinct 7701	9	51	463	10	78	16	1,064	656	0	2	27	627	0
Precinct 7702 - Vote By Mail	2	48	283	2	25	3	623	377	0	0	14	363	0
Precinct 7702 - Election Day	4	9	75	0	11	1	133	107	0	0	7	100	0
Precinct 7702	6	57	358	2	36	4	756	484	0	0	21	463	0
Precinct 7703 MB - Vote By Mail	5	2	54	0	2	4	187	71	0	0	4	67	0
Precinct 7703 MB - Election Day	0	0	0	0	0	0	-13	0	0	0	0	0	0
Precinct 7703 MB	5	2	54	0	2	4	174	71	0	0	4	67	0
Precinct 7704 - Vote By Mail	9	63	348	5	32	8	798	490	0	0	25	465	0
Precinct 7704 - Election Day	4	14	130	5	12	3	204	175	0	0	7	168	0
Precinct 7704	13	77	478	10	44	11	1,002	665	0	0	32	633	0
Precinct 7705 - Vote By Mail	12	30	215	1	12	3	470	285	0	0	12	273	0
Precinct 7705 - Election Day	1	7	88	0	9	0	125	110	0	0	5	105	0
Precinct 7705	13	37	303	1	21	3	595	395	0	0	17	378	0
Precinct 7706 - Vote By Mail	9	49	321	6	28	6	687	447	0	2	26	419	0
Precinct 7706 - Election Day	5	15	126	4	9	2	179	163	0	0	2	161	0
Precinct 7706	14	64	447	10	37	8	866	610	0	2	28	580	0
Precinct 7707 - Vote By Mail	5	22	344	2	31	9	683	432	0	0	19	413	0
Precinct 7707 - Election Day	4	16	134	4	14	3	189	179	0	1	3	175	0
Precinct 7707	9	38	478	6	45	12	872	611	0	1	22	588	0
Precinct 7708 - Vote By Mail	5	47	350	2	31	7	710	462	0	1	19	442	0
Precinct 7708 - Election Day	1	10	123	2	10	3	165	154	0	1	4	149	0
Precinct 7708	6	57	473	4	41	10	875	616	0	2	23	591	0
Precinct 7709 - Vote By Mail	0	13	146	1	23	2	324	194	0	0	9	185	0
Precinct 7709 - Election Day	1	5	69	0	11	2	82	90	0	0	2	88	0
Precinct 7709	1	18	215	1	34	4	406	284	0	0	11	273	0
Precinct 7711 - Vote By Mail	6	23	285	3	34	9	658	379	0	2	17	360	0
Precinct 7711 - Election Day	1	5	89	1	21	6	153	126	0	0	3	123	0
Precinct 7711	7	28	374	4	55	15	811	505	0	2	20	483	0
Precinct 7712 - Vote By Mail	7	25	161	2	46	3	425	258	0	0	14	244	0
Precinct 7712 - Election Day	1	5	72	2	22	2	107	109	0	0	5	104	0
Precinct 7712	8	30	233	4	68	5	532	367	0	0	19	348	0
Precinct 7801 - Vote By Mail	4	34	368	1	45	5	823	479	0	2	20	457	0
Precinct 7801 - Election Day	3	10	154	4	19	2	151	196	0	0	4	192	0
Precinct 7801	7	44	522	5	64	7	974	675	0	2	24	649	0
Precinct 7802 - Vote By Mail	1	18	307	2	48	4	646	402	0	1	21	380	0
Precinct 7802 - Election Day	1	2	127	1	26	0	152	160	0	0	3	157	0
Precinct 7802	2	20	434	3	74	4	798	562	0	1	24	537	0
Precinct 7803 - Vote By Mail	6	16	387	2	43	4	718	476	0	0	18	458	0
Precinct 7803 - Election Day	1	5	101	0	13	1	113	129	0	0	7	122	1
Precinct 7803	7	21	488	2	56	5	831	605	0	0	25	580	1
Precinct 7804 - Vote By Mail	2	11	388	5	37	4	734	463	0	0	16	447	0
Precinct 7804 - Election Day	3	2	140	1	21	4	151	182	0	0	11	171	0
Precinct 7804	5	13	528	6	58	8	885	645	0	0	27	618	0
Precinct 7805 - Vote By Mail	2	10	322	4	43	7	644	400	0	0	12	388	0
Precinct 7805 - Election Day	0	4	117	1	26	1	156	157	0	0	8	149	0
Precinct 7805	2	14	439	5	69	8	800	557	0	0	20	537	0
Precinct 7806 - Vote By Mail	3	14	265	5	57	3	602	361	0	0	14	347	0
Precinct 7806 - Election Day	1	3	116	1	24	0	153	154	0	0	9	145	0
Precinct 7806	4	17	381	6	81	3	755	515	0	0	23	492	0
Precinct 7807 - Vote By Mail	1	9	273	4	59	5	642	363	0	0	12	351	0
Precinct 7807 - Election Day	0	3	128	3	30	2	185	176	0	0	9	167	1
Precinct 7807	1	12	401	7	89	7	827	539	0	0	21	518	1
Precinct 7808 - Vote By Mail	4	9	224	5	40	3	525	296	0	0	11	285	0
Precinct 7808 - Election Day	0	2	105	3	14	0	129	132	0	0	8	124	0
Precinct 7808	4	11	329	8	54	3	654	428	0	0	19	409	0
Precinct 7809 - Vote By Mail	4	10	264	4	53	4	624	351	0	1	11	339	0
Precinct 7809 - Election Day	1	1	113	0	16	2	140	137	0	0	4	133	0
Precinct 7809	5	11	377	4	69	6	764	488	0	1	15	472	0
Precinct 7811 - Vote By Mail	5	8	202	9	80	3	582	311	0	0	4	307	0
Precinct 7811 - Election Day	2	3	102	3	40	2	176	157	0	0	5	152	0
Precinct 7811	7	11	304	12	120	5	758	468	0	0	9	459	0
Precinct 7812 - Vote By Mail	6	13	276	5	54	0	680	369	0	2	13	354	0
Precinct 7812 - Election Day	3	8	117	3	29	1	217	168	0	0	7	161	0
Precinct 7812	9	21	393	8	83	1	897	537	0	2	20	515	0
Precinct 7813 - Vote By Mail	1	12	346	7	97	5	843	483	0	1	14	468	0
Precinct 7813 - Election Day	0	7	169	0	34	2	225	217	0	0	5	212	0
Precinct 7813	1	19	515	7	131	7	1,068	700	0	1	19	680	0
Precinct 7814 - Vote By Mail	2	11	184	5	59	6	660	281	0	2	12	267	0
Precinct 7814 - Election Day	2	4	67	4	27	5	241	120	0	0	11	109	0
Precinct 7814	4	15	251	9	86	11	901	401	0	2	23	376	0
Precinct 7815 - Vote By Mail	1	7	394	4	30	9	749	465	0	0	20	445	0
Precinct 7815 - Election Day	3	4	152	2	14	1	168	181	0	0	5	176	0
Precinct 7815	4	11	546	6	44	10	917	646	0	0	25	621	0
Precinct 7816 - Vote By Mail	3	6	400	3	43	4	724	472	0	1	12	459	0
Precinct 7816 - Election Day	0	3	125	1	13	3	148	151	0	0	6	145	0
Precinct 7816	3	9	525	4	56	7	872	623	0	1	18	604	0
Precinct 7817 - Vote By Mail	1	5	320	1	60	3	652	396	0	0	6	390	0
Precinct 7817 - Election Day	0	5	132	1	38	4	186	185	0	0	5	180	0
Precinct 7817	1	10	452	2	98	7	838	581	0	0	11	570	0
Precinct 7818 - Vote By Mail	1	8	288	1	76	2	668	393	0	0	17	376	0
Precinct 7818 - Election Day	2	2	112	2	28	0	171	150	0	0	4	146	0
Precinct 7818	3	10	400	3	104	2	839	543	0	0	21	522	0
Precinct 7819 - Vote By Mail	6	13	264	4	45	9	635	352	0	0	11	341	0
Precinct 7819 - Election Day	0	3	69	1	15	1	139	91	0	0	1	90	1
Precinct 7819	6	16	333	5	60	10	774	443	0	0	12	431	1
Precinct 7821 - Vote By Mail	5	19	413	4	60	3	806	519	0	1	14	504	0
Precinct 7821 - Election Day	0	0	151	1	20	9	170	190	0	0	9	181	0
Precinct 7821	5	19	564	5	80	12	976	709	0	1	23	685	0
Precinct 7822 - Vote By Mail	3	12	304	4	50	3	673	395	0	0	19	376	0
Precinct 7822 - Election Day	5	2	171	3	33	2	219	224	0	0	8	216	0
Precinct 7822	8	14	475	7	83	5	892	619	0	0	27	592	0
Precinct 7823 - Vote By Mail	5	9	328	3	50	6	706	410	0	0	9	401	0
Precinct 7823 - Election Day	1	0	159	3	23	0	177	189	0	0	3	186	0
Precinct 7823	6	9	487	6	73	6	883	599	0	0	12	587	0
Precinct 7824 - Vote By Mail	4	16	242	6	51	2	615	335	0	0	14	321	0
Precinct 7824 - Election Day	0	1	122	0	24	1	153	158	0	0	10	148	0
Precinct 7824	4	17	364	6	75	3	768	493	0	0	24	469	0
Precinct 7825 - Vote By Mail	1	5	200	1	36	6	457	252	0	0	3	249	0
Precinct 7825 - Election Day	2	4	94	1	28	1	151	132	0	0	2	130	0
Precinct 7825	3	9	294	2	64	7	608	384	0	0	5	379	0
Precinct 7826 - Vote By Mail	2	9	189	4	51	4	486	263	0	0	4	259	0
Precinct 7826 - Election Day	1	2	123	3	30	0	204	163	0	0	4	159	0
Precinct 7826	3	11	312	7	81	4	690	426	0	0	8	418	0
Precinct 7827 - Vote By Mail	4	13	210	4	76	2	607	318	0	1	8	309	0
Precinct 7827 - Election Day	0	3	93	0	42	2	219	147	0	0	7	140	0
Precinct 7827	4	16	303	4	118	4	826	465	0	1	15	449	0
Precinct 7828 - Vote By Mail	2	18	386	9	42	6	857	478	0	1	14	463	0
Precinct 7828 - Election Day	2	9	140	1	20	2	171	183	0	0	8	175	1
Precinct 7828	4	27	526	10	62	8	1,028	661	0	1	22	638	1
Precinct 7829 - Vote By Mail	5	26	380	7	28	6	742	466	0	1	13	452	0
Precinct 7829 - Election Day	0	3	121	5	16	1	149	151	0	0	5	146	0
Precinct 7829	5	29	501	12	44	7	891	617	0	1	18	598	0
Precinct 7831 - Vote By Mail	1	16	387	4	55	2	763	485	0	0	20	465	0
Precinct 7831 - Election Day	2	2	113	3	16	2	139	139	0	0	1	138	0
Precinct 7831	3	18	500	7	71	4	902	624	0	0	21	603	0
Precinct 7832 - Vote By Mail	0	17	336	3	39	5	663	413	0	1	12	400	0
Precinct 7832 - Election Day	4	3	95	0	22	1	118	128	0	0	3	125	0
Precinct 7832	4	20	431	3	61	6	781	541	0	1	15	525	0
Precinct 7833 - Vote By Mail	5	7	274	3	44	2	587	343	0	0	8	335	0
Precinct 7833 - Election Day	1	4	110	1	26	1	146	146	0	0	3	143	0
Precinct 7833	6	11	384	4	70	3	733	489	0	0	11	478	0
Precinct 7834 - Vote By Mail	4	5	262	9	61	11	700	375	0	0	23	352	0
Precinct 7834 - Election Day	1	6	110	4	47	5	194	179	0	0	5	174	1
Precinct 7834	5	11	372	13	108	16	894	554	0	0	28	526	1
Precinct 7835 - Vote By Mail	3	24	342	5	33	5	721	428	0	0	16	412	0
Precinct 7835 - Election Day	1	3	110	3	20	7	142	148	0	0	4	144	0
Precinct 7835	4	27	452	8	53	12	863	576	0	0	20	556	0
Precinct 7836 - Vote By Mail	6	30	390	6	48	7	850	505	0	0	18	487	0
Precinct 7836 - Election Day	1	10	123	3	19	4	193	171	0	0	11	160	0
Precinct 7836	7	40	513	9	67	11	1,043	676	0	0	29	647	0
Precinct 7837 - Vote By Mail	0	19	340	10	34	5	718	424	0	0	16	408	0
Precinct 7837 - Election Day	1	8	166	2	18	3	205	202	0	0	4	198	0
Precinct 7837	1	27	506	12	52	8	923	626	0	0	20	606	0
Precinct 7838 - Vote By Mail	1	25	401	6	43	2	752	493	0	1	14	478	0
Precinct 7838 - Election Day	0	4	132	2	13	1	143	158	0	0	6	152	0
Precinct 7838	1	29	533	8	56	3	895	651	0	1	20	630	0
Precinct 7839 - Vote By Mail	2	29	354	1	47	5	731	456	0	1	17	438	0
Precinct 7839 - Election Day	1	6	109	0	18	1	130	140	0	0	5	135	0
Precinct 7839	3	35	463	1	65	6	861	596	0	1	22	573	0
Precinct 7841 - Vote By Mail	5	15	365	4	47	3	752	458	0	1	18	439	0
Precinct 7841 - Election Day	2	4	157	0	31	1	198	207	0	0	12	195	0
Precinct 7841	7	19	522	4	78	4	950	665	0	1	30	634	0
Precinct 7842 - Vote By Mail	5	13	269	2	82	4	702	394	0	0	19	375	0
Precinct 7842 - Election Day	2	6	108	0	31	2	177	155	0	1	5	149	0
Precinct 7842	7	19	377	2	113	6	879	549	0	1	24	524	0
Precinct 7843 - Vote By Mail	2	11	201	5	59	1	546	295	0	1	15	279	0
Precinct 7843 - Election Day	1	2	121	2	28	0	183	165	0	0	11	154	0
Precinct 7843	3	13	322	7	87	1	729	460	0	1	26	433	0
Precinct 7844 - Vote By Mail	4	9	178	10	63	3	499	281	0	1	13	267	0
Precinct 7844 - Election Day	0	5	98	2	26	2	152	137	0	0	4	133	0
Precinct 7844	4	14	276	12	89	5	651	418	0	1	17	400	0
Precinct 7845 - Vote By Mail	2	12	335	3	33	3	676	405	0	2	15	388	0
Precinct 7845 - Election Day	5	7	128	1	25	4	204	178	0	0	7	171	1
Precinct 7845	7	19	463	4	58	7	880	583	0	2	22	559	1
Precinct 7846 - Vote By Mail	3	34	358	3	38	8	736	464	0	0	20	444	0
Precinct 7846 - Election Day	1	10	129	1	26	1	172	171	0	0	3	168	0
Precinct 7846	4	44	487	4	64	9	908	635	0	0	23	612	0
Precinct 7847 - Vote By Mail	2	18	332	5	47	4	698	429	0	0	21	408	0
Precinct 7847 - Election Day	1	9	143	1	17	3	193	183	0	0	8	175	1
Precinct 7847	3	27	475	6	64	7	891	612	0	0	29	583	1
Precinct 7848 - Vote By Mail	0	21	347	6	37	3	665	437	0	2	21	414	0
Precinct 7848 - Election Day	1	7	136	1	17	0	182	169	0	0	7	162	0
Precinct 7848	1	28	483	7	54	3	847	606	0	2	28	576	0
Precinct 7849 - Vote By Mail	2	17	336	7	61	5	729	443	0	1	14	428	0
Precinct 7849 - Election Day	3	2	140	3	31	1	172	188	0	0	8	180	0
Precinct 7849	5	19	476	10	92	6	901	631	0	1	22	608	0
Precinct 7851 - Vote By Mail	3	13	216	3	10	4	414	272	0	1	22	249	0
Precinct 7851 - Election Day	1	12	62	0	6	1	112	85	0	0	3	82	0
Precinct 7851	4	25	278	3	16	5	526	357	0	1	25	331	0
Precinct 7852 - Vote By Mail	1	28	277	7	20	4	533	350	0	0	13	337	0
Precinct 7852 - Election Day	2	8	84	0	5	2	111	103	0	0	2	101	0
Precinct 7852	3	36	361	7	25	6	644	453	0	0	15	438	0
Precinct 7853 - Vote By Mail	3	14	329	6	26	5	694	394	0	0	11	383	0
Precinct 7853 - Election Day	0	5	116	0	7	5	161	139	0	0	6	133	0
Precinct 7853	3	19	445	6	33	10	855	533	0	0	17	516	0
Precinct 7854 - Vote By Mail	2	17	346	0	39	4	703	430	0	1	21	408	0
Precinct 7854 - Election Day	2	6	127	4	29	1	175	173	0	0	4	169	0
Precinct 7854	4	23	473	4	68	5	878	603	0	1	25	577	0
Precinct 7855 - Vote By Mail	5	21	349	2	53	4	763	451	0	0	17	434	0
Precinct 7855 - Election Day	1	4	158	0	33	1	211	204	0	0	7	197	0
Precinct 7855	6	25	507	2	86	5	974	655	0	0	24	631	0
Precinct 7856 - Vote By Mail	4	7	300	5	43	2	643	376	0	0	15	361	0
Precinct 7856 - Election Day	1	3	148	2	28	3	204	193	0	0	8	185	0
Precinct 7856	5	10	448	7	71	5	847	569	0	0	23	546	0
Precinct 7857 - Vote By Mail	6	18	299	6	75	7	748	437	0	0	26	411	0
Precinct 7857 - Election Day	3	5	115	2	26	1	158	156	0	0	4	152	0
Precinct 7857	9	23	414	8	101	8	906	593	0	0	30	563	0
Precinct 7858 - Vote By Mail	2	9	247	7	67	1	622	349	0	1	15	333	0
Precinct 7858 - Election Day	1	4	100	4	32	3	157	151	0	0	7	144	0
Precinct 7858	3	13	347	11	99	4	779	500	0	1	22	477	0
Precinct 7859 - Vote By Mail	2	24	378	1	40	4	747	464	0	0	15	449	0
Precinct 7859 - Election Day	1	9	134	3	11	1	152	167	0	0	8	159	0
Precinct 7859	3	33	512	4	51	5	899	631	0	0	23	608	0
Precinct 7861 - Vote By Mail	5	27	337	4	30	7	699	432	0	0	22	410	0
Precinct 7861 - Election Day	3	2	133	0	23	3	164	171	0	0	7	164	0
Precinct 7861	8	29	470	4	53	10	863	603	0	0	29	574	0
Precinct 7862 - Vote By Mail	5	16	315	2	40	3	669	401	0	0	20	381	0
Precinct 7862 - Election Day	3	4	152	3	24	3	195	198	0	0	9	189	0
Precinct 7862	8	20	467	5	64	6	864	599	0	0	29	570	0
Precinct 7863 - Vote By Mail	3	8	269	6	65	4	693	373	0	0	18	355	0
Precinct 7863 - Election Day	2	8	150	1	35	5	208	208	0	0	6	202	1
Precinct 7863	5	16	419	7	100	9	901	581	0	0	24	557	1
Precinct 7864 - Vote By Mail	8	17	282	2	49	5	661	374	0	0	11	363	0
Precinct 7864 - Election Day	0	5	119	1	21	5	153	157	0	0	6	151	0
Precinct 7864	8	22	401	3	70	10	814	531	0	0	17	514	0
Precinct 7865 - Vote By Mail	1	16	300	3	67	5	677	408	0	1	15	392	0
Precinct 7865 - Election Day	0	9	104	4	32	2	163	160	0	0	9	151	0
Precinct 7865	1	25	404	7	99	7	840	568	0	1	24	543	0
Precinct 7866 - Vote By Mail	8	39	337	2	29	8	690	446	0	2	21	423	0
Precinct 7866 - Election Day	5	7	115	0	11	1	158	143	0	0	4	139	0
Precinct 7866	13	46	452	2	40	9	848	589	0	2	25	562	0
Precinct 7867 - Vote By Mail	10	32	358	3	49	2	766	470	0	0	16	454	0
Precinct 7867 - Election Day	1	8	145	2	18	2	212	184	0	0	8	176	0
Precinct 7867	11	40	503	5	67	4	978	654	0	0	24	630	0
Precinct 7868 - Vote By Mail	7	19	309	3	19	7	659	376	0	3	9	364	0
Precinct 7868 - Election Day	1	5	131	2	14	5	217	162	0	0	4	158	0
Precinct 7868	8	24	440	5	33	12	876	538	0	3	13	522	0
Precinct 7869 - Vote By Mail	1	22	355	3	45	2	683	441	0	0	13	428	0
Precinct 7869 - Election Day	1	8	154	1	22	1	178	191	0	0	4	187	0
Precinct 7869	2	30	509	4	67	3	861	632	0	0	17	615	0
Precinct 7871 - Vote By Mail	7	17	360	2	50	10	702	464	0	1	17	446	0
Precinct 7871 - Election Day	4	8	123	0	16	3	200	157	0	0	3	154	0
Precinct 7871	11	25	483	2	66	13	902	621	0	1	20	600	0
Precinct 7872 - Vote By Mail	1	22	328	4	43	2	675	420	0	0	20	400	0
Precinct 7872 - Election Day	0	8	151	0	19	3	199	186	0	0	5	181	0
Precinct 7872	1	30	479	4	62	5	874	606	0	0	25	581	0
Precinct 7873 - Vote By Mail	2	18	334	5	63	4	689	444	0	0	18	426	0
Precinct 7873 - Election Day	2	7	165	2	27	6	202	214	0	0	5	209	0
Precinct 7873	4	25	499	7	90	10	891	658	0	0	23	635	0
Precinct 7874 - Vote By Mail	1	6	144	1	21	7	370	191	0	3	8	180	0
Precinct 7874 - Election Day	0	7	83	0	11	3	119	108	0	0	4	104	0
Precinct 7874	1	13	227	1	32	10	489	299	0	3	12	284	0
Precinct 7875 - Vote By Mail	5	21	167	5	34	6	500	253	0	1	14	238	0
Precinct 7875 - Election Day	2	8	85	1	12	1	147	115	0	0	6	109	0
Precinct 7875	7	29	252	6	46	7	647	368	0	1	20	347	0
Precinct 7876 - Vote By Mail	3	6	196	4	32	2	462	257	0	1	13	243	0
Precinct 7876 - Election Day	0	3	69	1	13	1	106	93	0	0	6	87	0
Precinct 7876	3	9	265	5	45	3	568	350	0	1	19	330	0
Precinct 7901 - Vote By Mail	2	7	128	3	39	3	399	191	0	1	8	182	0
Precinct 7901 - Election Day	0	2	43	0	17	1	150	67	0	0	4	63	0
Precinct 7901	2	9	171	3	56	4	549	258	0	1	12	245	0
Precinct 7902 - Vote By Mail	0	13	197	8	62	1	680	290	0	0	9	281	0
Precinct 7902 - Election Day	3	1	85	2	48	0	232	145	0	0	6	139	0
Precinct 7902	3	14	282	10	110	1	912	435	0	0	15	420	0
Precinct 7903 - Vote By Mail	6	15	177	5	60	7	623	286	0	1	15	270	0
Precinct 7903 - Election Day	3	4	80	3	29	1	229	125	0	1	4	120	0
Precinct 7903	9	19	257	8	89	8	852	411	0	2	19	390	0
Precinct 7904 - Vote By Mail	5	17	199	7	56	3	680	299	0	1	11	287	0
Precinct 7904 - Election Day	1	4	66	0	40	6	157	122	0	0	5	117	0
Precinct 7904	6	21	265	7	96	9	837	421	0	1	16	404	0
Precinct 7905 - Vote By Mail	7	21	240	14	57	3	684	356	0	0	14	342	0
Precinct 7905 - Election Day	3	8	124	3	36	1	191	183	0	0	8	175	0
Precinct 7905	10	29	364	17	93	4	875	539	0	0	22	517	0
Precinct 7906 - Vote By Mail	2	4	202	7	58	2	599	283	0	0	8	275	0
Precinct 7906 - Election Day	0	1	70	1	40	0	187	118	0	0	6	112	0
Precinct 7906	2	5	272	8	98	2	786	401	0	0	14	387	0
Precinct 7907 - Vote By Mail	4	6	222	6	85	3	704	344	0	0	18	326	0
Precinct 7907 - Election Day	0	0	103	0	51	4	238	165	0	0	7	158	0
Precinct 7907	4	6	325	6	136	7	942	509	0	0	25	484	0
Precinct 7908 - Vote By Mail	5	12	240	5	68	10	752	366	0	1	25	340	0
Precinct 7908 - Election Day	3	4	103	3	52	3	240	172	0	2	2	168	0
Precinct 7908	8	16	343	8	120	13	992	538	0	3	27	508	0
Precinct 7909 - Vote By Mail	0	5	210	1	80	2	558	311	0	0	13	298	0
Precinct 7909 - Election Day	1	2	83	1	44	5	185	141	0	0	5	136	0
Precinct 7909	1	7	293	2	124	7	743	452	0	0	18	434	0
Precinct 7911 - Vote By Mail	3	10	204	9	73	9	666	322	0	1	13	308	0
Precinct 7911 - Election Day	0	5	84	3	31	1	205	129	0	0	5	124	0
Precinct 7911	3	15	288	12	104	10	871	451	0	1	18	432	0
Precinct 7912 - Vote By Mail	2	6	240	12	91	3	800	370	0	1	15	354	0
Precinct 7912 - Election Day	0	2	121	1	41	3	259	182	0	1	13	168	0
Precinct 7912	2	8	361	13	132	6	1,059	552	0	2	28	522	0
Precinct 7913 - Vote By Mail	2	14	205	8	96	7	660	350	0	3	15	332	0
Precinct 7913 - Election Day	1	9	129	1	70	1	263	216	0	0	5	211	0
Precinct 7913	3	23	334	9	166	8	923	566	0	3	20	543	0
Precinct 7914 - Vote By Mail	3	9	264	14	76	6	715	390	0	4	14	372	0
Precinct 7914 - Election Day	1	3	95	1	34	1	187	142	0	0	7	135	0
Precinct 7914	4	12	359	15	110	7	902	532	0	4	21	507	0
Precinct 7915 - Vote By Mail	4	7	198	0	73	1	605	290	0	0	7	283	0
Precinct 7915 - Election Day	1	4	117	3	47	5	238	183	0	0	6	177	0
Precinct 7915	5	11	315	3	120	6	843	473	0	0	13	460	0
Precinct 7916 - Vote By Mail	7	8	219	5	81	5	639	335	0	0	10	325	0
Precinct 7916 - Election Day	2	1	101	1	48	2	219	162	0	0	6	156	1
Precinct 7916	9	9	320	6	129	7	858	497	0	0	16	481	1
Precinct 7917 - Vote By Mail	3	12	222	7	91	10	716	357	0	2	10	345	0
Precinct 7917 - Election Day	4	2	107	1	68	2	271	187	0	0	3	184	0
Precinct 7917	7	14	329	8	159	12	987	544	0	2	13	529	0
Precinct 7918 - Vote By Mail	1	6	197	7	71	3	597	297	0	0	12	285	0
Precinct 7918 - Election Day	1	1	92	1	42	4	227	145	0	0	4	141	0
Precinct 7918	2	7	289	8	113	7	824	442	0	0	16	426	0
Precinct 7919 - Vote By Mail	2	12	188	1	77	7	608	309	0	2	20	287	0
Precinct 7919 - Election Day	0	1	112	0	60	0	258	177	0	0	4	173	0
Precinct 7919	2	13	300	1	137	7	866	486	0	2	24	460	0
Precinct 7921 - Vote By Mail	4	21	198	3	62	4	682	310	0	2	16	292	0
Precinct 7921 - Election Day	0	2	72	1	23	1	229	103	0	0	4	99	0
Precinct 7921	4	23	270	4	85	5	911	413	0	2	20	391	0
Precinct 7922 - Vote By Mail	8	6	197	9	76	8	648	314	0	2	8	304	0
Precinct 7922 - Election Day	2	2	100	3	45	2	210	157	0	0	3	154	0
Precinct 7922	10	8	297	12	121	10	858	471	0	2	11	458	0
Precinct 7923 - Vote By Mail	6	13	214	7	74	9	666	337	0	1	13	323	0
Precinct 7923 - Election Day	1	5	108	2	48	2	214	172	0	0	6	166	0
Precinct 7923	7	18	322	9	122	11	880	509	0	1	19	489	0
Precinct 7924 - Vote By Mail	7	11	182	3	80	11	649	303	0	1	8	294	0
Precinct 7924 - Election Day	1	1	75	2	40	3	202	126	0	0	4	122	0
Precinct 7924	8	12	257	5	120	14	851	429	0	1	12	416	0
Precinct 7925 - Vote By Mail	3	10	151	2	46	6	434	225	0	0	7	218	0
Precinct 7925 - Election Day	0	6	56	0	25	0	110	89	0	0	2	87	0
Precinct 7925	3	16	207	2	71	6	544	314	0	0	9	305	0
Precinct 7926 - Vote By Mail	5	13	228	2	68	5	610	337	0	4	12	321	0
Precinct 7926 - Election Day	4	1	113	0	28	1	178	150	0	0	3	147	0
Precinct 7926	9	14	341	2	96	6	788	487	0	4	15	468	0
Precinct 7927 - Vote By Mail	1	15	231	5	61	3	580	335	0	0	19	316	0
Precinct 7927 - Election Day	1	6	102	0	40	2	162	154	0	0	3	151	0
Precinct 7927	2	21	333	5	101	5	742	489	0	0	22	467	0
Precinct 7928 - Vote By Mail	1	15	282	6	64	13	700	395	0	0	14	381	0
Precinct 7928 - Election Day	1	4	149	3	43	5	217	208	0	0	3	205	0
Precinct 7928	2	19	431	9	107	18	917	603	0	0	17	586	0
Precinct 7929 - Vote By Mail	0	10	317	6	65	4	678	424	0	0	22	402	0
Precinct 7929 - Election Day	0	4	132	5	24	4	169	172	0	0	3	169	0
Precinct 7929	0	14	449	11	89	8	847	596	0	0	25	571	0
