Subtotal Area	KEN ARMSTRONG	MAX ABRAMSON	SAM ROBB	KIM RUFF	STEVEN A RICHEY	JACOB HORNBERGER	SOURAYA FAAS	KEENAN WALLACE DUNHAM	ADAM KOKESH	VERMIN SUPREME	JO JORGENSEN	DAN BEHRMAN	ERIK CHASE GERHARDT	NICHOLAS D'ARTAGNAN DUMAS	GEBY EVA ESPINOSA	JAMES ORLANDO OGLE	SORINNE ARDELEANU	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Writein Votes
Precinct 7029	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	909	1	0	0	0	1	0
Precinct 7030 - Vote By Mail	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	795	1	0	0	0	1	0
Precinct 7030 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	795	0	0	0	0	0	0
Precinct 7030	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	795	1	0	0	0	1	0
Precinct 7031 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694	0	0	0	0	0	0
Precinct 7031 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694	0	0	0	0	0	0
Precinct 7031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694	0	0	0	0	0	0
Precinct 7032 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	881	0	0	0	0	0	0
Precinct 7032 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	881	0	0	0	0	0	0
Precinct 7032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	881	0	0	0	0	0	0
Precinct 7033 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	778	0	0	0	0	0	0
Precinct 7033 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	778	0	0	0	0	0	0
Precinct 7033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	778	0	0	0	0	0	0
Precinct 7034 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	0	0	0	0	0	0
Precinct 7034 - Election Day	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	938	1	0	0	0	1	0
Precinct 7034	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	938	1	0	0	0	1	0
Precinct 7035 - Vote By Mail	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	719	2	0	0	1	1	0
Precinct 7035 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	719	0	0	0	0	0	0
Precinct 7035	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	719	2	0	0	1	1	0
Precinct 7036 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	974	0	0	0	0	0	0
Precinct 7036 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	974	0	0	0	0	0	0
Precinct 7036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	974	0	0	0	0	0	0
Precinct 7037 - Vote By Mail	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	746	2	0	0	0	2	0
Precinct 7037 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	746	0	0	0	0	0	0
Precinct 7037	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	746	2	0	0	0	2	0
Precinct 7038 - Vote By Mail	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	961	5	0	0	1	4	0
Precinct 7038 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	961	0	0	0	0	0	0
Precinct 7038	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	961	5	0	0	1	4	0
Precinct 7039 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	837	0	0	0	0	0	0
Precinct 7039 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	837	0	0	0	0	0	0
Precinct 7039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	837	0	0	0	0	0	0
Precinct 7041 MB - Vote By Mail	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	66	3	0	0	0	3	0
Precinct 7041 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0
Precinct 7041 MB	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	66	3	0	0	0	3	0
Precinct 7042 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660	0	0	0	0	0	0
Precinct 7042 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660	1	0	0	1	0	0
Precinct 7042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660	1	0	0	1	0	0
Precinct 7043 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	978	1	0	0	1	0	0
Precinct 7043 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	978	0	0	0	0	0	0
Precinct 7043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	978	1	0	0	1	0	0
Precinct 7044 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	852	0	0	0	0	0	0
Precinct 7044 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	852	0	0	0	0	0	0
Precinct 7044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	852	0	0	0	0	0	0
Precinct 7045 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	786	0	0	0	0	0	0
Precinct 7045 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	786	0	0	0	0	0	0
Precinct 7045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	786	0	0	0	0	0	0
Precinct 7046 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0
Precinct 7046 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0
Precinct 7046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0	0
Precinct 7047 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	883	1	0	0	1	0	0
Precinct 7047 - Election Day	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	883	1	0	0	0	1	0
Precinct 7047	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	883	2	0	0	1	1	0
Precinct 7048 - Vote By Mail	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	881	1	0	0	0	1	0
Precinct 7048 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	881	0	0	0	0	0	0
Precinct 7048	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	881	1	0	0	0	1	0
Precinct 7049 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	826	0	0	0	0	0	0
Precinct 7049 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	826	1	0	0	0	1	1
Precinct 7049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	826	1	0	0	0	1	1
Precinct 7051 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	880	0	0	0	0	0	0
Precinct 7051 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	880	1	0	0	0	1	0
Precinct 7051	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	880	1	0	0	0	1	0
Precinct 7052 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0
Precinct 7052 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0
Precinct 7052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0
Precinct 7053 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585	0	0	0	0	0	0
Precinct 7053 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585	0	0	0	0	0	0
Precinct 7053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585	0	0	0	0	0	0
Precinct 7054 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,136	0	0	0	0	0	0
Precinct 7054 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,136	0	0	0	0	0	0
Precinct 7054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,136	0	0	0	0	0	0
Precinct 7055 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	826	0	0	0	0	0	0
Precinct 7055 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	826	0	0	0	0	0	0
Precinct 7055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	826	0	0	0	0	0	0
Precinct 7056 - Vote By Mail	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	705	1	0	0	0	1	0
Precinct 7056 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	705	0	0	0	0	0	0
Precinct 7056	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	705	1	0	0	0	1	0
Precinct 7101 MB - Vote By Mail	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	147	1	0	0	0	1	0
Precinct 7101 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0
Precinct 7101 MB	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	147	1	0	0	0	1	0
Precinct 7201 - Vote By Mail	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	935	1	0	0	0	1	0
Precinct 7201 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935	0	0	0	0	0	0
Precinct 7201	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	935	1	0	0	0	1	0
Precinct 7202 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851	1	0	0	1	0	0
Precinct 7202 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851	0	0	0	0	0	0
Precinct 7202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851	1	0	0	1	0	0
Precinct 7203 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	879	0	0	0	0	0	0
Precinct 7203 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	879	0	0	0	0	0	0
Precinct 7203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	879	0	0	0	0	0	0
Precinct 7204 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	899	0	0	0	0	0	0
Precinct 7204 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	899	1	0	0	1	0	0
Precinct 7204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	899	1	0	0	1	0	0
Precinct 7205 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	871	0	0	0	0	0	0
Precinct 7205 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	871	0	0	0	0	0	0
Precinct 7205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	871	0	0	0	0	0	0
Precinct 7206 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0
Precinct 7206 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0
Precinct 7206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	377	0	0	0	0	0	0
Precinct 7207 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	867	0	0	0	0	0	0
Precinct 7207 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	867	1	0	0	0	1	0
Precinct 7207	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	867	1	0	0	0	1	0
Precinct 7208 - Vote By Mail	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	570	1	0	0	0	1	0
Precinct 7208 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0	0	0	0	0
Precinct 7208	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	570	1	0	0	0	1	0
Precinct 7209 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647	1	0	0	1	0	0
Precinct 7209 - Election Day	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	647	1	0	0	0	1	0
Precinct 7209	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	647	2	0	0	1	1	0
Precinct 7301 - Vote By Mail	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,014	2	0	1	0	1	0
Precinct 7301 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,014	0	0	0	0	0	0
Precinct 7301	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,014	2	0	1	0	1	0
Precinct 7302 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	849	0	0	0	0	0	0
Precinct 7302 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	849	0	0	0	0	0	0
Precinct 7302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	849	0	0	0	0	0	0
Precinct 7303 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,068	0	0	0	0	0	0
Precinct 7303 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,068	1	0	0	0	1	1
Precinct 7303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,068	1	0	0	0	1	1
Precinct 7304 - Vote By Mail	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1,001	2	0	0	0	2	0
Precinct 7304 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,001	0	0	0	0	0	0
Precinct 7304	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1,001	2	0	0	0	2	0
Precinct 7305 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	867	0	0	0	0	0	0
Precinct 7305 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	867	1	0	0	1	0	0
Precinct 7305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	867	1	0	0	1	0	0
Precinct 7306 - Vote By Mail	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1,044	3	0	0	0	3	0
Precinct 7306 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1,044	1	0	0	0	1	0
Precinct 7306	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1,044	4	0	0	0	4	0
Precinct 7307 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	774	0	0	0	0	0	0
Precinct 7307 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	774	1	0	0	0	1	1
Precinct 7307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	774	1	0	0	0	1	1
Precinct 7308 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	625	0	0	0	0	0	0
Precinct 7308 - Election Day	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	625	2	0	0	1	1	0
Precinct 7308	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	625	2	0	0	1	1	0
Precinct 7309 - Vote By Mail	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	858	2	0	0	1	1	0
Precinct 7309 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	858	0	0	0	0	0	0
Precinct 7309	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	858	2	0	0	1	1	0
Precinct 7311 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0
Precinct 7311 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0
Precinct 7311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0
Precinct 7312 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	810	0	0	0	0	0	0
Precinct 7312 - Election Day	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	810	1	0	0	0	1	0
Precinct 7312	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	810	1	0	0	0	1	0
Precinct 7313 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1,003	2	0	0	1	1	0
Precinct 7313 - Election Day	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1,003	1	0	0	0	1	0
Precinct 7313	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1,003	3	0	0	1	2	0
Precinct 7314 - Vote By Mail	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	759	2	0	0	0	2	0
Precinct 7314 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	759	0	0	0	0	0	0
Precinct 7314	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	759	2	0	0	0	2	0
Precinct 7315 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	0	0	0	0	0	0
Precinct 7315 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	1	0	0	0	1	1
Precinct 7315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765	1	0	0	0	1	1
Precinct 7316 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	832	0	0	0	0	0	0
Precinct 7316 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	832	0	0	0	0	0	0
Precinct 7316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	832	0	0	0	0	0	0
Precinct 7317 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	890	0	0	0	0	0	0
Precinct 7317 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	890	0	0	0	0	0	0
Precinct 7317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	890	0	0	0	0	0	0
Precinct 7318 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0
Precinct 7318 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0
Precinct 7318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0
Precinct 7319 - Vote By Mail	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1,049	2	0	0	1	1	0
Precinct 7319 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,049	0	0	0	0	0	0
Precinct 7319	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1,049	2	0	0	1	1	0
Precinct 7321 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0
Precinct 7321 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0
Precinct 7321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659	0	0	0	0	0	0
Precinct 7322 - Vote By Mail	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	888	1	0	0	0	1	0
Precinct 7322 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	888	0	0	0	0	0	0
Precinct 7322	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	888	1	0	0	0	1	0
Precinct 7323 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956	0	0	0	0	0	0
Precinct 7323 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956	0	0	0	0	0	0
Precinct 7323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956	0	0	0	0	0	0
Precinct 7324 - Vote By Mail	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	737	2	0	0	0	2	0
Precinct 7324 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	737	0	0	0	0	0	0
Precinct 7324	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	737	2	0	0	0	2	0
Precinct 7325 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886	2	0	0	2	0	0
Precinct 7325 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886	0	0	0	0	0	0
Precinct 7325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886	2	0	0	2	0	0
Precinct 7326 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	859	0	0	0	0	0	0
Precinct 7326 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	859	0	0	0	0	0	0
Precinct 7326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	859	0	0	0	0	0	0
Precinct 7327 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687	2	0	2	0	0	0
Precinct 7327 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687	0	0	0	0	0	0
Precinct 7327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687	2	0	2	0	0	0
Precinct 7328 - Vote By Mail	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1,002	5	0	1	1	3	0
Precinct 7328 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,002	0	0	0	0	0	0
Precinct 7328	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1,002	5	0	1	1	3	0
Precinct 7329 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651	2	0	0	2	0	0
Precinct 7329 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651	0	0	0	0	0	0
Precinct 7329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651	2	0	0	2	0	0
Precinct 7331 - Vote By Mail	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	870	3	0	0	1	2	0
Precinct 7331 - Election Day	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	870	2	0	0	1	1	0
Precinct 7331	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	870	5	0	0	2	3	0
Precinct 7332 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	790	2	0	1	1	0	0
Precinct 7332 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	790	0	0	0	0	0	0
Precinct 7332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	790	2	0	1	1	0	0
Precinct 7333 - Vote By Mail	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1,015	3	0	0	1	2	0
Precinct 7333 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,015	0	0	0	0	0	0
Precinct 7333	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1,015	3	0	0	1	2	0
Precinct 7334 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	819	0	0	0	0	0	0
Precinct 7334 - Election Day	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	819	1	0	0	0	1	0
Precinct 7334	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	819	1	0	0	0	1	0
Precinct 7335 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	934	0	0	0	0	0	0
Precinct 7335 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	934	0	0	0	0	0	0
Precinct 7335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	934	0	0	0	0	0	0
Precinct 7336 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954	1	0	0	1	0	0
Precinct 7336 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954	0	0	0	0	0	0
Precinct 7336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	954	1	0	0	1	0	0
Precinct 7337 - Vote By Mail	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	897	1	0	0	0	1	0
Precinct 7337 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	897	0	0	0	0	0	0
Precinct 7337	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	897	1	0	0	0	1	0
Precinct 7338 - Vote By Mail	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	895	3	0	0	0	3	0
Precinct 7338 - Election Day	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	895	1	0	0	0	1	0
Precinct 7338	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	895	4	0	0	0	4	0
Precinct 7339 - Vote By Mail	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	755	1	0	0	0	1	0
Precinct 7339 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	755	0	0	0	0	0	0
Precinct 7339	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	755	1	0	0	0	1	0
Precinct 7341 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	853	0	0	0	0	0	0
Precinct 7341 - Election Day	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	853	1	0	0	0	1	0
Precinct 7341	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	853	1	0	0	0	1	0
Precinct 7342 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	904	0	0	0	0	0	0
Precinct 7342 - Election Day	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	904	3	0	0	0	3	0
Precinct 7342	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	904	3	0	0	0	3	0
Precinct 7343 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	704	1	0	0	0	1	0
Precinct 7343 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	704	0	0	0	0	0	0
Precinct 7343	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	704	1	0	0	0	1	0
