Subtotal Area	MARIA ELENA EVANGELISTA	PANG LY	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7835	318	150	863	574	0	0	106	468	0
Precinct 7836 - Vote By Mail	295	116	850	505	0	1	93	411	0
Precinct 7836 - Election Day	106	31	193	170	0	0	33	137	0
Precinct 7836	401	147	1,043	675	0	1	126	548	0
Precinct 7837 - Vote By Mail	204	111	718	424	0	1	108	315	0
Precinct 7837 - Election Day	110	51	205	199	0	0	36	163	2
Precinct 7837	314	162	923	623	0	1	144	478	2
Precinct 7838 - Vote By Mail	252	133	752	492	0	0	107	385	0
Precinct 7838 - Election Day	89	41	143	156	0	0	26	130	0
Precinct 7838	341	174	895	648	0	0	133	515	0
Precinct 7839 - Vote By Mail	213	149	731	456	0	0	94	362	0
Precinct 7839 - Election Day	73	25	130	137	0	0	39	98	0
Precinct 7839	286	174	861	593	0	0	133	460	0
Precinct 7841 - Vote By Mail	252	111	752	457	0	0	94	363	0
Precinct 7841 - Election Day	115	48	198	207	0	0	44	163	0
Precinct 7841	367	159	950	664	0	0	138	526	0
Precinct 7842 - Vote By Mail	229	83	702	393	0	0	81	312	0
Precinct 7842 - Election Day	104	29	177	155	0	0	21	134	1
Precinct 7842	333	112	879	548	0	0	102	446	1
Precinct 7843 - Vote By Mail	186	66	546	295	0	0	43	252	0
Precinct 7843 - Election Day	110	19	183	165	0	0	36	129	0
Precinct 7843	296	85	729	460	0	0	79	381	0
Precinct 7844 - Vote By Mail	168	57	499	281	0	0	56	225	0
Precinct 7844 - Election Day	93	18	152	136	0	0	25	111	0
Precinct 7844	261	75	651	417	0	0	81	336	0
Precinct 7845 - Vote By Mail	216	112	676	405	0	0	77	328	0
Precinct 7845 - Election Day	97	49	204	177	0	0	30	147	1
Precinct 7845	313	161	880	582	0	0	107	475	1
Precinct 7846 - Vote By Mail	218	132	736	463	0	0	113	350	0
Precinct 7846 - Election Day	91	35	172	167	0	0	40	127	1
Precinct 7846	309	167	908	630	0	0	153	477	1
Precinct 7847 - Vote By Mail	227	108	698	427	0	0	92	335	0
Precinct 7847 - Election Day	94	51	193	183	0	0	37	146	1
Precinct 7847	321	159	891	610	0	0	129	481	1
Precinct 7848 - Vote By Mail	224	131	665	437	0	0	82	355	0
Precinct 7848 - Election Day	80	50	182	169	0	0	38	131	1
Precinct 7848	304	181	847	606	0	0	120	486	1
Precinct 7849 - Vote By Mail	226	128	729	441	0	0	87	354	0
Precinct 7849 - Election Day	110	36	172	186	0	0	39	147	1
Precinct 7849	336	164	901	627	0	0	126	501	1
Precinct 7851 - Vote By Mail	85	134	414	272	0	0	53	219	0
Precinct 7851 - Election Day	28	42	112	84	0	0	14	70	0
Precinct 7851	113	176	526	356	0	0	67	289	0
Precinct 7852 - Vote By Mail	177	101	533	350	0	0	72	278	0
Precinct 7852 - Election Day	47	36	111	103	0	0	20	83	0
Precinct 7852	224	137	644	453	0	0	92	361	0
Precinct 7853 - Vote By Mail	191	126	694	394	0	0	77	317	0
Precinct 7853 - Election Day	72	41	161	137	0	1	23	113	0
Precinct 7853	263	167	855	531	0	1	100	430	0
Precinct 7854 - Vote By Mail	201	129	703	430	0	1	99	330	0
Precinct 7854 - Election Day	106	33	175	172	0	0	32	140	1
Precinct 7854	307	162	878	602	0	1	131	470	1
Precinct 7855 - Vote By Mail	244	109	763	450	0	0	97	353	0
Precinct 7855 - Election Day	106	55	211	202	0	0	40	162	1
Precinct 7855	350	164	974	652	0	0	137	515	1
Precinct 7856 - Vote By Mail	222	86	643	372	0	0	64	308	0
Precinct 7856 - Election Day	110	46	204	193	0	0	37	156	0
Precinct 7856	332	132	847	565	0	0	101	464	0
Precinct 7857 - Vote By Mail	242	96	748	435	0	1	96	338	0
Precinct 7857 - Election Day	92	39	158	154	0	0	23	131	0
Precinct 7857	334	135	906	589	0	1	119	469	0
Precinct 7858 - Vote By Mail	211	87	622	349	0	0	51	298	0
Precinct 7858 - Election Day	107	19	157	148	0	0	22	126	0
Precinct 7858	318	106	779	497	0	0	73	424	0
Precinct 7859 - Vote By Mail	219	156	747	464	0	0	89	375	0
Precinct 7859 - Election Day	79	44	152	166	0	0	43	123	0
Precinct 7859	298	200	899	630	0	0	132	498	0
Precinct 7861 - Vote By Mail	218	135	699	431	0	0	78	353	0
Precinct 7861 - Election Day	98	48	164	171	0	0	25	146	0
Precinct 7861	316	183	863	602	0	0	103	499	0
Precinct 7862 - Vote By Mail	221	102	669	400	0	0	77	323	0
Precinct 7862 - Election Day	121	49	195	198	0	0	28	170	0
Precinct 7862	342	151	864	598	0	0	105	493	0
Precinct 7863 - Vote By Mail	211	86	693	371	0	0	74	297	0
Precinct 7863 - Election Day	125	44	208	205	0	0	36	169	0
Precinct 7863	336	130	901	576	0	0	110	466	0
Precinct 7864 - Vote By Mail	203	102	661	374	0	0	69	305	0
Precinct 7864 - Election Day	95	28	153	157	0	0	32	125	2
Precinct 7864	298	130	814	531	0	0	101	430	2
Precinct 7865 - Vote By Mail	235	93	677	408	0	1	79	328	0
Precinct 7865 - Election Day	96	28	163	157	0	0	33	124	0
Precinct 7865	331	121	840	565	0	1	112	452	0
Precinct 7866 - Vote By Mail	190	181	690	446	0	0	75	371	0
Precinct 7866 - Election Day	65	53	158	141	0	1	22	118	0
Precinct 7866	255	234	848	587	0	1	97	489	0
Precinct 7867 - Vote By Mail	287	118	766	470	0	0	65	405	0
Precinct 7867 - Election Day	99	46	212	182	0	0	36	146	1
Precinct 7867	386	164	978	652	0	0	101	551	1
Precinct 7868 - Vote By Mail	189	127	659	374	0	1	57	316	0
Precinct 7868 - Election Day	82	58	217	161	0	0	21	140	0
Precinct 7868	271	185	876	535	0	1	78	456	0
Precinct 7869 - Vote By Mail	234	128	683	440	0	0	78	362	0
Precinct 7869 - Election Day	104	47	178	190	0	0	39	151	0
Precinct 7869	338	175	861	630	0	0	117	513	0
Precinct 7871 - Vote By Mail	257	117	702	463	0	0	89	374	0
Precinct 7871 - Election Day	85	46	200	157	0	0	26	131	0
Precinct 7871	342	163	902	620	0	0	115	505	0
Precinct 7872 - Vote By Mail	221	117	675	420	0	0	82	338	0
Precinct 7872 - Election Day	105	55	199	185	0	0	25	160	0
Precinct 7872	326	172	874	605	0	0	107	498	0
Precinct 7873 - Vote By Mail	254	115	689	444	0	1	74	369	0
Precinct 7873 - Election Day	140	41	202	213	0	0	30	183	2
Precinct 7873	394	156	891	657	0	1	104	552	2
Precinct 7874 - Vote By Mail	105	53	370	189	0	0	31	158	0
Precinct 7874 - Election Day	53	32	119	107	0	0	20	87	2
Precinct 7874	158	85	489	296	0	0	51	245	2
Precinct 7875 - Vote By Mail	152	47	500	252	0	1	52	199	0
Precinct 7875 - Election Day	77	23	147	115	0	1	14	100	0
Precinct 7875	229	70	647	367	0	2	66	299	0
Precinct 7876 - Vote By Mail	140	58	462	256	0	0	58	198	0
Precinct 7876 - Election Day	44	23	106	91	0	0	24	67	0
Precinct 7876	184	81	568	347	0	0	82	265	0
Precinct 7901 - Vote By Mail	121	38	399	191	0	0	32	159	0
Precinct 7901 - Election Day	44	9	150	65	0	0	12	53	0
Precinct 7901	165	47	549	256	0	0	44	212	0
Precinct 7902 - Vote By Mail	194	51	680	290	0	0	45	245	0
Precinct 7902 - Election Day	107	11	232	141	0	0	22	119	1
Precinct 7902	301	62	912	431	0	0	67	364	1
Precinct 7903 - Vote By Mail	190	52	623	284	0	0	42	242	0
Precinct 7903 - Election Day	88	12	229	123	0	0	23	100	0
Precinct 7903	278	64	852	407	0	0	65	342	0
Precinct 7904 - Vote By Mail	190	71	680	297	0	0	36	261	0
Precinct 7904 - Election Day	87	13	157	118	0	0	17	101	1
Precinct 7904	277	84	837	415	0	0	53	362	1
Precinct 7905 - Vote By Mail	222	84	684	356	0	0	50	306	0
Precinct 7905 - Election Day	127	31	191	183	0	0	24	159	1
Precinct 7905	349	115	875	539	0	0	74	465	1
Precinct 7906 - Vote By Mail	176	62	599	283	0	0	45	238	0
Precinct 7906 - Election Day	90	9	187	117	0	0	18	99	0
Precinct 7906	266	71	786	400	0	0	63	337	0
Precinct 7907 - Vote By Mail	216	77	704	343	0	0	50	293	0
Precinct 7907 - Election Day	109	25	238	164	0	0	29	135	1
Precinct 7907	325	102	942	507	0	0	79	428	1
Precinct 7908 - Vote By Mail	224	80	752	365	0	0	61	304	0
Precinct 7908 - Election Day	114	18	240	169	0	0	36	133	1
Precinct 7908	338	98	992	534	0	0	97	437	1
Precinct 7909 - Vote By Mail	205	55	558	310	0	0	50	260	0
Precinct 7909 - Election Day	99	15	185	140	0	0	25	115	1
Precinct 7909	304	70	743	450	0	0	75	375	1
Precinct 7911 - Vote By Mail	212	48	666	320	0	0	60	260	0
Precinct 7911 - Election Day	90	19	205	129	0	0	20	109	0
Precinct 7911	302	67	871	449	0	0	80	369	0
Precinct 7912 - Vote By Mail	236	81	800	370	0	0	53	317	0
Precinct 7912 - Election Day	116	23	259	177	0	0	36	141	2
Precinct 7912	352	104	1,059	547	0	0	89	458	2
Precinct 7913 - Vote By Mail	237	61	660	350	0	1	51	298	0
Precinct 7913 - Election Day	166	24	263	214	0	0	22	192	2
Precinct 7913	403	85	923	564	0	1	73	490	2
Precinct 7914 - Vote By Mail	278	55	715	389	0	0	56	333	0
Precinct 7914 - Election Day	103	19	187	142	0	0	20	122	0
Precinct 7914	381	74	902	531	0	0	76	455	0
Precinct 7915 - Vote By Mail	205	46	605	290	0	0	39	251	0
Precinct 7915 - Election Day	137	19	238	181	0	0	24	157	1
Precinct 7915	342	65	843	471	0	0	63	408	1
Precinct 7916 - Vote By Mail	207	74	639	334	0	0	53	281	0
Precinct 7916 - Election Day	128	14	219	161	0	0	18	143	1
Precinct 7916	335	88	858	495	0	0	71	424	1
Precinct 7917 - Vote By Mail	242	65	716	356	0	0	49	307	0
Precinct 7917 - Election Day	144	23	271	187	0	0	18	169	2
Precinct 7917	386	88	987	543	0	0	67	476	2
Precinct 7918 - Vote By Mail	208	53	597	297	0	0	36	261	0
Precinct 7918 - Election Day	108	18	227	144	0	0	18	126	0
Precinct 7918	316	71	824	441	0	0	54	387	0
Precinct 7919 - Vote By Mail	209	55	608	309	0	1	44	264	0
Precinct 7919 - Election Day	143	11	258	176	0	0	21	155	1
Precinct 7919	352	66	866	485	0	1	65	419	1
Precinct 7921 - Vote By Mail	227	38	682	309	0	1	43	265	0
Precinct 7921 - Election Day	84	9	229	102	0	0	9	93	0
Precinct 7921	311	47	911	411	0	1	52	358	0
Precinct 7922 - Vote By Mail	221	51	648	314	0	0	42	272	0
Precinct 7922 - Election Day	125	11	210	155	0	0	19	136	0
Precinct 7922	346	62	858	469	0	0	61	408	0
Precinct 7923 - Vote By Mail	241	48	666	336	0	0	47	289	0
Precinct 7923 - Election Day	127	18	214	171	0	0	26	145	0
Precinct 7923	368	66	880	507	0	0	73	434	0
Precinct 7924 - Vote By Mail	217	52	649	302	0	0	33	269	0
Precinct 7924 - Election Day	95	10	202	124	0	0	18	106	1
Precinct 7924	312	62	851	426	0	0	51	375	1
Precinct 7925 - Vote By Mail	157	33	434	225	0	0	35	190	0
Precinct 7925 - Election Day	65	10	110	89	0	0	14	75	0
Precinct 7925	222	43	544	314	0	0	49	265	0
Precinct 7926 - Vote By Mail	215	64	610	337	0	0	58	279	0
Precinct 7926 - Election Day	100	25	178	150	0	0	22	128	3
Precinct 7926	315	89	788	487	0	0	80	407	3
Precinct 7927 - Vote By Mail	213	62	580	334	0	0	59	275	0
Precinct 7927 - Election Day	110	15	162	153	0	0	28	125	0
Precinct 7927	323	77	742	487	0	0	87	400	0
Precinct 7928 - Vote By Mail	265	72	700	395	0	0	58	337	0
Precinct 7928 - Election Day	155	27	217	208	0	0	24	184	2
Precinct 7928	420	99	917	603	0	0	82	521	2
Precinct 7929 - Vote By Mail	260	80	678	422	0	0	82	340	0
Precinct 7929 - Election Day	108	36	169	171	0	0	27	144	0
Precinct 7929	368	116	847	593	0	0	109	484	0
Precinct 7931 - Vote By Mail	235	71	610	376	0	0	70	306	0
Precinct 7931 - Election Day	96	30	141	150	0	0	24	126	0
Precinct 7931	331	101	751	526	0	0	94	432	0
Precinct 7932 - Vote By Mail	160	65	443	277	0	0	52	225	0
Precinct 7932 - Election Day	63	20	118	96	0	0	13	83	0
Precinct 7932	223	85	561	373	0	0	65	308	0
Precinct 7933 MB - Vote By Mail	4	1	9	6	0	0	1	5	0
Precinct 7933 MB - Election Day	0	0	-1	0	0	0	0	0	0
Precinct 7933 MB	4	1	8	6	0	0	1	5	0
Precinct 7934 - Vote By Mail	281	61	702	408	0	0	66	342	0
Precinct 7934 - Election Day	112	18	182	155	0	0	24	131	1
Precinct 7934	393	79	884	563	0	0	90	473	1
Precinct 7935 - Vote By Mail	267	81	716	435	0	1	86	348	0
Precinct 7935 - Election Day	147	34	227	225	0	0	43	182	1
Precinct 7935	414	115	943	660	0	1	129	530	1
Precinct 7936 - Vote By Mail	257	55	620	369	0	0	57	312	0
Precinct 7936 - Election Day	166	28	236	220	0	0	25	195	1
Precinct 7936	423	83	856	589	0	0	82	507	1
Precinct 7937 - Vote By Mail	278	71	698	406	0	0	57	349	0
Precinct 7937 - Election Day	126	18	202	171	0	0	27	144	0
Precinct 7937	404	89	900	577	0	0	84	493	0
Precinct 7938 - Vote By Mail	200	59	536	301	0	0	42	259	0
Precinct 7938 - Election Day	86	17	215	121	0	0	18	103	0
Precinct 7938	286	76	751	422	0	0	60	362	0
Precinct 7939 - Vote By Mail	201	39	481	289	0	0	49	240	0
Precinct 7939 - Election Day	134	24	205	191	0	0	32	159	1
Precinct 7939	335	63	686	480	0	0	81	399	1
Precinct 7941 - Vote By Mail	200	44	576	304	0	0	60	244	0
Precinct 7941 - Election Day	112	32	196	171	0	0	27	144	0
Precinct 7941	312	76	772	475	0	0	87	388	0
Precinct 7942 - Vote By Mail	213	62	658	330	0	0	55	275	0
Precinct 7942 - Election Day	91	22	274	141	0	0	27	114	1
Precinct 7942	304	84	932	471	0	0	82	389	1
Precinct 7943 - Vote By Mail	225	91	687	367	0	0	51	316	0
Precinct 7943 - Election Day	101	26	213	156	0	0	29	127	0
Precinct 7943	326	117	900	523	0	0	80	443	0
Precinct 7944 - Vote By Mail	223	56	584	340	0	0	61	279	0
Precinct 7944 - Election Day	127	33	230	196	0	0	34	162	2
Precinct 7944	350	89	814	536	0	0	95	441	2
Precinct 7945 - Vote By Mail	225	52	726	337	0	0	60	277	0
Precinct 7945 - Election Day	66	10	228	83	0	0	7	76	0
Precinct 7945	291	62	954	420	0	0	67	353	0
Precinct 7946 - Vote By Mail	196	115	779	365	0	2	52	311	0
Precinct 7946 - Election Day	78	23	206	115	0	0	14	101	0
Precinct 7946	274	138	985	480	0	2	66	412	0
Precinct 7947 - Vote By Mail	144	136	792	332	0	0	52	280	0
Precinct 7947 - Election Day	64	14	194	94	0	0	16	78	0
Precinct 7947	208	150	986	426	0	0	68	358	0
Precinct 7948 - Vote By Mail	193	127	730	373	0	0	53	320	0
Precinct 7948 - Election Day	78	21	200	119	0	0	19	100	1
Precinct 7948	271	148	930	492	0	0	72	420	1
Precinct 7949 - Vote By Mail	73	118	484	233	0	0	42	191	0
Precinct 7949 - Election Day	32	14	106	56	0	0	10	46	0
Precinct 7949	105	132	590	289	0	0	52	237	0
Precinct 7951 - Vote By Mail	173	132	731	365	0	1	59	305	0
Precinct 7951 - Election Day	57	22	156	90	0	0	11	79	0
Precinct 7951	230	154	887	455	0	1	70	384	0
Precinct 7952 - Vote By Mail	143	119	730	292	0	0	30	262	0
Precinct 7952 - Election Day	48	26	182	86	0	0	12	74	0
Precinct 7952	191	145	912	378	0	0	42	336	0
Precinct 7953 - Vote By Mail	164	124	669	331	0	0	43	288	0
Precinct 7953 - Election Day	66	26	161	106	0	0	14	92	0
Precinct 7953	230	150	830	437	0	0	57	380	0
Precinct 7955 - Vote By Mail	162	134	774	350	0	0	54	296	0
Precinct 7955 - Election Day	62	16	173	98	0	0	20	78	0
Precinct 7955	224	150	947	448	0	0	74	374	0
Precinct 7956 - Vote By Mail	116	108	699	266	0	0	42	224	0
Precinct 7956 - Election Day	26	8	170	39	0	0	5	34	0
Precinct 7956	142	116	869	305	0	0	47	258	0
Precinct 7957 - Vote By Mail	143	68	538	261	0	0	50	211	0
Precinct 7957 - Election Day	45	19	135	85	0	0	21	64	0
Precinct 7957	188	87	673	346	0	0	71	275	0
Precinct 7958 MB - Vote By Mail	55	39	320	104	0	1	9	94	0
Precinct 7958 MB - Election Day	0	0	-23	0	0	0	0	0	0
Precinct 7958 MB	55	39	297	104	0	1	9	94	0
Precinct 7959 - Vote By Mail	137	49	541	230	0	0	44	186	0
Precinct 7959 - Election Day	51	4	145	68	0	0	13	55	0
Precinct 7959	188	53	686	298	0	0	57	241	0
Precinct 9001 MB - Vote By Mail	49	40	314	100	0	0	11	89	0
Precinct 9001 MB - Election Day	0	0	-30	0	0	0	0	0	0
Precinct 9001 MB	49	40	284	100	0	0	11	89	0
Precinct 9101 - Vote By Mail	199	120	712	377	0	0	58	319	0
Precinct 9101 - Election Day	101	49	201	193	0	0	42	151	1
Precinct 9101	300	169	913	570	0	0	100	470	1
Precinct 9102 - Vote By Mail	194	131	788	393	0	0	68	325	0
Precinct 9102 - Election Day	92	45	204	173	0	0	33	140	3
Precinct 9102	286	176	992	566	0	0	101	465	3
Precinct 9103 - Vote By Mail	168	146	719	381	0	0	67	314	0
Precinct 9103 - Election Day	98	54	238	190	0	0	36	154	2
Precinct 9103	266	200	957	571	0	0	103	468	2
Precinct 9104 - Vote By Mail	197	107	810	381	0	0	77	304	0
Precinct 9104 - Election Day	109	30	220	178	0	0	39	139	0
Precinct 9104	306	137	1,030	559	0	0	116	443	0
Precinct 9105 - Vote By Mail	181	135	719	413	0	0	97	316	0
Precinct 9105 - Election Day	121	53	199	221	0	0	46	175	1
Precinct 9105	302	188	918	634	0	0	143	491	1
Precinct 9106 - Vote By Mail	193	122	748	397	0	0	82	315	0
Precinct 9106 - Election Day	127	55	198	223	0	0	41	182	0
Precinct 9106	320	177	946	620	0	0	123	497	0
Precinct 9107 - Vote By Mail	150	104	636	305	0	0	51	254	0
Precinct 9107 - Election Day	92	36	208	165	0	0	37	128	0
Precinct 9107	242	140	844	470	0	0	88	382	0
Precinct 9108 - Vote By Mail	163	119	610	336	0	0	54	282	0
Precinct 9108 - Election Day	84	32	200	140	0	0	24	116	0
Precinct 9108	247	151	810	476	0	0	78	398	0
Precinct 9109 - Vote By Mail	159	88	672	300	0	0	53	247	0
Precinct 9109 - Election Day	109	46	211	196	0	0	41	155	0
Precinct 9109	268	134	883	496	0	0	94	402	0
Precinct 9111 - Vote By Mail	163	101	639	316	0	0	52	264	0
Precinct 9111 - Election Day	92	37	195	169	0	0	40	129	0
Precinct 9111	255	138	834	485	0	0	92	393	0
Precinct 9112 - Vote By Mail	196	84	742	351	0	0	71	280	0
Precinct 9112 - Election Day	114	53	219	204	0	0	35	169	2
Precinct 9112	310	137	961	555	0	0	106	449	2
Precinct 9113 - Vote By Mail	176	133	796	371	0	0	62	309	0
Precinct 9113 - Election Day	120	60	208	241	0	0	61	180	0
Precinct 9113	296	193	1,004	612	0	0	123	489	0
Precinct 9114 - Vote By Mail	158	93	659	290	0	0	39	251	0
Precinct 9114 - Election Day	116	36	231	182	0	0	30	152	0
Precinct 9114	274	129	890	472	0	0	69	403	0
Precinct 9115 - Vote By Mail	189	79	699	322	0	0	54	268	0
Precinct 9115 - Election Day	117	37	182	179	0	0	25	154	0
Precinct 9115	306	116	881	501	0	0	79	422	0
Precinct 9116 - Vote By Mail	194	94	782	345	0	0	57	288	0
Precinct 9116 - Election Day	113	24	179	174	0	0	37	137	0
Precinct 9116	307	118	961	519	0	0	94	425	0
Precinct 9117 - Vote By Mail	159	109	629	326	0	0	58	268	0
Precinct 9117 - Election Day	99	55	171	195	0	0	41	154	0
Precinct 9117	258	164	800	521	0	0	99	422	0
Precinct 9118 - Vote By Mail	161	119	742	340	0	0	60	280	0
Precinct 9118 - Election Day	114	60	242	223	0	0	46	177	3
Precinct 9118	275	179	984	563	0	0	106	457	3
Precinct 9119 - Vote By Mail	198	138	703	387	0	0	51	336	0
Precinct 9119 - Election Day	84	31	197	156	0	0	40	116	1
Precinct 9119	282	169	900	543	0	0	91	452	1
Precinct 9121 - Vote By Mail	147	130	735	335	0	0	58	277	0
Precinct 9121 - Election Day	101	49	218	184	0	0	34	150	0
Precinct 9121	248	179	953	519	0	0	92	427	0
Precinct 9122 - Vote By Mail	165	137	775	364	0	0	62	302	0
Precinct 9122 - Election Day	97	34	192	160	0	0	27	133	2
Precinct 9122	262	171	967	524	0	0	89	435	2
Precinct 9123 - Vote By Mail	158	104	661	319	0	1	56	262	0
Precinct 9123 - Election Day	112	38	191	187	0	0	35	152	2
Precinct 9123	270	142	852	506	0	1	91	414	2
Precinct 9124 - Vote By Mail	152	139	736	351	0	0	60	291	0
Precinct 9124 - Election Day	102	31	167	159	0	0	26	133	0
Precinct 9124	254	170	903	510	0	0	86	424	0
Precinct 9125 - Vote By Mail	162	128	681	358	0	1	67	290	0
Precinct 9125 - Election Day	86	38	188	152	0	0	28	124	0
Precinct 9125	248	166	869	510	0	1	95	414	0
Precinct 9126 - Vote By Mail	149	165	819	385	0	2	69	314	0
Precinct 9126 - Election Day	113	47	194	200	0	0	40	160	0
Precinct 9126	262	212	1,013	585	0	2	109	474	0
Precinct 9127 - Vote By Mail	184	119	748	380	0	0	77	303	0
Precinct 9127 - Election Day	114	67	223	220	0	0	39	181	0
Precinct 9127	298	186	971	600	0	0	116	484	0
Precinct 9128 - Vote By Mail	147	126	628	333	0	1	59	273	0
Precinct 9128 - Election Day	93	58	190	195	0	0	43	152	1
Precinct 9128	240	184	818	528	0	1	102	425	1
Precinct 9129 - Vote By Mail	141	91	587	271	0	0	39	232	0
Precinct 9129 - Election Day	89	39	151	153	0	1	23	129	1
Precinct 9129	230	130	738	424	0	1	62	361	1
Precinct 9131 - Vote By Mail	132	108	596	285	0	0	45	240	0
Precinct 9131 - Election Day	83	35	138	152	0	0	33	119	1
Precinct 9131	215	143	734	437	0	0	78	359	1
Precinct 9132 - Vote By Mail	137	82	627	262	0	0	43	219	0
Precinct 9132 - Election Day	102	32	194	172	0	0	38	134	0
Precinct 9132	239	114	821	434	0	0	81	353	0
Precinct 9133 - Vote By Mail	204	125	808	381	0	0	52	329	0
Precinct 9133 - Election Day	120	56	209	211	0	0	35	176	0
Precinct 9133	324	181	1,017	592	0	0	87	505	0
Precinct 9134 - Vote By Mail	153	123	736	327	0	0	51	276	0
Precinct 9134 - Election Day	52	24	155	103	0	0	26	77	1
Precinct 9134	205	147	891	430	0	0	77	353	1
Precinct 9135 - Vote By Mail	163	86	640	304	0	0	55	249	0
Precinct 9135 - Election Day	91	32	182	154	0	0	31	123	0
Precinct 9135	254	118	822	458	0	0	86	372	0
Precinct 9136 - Vote By Mail	196	101	706	368	0	0	71	297	0
Precinct 9136 - Election Day	105	27	212	162	0	0	30	132	0
Precinct 9136	301	128	918	530	0	0	101	429	0
Precinct 9137 - Vote By Mail	183	135	806	387	0	0	69	318	0
Precinct 9137 - Election Day	106	44	209	175	0	0	24	151	1
Precinct 9137	289	179	1,015	562	0	0	93	469	1
Precinct 9138 - Vote By Mail	187	160	770	398	0	1	50	347	0
Precinct 9138 - Election Day	87	32	175	149	0	0	30	119	0
Precinct 9138	274	192	945	547	0	1	80	466	0
Precinct 9139 - Vote By Mail	198	164	828	422	0	0	60	362	0
Precinct 9139 - Election Day	89	45	190	174	0	1	38	135	1
Precinct 9139	287	209	1,018	596	0	1	98	497	1
Precinct 9141 - Vote By Mail	176	163	789	418	0	0	79	339	0
Precinct 9141 - Election Day	94	48	184	172	0	0	29	143	1
Precinct 9141	270	211	973	590	0	0	108	482	1
Precinct 9142 - Vote By Mail	204	111	747	364	0	0	49	315	0
Precinct 9142 - Election Day	131	41	239	204	0	0	32	172	0
Precinct 9142	335	152	986	568	0	0	81	487	0
Precinct 9143 - Vote By Mail	163	132	705	359	0	1	63	295	0
Precinct 9143 - Election Day	90	54	209	170	0	0	26	144	0
Precinct 9143	253	186	914	529	0	1	89	439	0
Precinct 9144 - Vote By Mail	192	127	767	376	0	1	56	319	0
Precinct 9144 - Election Day	114	61	203	213	0	0	38	175	0
Precinct 9144	306	188	970	589	0	1	94	494	0
Precinct 9145 - Vote By Mail	170	115	681	334	0	1	48	285	0
Precinct 9145 - Election Day	99	49	194	176	0	0	28	148	0
Precinct 9145	269	164	875	510	0	1	76	433	0
Precinct 9146 - Vote By Mail	192	98	725	353	0	0	63	290	0
Precinct 9146 - Election Day	123	38	160	189	0	0	28	161	0
Precinct 9146	315	136	885	542	0	0	91	451	0
Precinct 9147 - Vote By Mail	207	119	765	373	0	0	47	326	0
Precinct 9147 - Election Day	126	51	225	208	0	0	30	178	1
Precinct 9147	333	170	990	581	0	0	77	504	1
Precinct 9148 - Vote By Mail	220	112	779	397	0	0	65	332	0
Precinct 9148 - Election Day	136	44	235	226	0	0	46	180	0
Precinct 9148	356	156	1,014	623	0	0	111	512	0
Precinct 9149 - Vote By Mail	217	106	813	384	0	1	60	323	0
Precinct 9149 - Election Day	162	38	178	248	0	0	48	200	0
Precinct 9149	379	144	991	632	0	1	108	523	0
Precinct 9151 - Vote By Mail	193	98	693	351	0	0	60	291	0
Precinct 9151 - Election Day	69	28	168	114	0	0	17	97	0
Precinct 9151	262	126	861	465	0	0	77	388	0
Precinct 9152 - Vote By Mail	105	47	550	196	0	0	44	152	0
Precinct 9152 - Election Day	89	30	187	142	0	0	22	120	1
Precinct 9152	194	77	737	338	0	0	66	272	1
Precinct 9201 - Vote By Mail	213	92	785	357	0	0	52	305	0
Precinct 9201 - Election Day	140	42	186	226	0	0	44	182	0
Precinct 9201	353	134	971	583	0	0	96	487	0
Precinct 9202 - Vote By Mail	192	93	819	368	0	0	83	285	0
Precinct 9202 - Election Day	100	58	177	223	0	0	64	159	1
Precinct 9202	292	151	996	591	0	0	147	444	1
Precinct 9203 - Vote By Mail	138	140	847	373	0	0	95	278	0
Precinct 9203 - Election Day	58	67	155	188	0	0	62	126	1
Precinct 9203	196	207	1,002	561	0	0	157	404	1
Precinct 9204 - Vote By Mail	98	144	686	309	0	0	67	242	0
Precinct 9204 - Election Day	81	71	176	195	0	0	42	153	1
Precinct 9204	179	215	862	504	0	0	109	395	1
Precinct 9205 - Vote By Mail	133	74	621	288	0	0	81	207	0
Precinct 9205 - Election Day	64	36	115	150	0	0	49	101	1
Precinct 9205	197	110	736	438	0	0	130	308	1
Precinct 9206 - Vote By Mail	115	150	741	350	0	0	85	265	0
Precinct 9206 - Election Day	60	65	188	194	0	0	68	126	1
Precinct 9206	175	215	929	544	0	0	153	391	1
Precinct 9207 - Vote By Mail	150	143	824	369	0	0	76	293	0
Precinct 9207 - Election Day	65	65	165	192	0	0	62	130	0
Precinct 9207	215	208	989	561	0	0	138	423	0
Precinct 9208 - Vote By Mail	139	128	808	357	0	0	90	267	0
Precinct 9208 - Election Day	77	55	179	179	0	0	46	133	1
Precinct 9208	216	183	987	536	0	0	136	400	1
Precinct 9209 - Vote By Mail	115	94	615	275	0	0	66	209	0
Precinct 9209 - Election Day	71	50	156	170	0	0	49	121	0
Precinct 9209	186	144	771	445	0	0	115	330	0
Precinct 9211 - Vote By Mail	122	92	730	314	0	0	100	214	0
Precinct 9211 - Election Day	69	52	161	154	0	0	32	122	1
Precinct 9211	191	144	891	468	0	0	132	336	1
Precinct 9212 - Vote By Mail	123	94	671	284	0	0	67	217	0
Precinct 9212 - Election Day	73	38	137	170	0	0	59	111	0
