Subtotal Area	SCOTT WIENER	ERIN SMITH	JACKIE FIELDER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7814 - Vote By Mail	134	8	103	660	279	0	3	31	245	0
Precinct 7814 - Election Day	45	5	57	241	118	0	0	11	107	0
Precinct 7814	179	13	160	901	397	0	3	42	352	0
Precinct 7815 - Vote By Mail	305	7	117	749	465	0	0	36	429	0
Precinct 7815 - Election Day	110	2	58	168	179	0	0	9	170	0
Precinct 7815	415	9	175	917	644	0	0	45	599	0
Precinct 7816 - Vote By Mail	320	11	113	724	472	0	0	28	444	0
Precinct 7816 - Election Day	95	3	42	148	149	0	0	9	140	0
Precinct 7816	415	14	155	872	621	0	0	37	584	0
Precinct 7817 - Vote By Mail	232	11	136	652	396	0	0	17	379	0
Precinct 7817 - Election Day	97	3	75	186	183	0	0	8	175	0
Precinct 7817	329	14	211	838	579	0	0	25	554	0
Precinct 7818 - Vote By Mail	227	6	136	668	393	0	0	24	369	0
Precinct 7818 - Election Day	76	1	63	171	149	0	0	9	140	0
Precinct 7818	303	7	199	839	542	0	0	33	509	0
Precinct 7819 - Vote By Mail	205	16	112	635	352	0	0	19	333	0
Precinct 7819 - Election Day	48	2	34	139	89	0	0	4	85	1
Precinct 7819	253	18	146	774	441	0	0	23	418	1
Precinct 7821 - Vote By Mail	331	27	138	806	519	0	0	23	496	0
Precinct 7821 - Election Day	116	4	61	170	190	0	0	9	181	0
Precinct 7821	447	31	199	976	709	0	0	32	677	0
Precinct 7822 - Vote By Mail	240	13	113	673	395	0	0	29	366	0
Precinct 7822 - Election Day	126	7	77	219	223	0	0	12	211	1
Precinct 7822	366	20	190	892	618	0	0	41	577	1
Precinct 7823 - Vote By Mail	283	15	91	706	410	0	1	20	389	0
Precinct 7823 - Election Day	104	2	74	177	189	0	0	9	180	0
Precinct 7823	387	17	165	883	599	0	1	29	569	0
Precinct 7824 - Vote By Mail	195	15	95	615	334	0	0	29	305	0
Precinct 7824 - Election Day	85	3	55	153	158	0	0	14	144	1
Precinct 7824	280	18	150	768	492	0	0	43	449	1
Precinct 7825 - Vote By Mail	145	8	91	457	252	0	0	8	244	0
Precinct 7825 - Election Day	70	5	51	151	130	0	0	4	126	0
Precinct 7825	215	13	142	608	382	0	0	12	370	0
Precinct 7826 - Vote By Mail	140	13	94	486	263	0	0	16	247	0
Precinct 7826 - Election Day	87	9	62	204	162	0	0	4	158	0
Precinct 7826	227	22	156	690	425	0	0	20	405	0
Precinct 7827 - Vote By Mail	146	17	132	607	318	0	1	22	295	0
Precinct 7827 - Election Day	54	4	78	219	146	0	0	10	136	0
Precinct 7827	200	21	210	826	464	0	1	32	431	0
Precinct 7828 - Vote By Mail	303	18	130	857	477	0	1	25	451	0
Precinct 7828 - Election Day	88	10	64	171	179	0	0	16	163	1
Precinct 7828	391	28	194	1,028	656	0	1	41	614	1
Precinct 7829 - Vote By Mail	314	26	97	742	466	0	0	29	437	0
Precinct 7829 - Election Day	91	5	49	149	151	0	0	6	145	0
Precinct 7829	405	31	146	891	617	0	0	35	582	0
Precinct 7831 - Vote By Mail	307	19	134	763	485	0	0	25	460	0
Precinct 7831 - Election Day	74	4	59	139	138	0	0	1	137	0
Precinct 7831	381	23	193	902	623	0	0	26	597	0
Precinct 7832 - Vote By Mail	258	21	114	663	412	0	1	18	393	0
Precinct 7832 - Election Day	75	6	42	118	127	0	0	4	123	0
Precinct 7832	333	27	156	781	539	0	1	22	516	0
Precinct 7833 - Vote By Mail	176	12	133	587	343	0	1	21	321	0
Precinct 7833 - Election Day	74	3	61	146	145	0	0	7	138	0
Precinct 7833	250	15	194	733	488	0	1	28	459	0
Precinct 7834 - Vote By Mail	205	14	120	700	374	0	0	35	339	0
Precinct 7834 - Election Day	71	6	82	194	177	0	0	18	159	0
Precinct 7834	276	20	202	894	551	0	0	53	498	0
Precinct 7835 - Vote By Mail	241	29	123	721	427	0	0	34	393	0
Precinct 7835 - Election Day	70	5	61	142	147	0	0	11	136	0
Precinct 7835	311	34	184	863	574	0	0	45	529	0
Precinct 7836 - Vote By Mail	305	34	129	850	505	0	0	37	468	0
Precinct 7836 - Election Day	100	11	49	193	170	0	0	10	160	0
Precinct 7836	405	45	178	1,043	675	0	0	47	628	0
Precinct 7837 - Vote By Mail	269	16	100	718	424	0	0	39	385	0
Precinct 7837 - Election Day	130	7	50	205	199	0	0	12	187	0
Precinct 7837	399	23	150	923	623	0	0	51	572	0
Precinct 7838 - Vote By Mail	324	26	113	752	492	0	0	29	463	0
Precinct 7838 - Election Day	95	6	44	143	156	0	0	9	147	2
Precinct 7838	419	32	157	895	648	0	0	38	610	2
Precinct 7839 - Vote By Mail	276	33	119	731	456	0	0	28	428	0
Precinct 7839 - Election Day	86	6	37	130	137	0	0	7	130	1
Precinct 7839	362	39	156	861	593	0	0	35	558	1
Precinct 7841 - Vote By Mail	277	17	127	752	457	0	0	36	421	0
Precinct 7841 - Election Day	115	10	63	198	207	0	0	19	188	0
Precinct 7841	392	27	190	950	664	0	0	55	609	0
Precinct 7842 - Vote By Mail	201	17	144	702	393	0	0	31	362	0
Precinct 7842 - Election Day	71	10	67	177	155	0	0	7	148	0
Precinct 7842	272	27	211	879	548	0	0	38	510	0
Precinct 7843 - Vote By Mail	142	15	119	546	295	0	2	17	276	0
Precinct 7843 - Election Day	75	3	72	183	165	0	0	15	150	0
Precinct 7843	217	18	191	729	460	0	2	32	426	0
Precinct 7844 - Vote By Mail	133	13	117	499	281	0	0	18	263	0
Precinct 7844 - Election Day	58	7	57	152	136	0	0	14	122	0
Precinct 7844	191	20	174	651	417	0	0	32	385	0
Precinct 7845 - Vote By Mail	255	20	106	676	405	0	0	24	381	0
Precinct 7845 - Election Day	93	11	56	204	177	0	0	16	161	1
Precinct 7845	348	31	162	880	582	0	0	40	542	1
Precinct 7846 - Vote By Mail	268	34	115	736	463	0	0	46	417	0
Precinct 7846 - Election Day	97	10	50	172	167	0	0	10	157	0
Precinct 7846	365	44	165	908	630	0	0	56	574	0
Precinct 7847 - Vote By Mail	251	16	119	698	427	0	0	41	386	0
Precinct 7847 - Election Day	99	11	58	193	183	0	0	14	169	1
Precinct 7847	350	27	177	891	610	0	0	55	555	1
Precinct 7848 - Vote By Mail	277	18	110	665	437	0	0	32	405	0
Precinct 7848 - Election Day	112	6	43	182	169	0	0	8	161	0
Precinct 7848	389	24	153	847	606	0	0	40	566	0
Precinct 7849 - Vote By Mail	263	21	128	729	441	0	0	29	412	0
Precinct 7849 - Election Day	96	7	71	172	186	0	0	12	174	0
Precinct 7849	359	28	199	901	627	0	0	41	586	0
Precinct 7851 - Vote By Mail	190	15	37	414	272	0	0	30	242	0
Precinct 7851 - Election Day	52	8	14	112	84	0	0	10	74	0
Precinct 7851	242	23	51	526	356	0	0	40	316	0
Precinct 7852 - Vote By Mail	218	32	76	533	350	0	1	23	326	0
Precinct 7852 - Election Day	62	10	24	111	103	0	0	6	97	1
Precinct 7852	280	42	100	644	453	0	1	29	423	1
Precinct 7853 - Vote By Mail	239	21	98	694	394	0	0	36	358	0
Precinct 7853 - Election Day	82	7	39	161	137	0	0	9	128	0
Precinct 7853	321	28	137	855	531	0	0	45	486	0
Precinct 7854 - Vote By Mail	259	25	112	703	430	0	0	34	396	0
Precinct 7854 - Election Day	103	5	58	175	172	0	0	6	166	0
Precinct 7854	362	30	170	878	602	0	0	40	562	0
Precinct 7855 - Vote By Mail	263	25	118	763	450	0	0	44	406	0
Precinct 7855 - Election Day	115	6	65	211	202	0	0	15	187	1
Precinct 7855	378	31	183	974	652	0	0	59	593	1
Precinct 7856 - Vote By Mail	215	10	120	643	372	0	0	27	345	0
Precinct 7856 - Election Day	118	6	57	204	193	0	0	12	181	0
Precinct 7856	333	16	177	847	565	0	0	39	526	0
Precinct 7857 - Vote By Mail	237	22	135	748	435	0	1	40	394	0
Precinct 7857 - Election Day	73	7	66	158	154	0	0	8	146	0
Precinct 7857	310	29	201	906	589	0	1	48	540	0
Precinct 7858 - Vote By Mail	194	8	123	622	349	0	0	24	325	0
Precinct 7858 - Election Day	67	6	64	157	148	0	0	11	137	0
Precinct 7858	261	14	187	779	497	0	0	35	462	0
Precinct 7859 - Vote By Mail	308	21	113	747	464	0	0	22	442	0
Precinct 7859 - Election Day	101	8	47	152	166	0	0	9	157	1
Precinct 7859	409	29	160	899	630	0	0	31	599	1
Precinct 7861 - Vote By Mail	254	27	118	699	431	0	0	32	399	0
Precinct 7861 - Election Day	88	5	65	164	171	0	0	12	159	1
Precinct 7861	342	32	183	863	602	0	0	44	558	1
Precinct 7862 - Vote By Mail	246	16	105	669	400	0	0	33	367	0
Precinct 7862 - Election Day	108	6	72	195	198	0	1	11	186	0
Precinct 7862	354	22	177	864	598	0	1	44	553	0
Precinct 7863 - Vote By Mail	200	10	126	693	371	0	0	35	336	0
Precinct 7863 - Election Day	111	8	79	208	205	0	0	7	198	0
Precinct 7863	311	18	205	901	576	0	0	42	534	0
Precinct 7864 - Vote By Mail	198	20	125	661	374	0	0	31	343	0
Precinct 7864 - Election Day	80	3	61	153	157	0	0	12	145	1
Precinct 7864	278	23	186	814	531	0	0	43	488	1
Precinct 7865 - Vote By Mail	216	18	142	677	408	0	1	31	376	0
Precinct 7865 - Election Day	65	12	68	163	157	0	0	11	146	1
Precinct 7865	281	30	210	840	565	0	1	42	522	1
Precinct 7866 - Vote By Mail	275	48	82	690	446	0	0	41	405	0
Precinct 7866 - Election Day	93	12	29	158	141	0	0	7	134	0
Precinct 7866	368	60	111	848	587	0	0	48	539	0
Precinct 7867 - Vote By Mail	284	26	133	766	470	0	0	27	443	0
Precinct 7867 - Election Day	103	6	61	212	182	0	0	12	170	0
Precinct 7867	387	32	194	978	652	0	0	39	613	0
Precinct 7868 - Vote By Mail	261	28	68	659	374	0	0	17	357	0
Precinct 7868 - Election Day	106	6	41	217	161	0	0	8	153	0
Precinct 7868	367	34	109	876	535	0	0	25	510	0
Precinct 7869 - Vote By Mail	248	26	132	683	440	0	0	34	406	0
Precinct 7869 - Election Day	106	8	66	178	190	0	0	10	180	0
Precinct 7869	354	34	198	861	630	0	0	44	586	0
Precinct 7871 - Vote By Mail	277	25	124	702	463	0	0	37	426	0
Precinct 7871 - Election Day	87	12	46	200	157	0	0	12	145	0
Precinct 7871	364	37	170	902	620	0	0	49	571	0
Precinct 7872 - Vote By Mail	249	20	123	675	420	0	0	28	392	0
Precinct 7872 - Election Day	105	8	62	199	185	0	0	10	175	0
Precinct 7872	354	28	185	874	605	0	0	38	567	0
Precinct 7873 - Vote By Mail	278	19	113	689	444	0	1	33	410	0
Precinct 7873 - Election Day	129	10	66	202	213	0	0	8	205	0
Precinct 7873	407	29	179	891	657	0	1	41	615	0
Precinct 7874 - Vote By Mail	107	10	57	370	189	0	2	13	174	0
Precinct 7874 - Election Day	57	8	33	119	107	0	0	8	99	1
Precinct 7874	164	18	90	489	296	0	2	21	273	1
Precinct 7875 - Vote By Mail	102	26	92	500	252	0	0	32	220	0
Precinct 7875 - Election Day	56	10	39	147	115	0	0	9	106	1
Precinct 7875	158	36	131	647	367	0	0	41	326	1
Precinct 7876 - Vote By Mail	147	7	80	462	256	0	0	22	234	0
Precinct 7876 - Election Day	57	3	25	106	91	0	0	6	85	0
Precinct 7876	204	10	105	568	347	0	0	28	319	0
Precinct 7901 - Vote By Mail	88	12	75	399	191	0	0	16	175	0
Precinct 7901 - Election Day	25	2	29	150	65	0	0	9	56	0
Precinct 7901	113	14	104	549	256	0	0	25	231	0
Precinct 7902 - Vote By Mail	150	13	109	680	290	0	0	18	272	0
Precinct 7902 - Election Day	53	6	71	232	141	0	0	11	130	0
Precinct 7902	203	19	180	912	431	0	0	29	402	0
Precinct 7903 - Vote By Mail	147	18	93	623	284	0	0	26	258	0
Precinct 7903 - Election Day	51	7	56	229	123	0	0	8	115	1
Precinct 7903	198	25	149	852	407	0	0	34	373	1
Precinct 7904 - Vote By Mail	145	24	106	680	297	0	0	22	275	0
Precinct 7904 - Election Day	47	6	56	157	118	0	0	9	109	0
Precinct 7904	192	30	162	837	415	0	0	31	384	0
Precinct 7905 - Vote By Mail	199	20	113	684	356	0	0	24	332	0
Precinct 7905 - Election Day	73	10	84	191	183	0	0	15	168	1
Precinct 7905	272	30	197	875	539	0	0	39	500	1
Precinct 7906 - Vote By Mail	135	13	116	599	283	0	0	19	264	0
Precinct 7906 - Election Day	39	4	61	187	117	0	0	12	105	1
Precinct 7906	174	17	177	786	400	0	0	31	369	1
Precinct 7907 - Vote By Mail	172	15	128	704	343	0	1	27	315	0
Precinct 7907 - Election Day	68	2	76	238	164	0	0	16	148	2
Precinct 7907	240	17	204	942	507	0	1	43	463	2
Precinct 7908 - Vote By Mail	166	22	134	752	365	0	1	42	322	0
Precinct 7908 - Election Day	63	7	85	240	169	0	0	14	155	0
Precinct 7908	229	29	219	992	534	0	1	56	477	0
Precinct 7909 - Vote By Mail	156	6	127	558	310	0	0	21	289	0
Precinct 7909 - Election Day	53	4	74	185	140	0	0	9	131	0
Precinct 7909	209	10	201	743	450	0	0	30	420	0
Precinct 7911 - Vote By Mail	144	12	129	666	320	0	0	35	285	0
Precinct 7911 - Election Day	48	8	69	205	129	0	0	4	125	0
Precinct 7911	192	20	198	871	449	0	0	39	410	0
Precinct 7912 - Vote By Mail	176	6	169	800	370	0	0	19	351	0
Precinct 7912 - Election Day	71	7	82	259	177	0	1	16	160	0
Precinct 7912	247	13	251	1,059	547	0	1	35	511	0
Precinct 7913 - Vote By Mail	164	14	145	660	350	0	2	25	323	0
Precinct 7913 - Election Day	77	14	108	263	214	0	0	15	199	0
Precinct 7913	241	28	253	923	564	0	2	40	522	0
Precinct 7914 - Vote By Mail	193	10	154	715	389	0	0	32	357	0
Precinct 7914 - Election Day	52	5	69	187	142	0	0	14	128	2
Precinct 7914	245	15	223	902	531	0	0	46	485	2
Precinct 7915 - Vote By Mail	129	9	129	605	290	0	0	23	267	0
Precinct 7915 - Election Day	73	8	90	238	181	0	0	10	171	0
Precinct 7915	202	17	219	843	471	0	0	33	438	0
Precinct 7916 - Vote By Mail	167	12	127	639	334	0	0	28	306	0
Precinct 7916 - Election Day	54	5	91	219	161	0	0	11	150	0
Precinct 7916	221	17	218	858	495	0	0	39	456	0
Precinct 7917 - Vote By Mail	177	17	147	716	356	0	0	15	341	0
Precinct 7917 - Election Day	65	8	105	271	187	0	0	9	178	0
Precinct 7917	242	25	252	987	543	0	0	24	519	0
Precinct 7918 - Vote By Mail	134	6	140	597	297	0	0	17	280	0
Precinct 7918 - Election Day	63	6	62	227	144	0	0	12	132	1
Precinct 7918	197	12	202	824	441	0	0	29	412	1
Precinct 7919 - Vote By Mail	144	14	118	608	309	0	2	31	276	0
Precinct 7919 - Election Day	64	5	99	258	176	0	0	7	169	1
Precinct 7919	208	19	217	866	485	0	2	38	445	1
Precinct 7921 - Vote By Mail	121	28	126	682	309	0	2	32	275	0
Precinct 7921 - Election Day	43	3	50	229	102	0	0	6	96	0
Precinct 7921	164	31	176	911	411	0	2	38	371	0
Precinct 7922 - Vote By Mail	128	19	147	648	314	0	1	19	294	0
Precinct 7922 - Election Day	67	4	75	210	155	0	0	9	146	0
Precinct 7922	195	23	222	858	469	0	1	28	440	0
Precinct 7923 - Vote By Mail	144	18	156	666	336	0	1	17	318	0
Precinct 7923 - Election Day	58	5	95	214	171	0	0	12	159	1
Precinct 7923	202	23	251	880	507	0	1	29	477	1
Precinct 7924 - Vote By Mail	114	22	144	649	302	0	0	22	280	0
Precinct 7924 - Election Day	38	4	75	202	124	0	0	7	117	0
Precinct 7924	152	26	219	851	426	0	0	29	397	0
Precinct 7925 - Vote By Mail	113	13	89	434	225	0	0	10	215	0
Precinct 7925 - Election Day	35	4	43	110	89	0	0	7	82	0
Precinct 7925	148	17	132	544	314	0	0	17	297	0
Precinct 7926 - Vote By Mail	152	18	139	610	337	0	0	28	309	0
Precinct 7926 - Election Day	59	6	73	178	150	0	0	12	138	0
Precinct 7926	211	24	212	788	487	0	0	40	447	0
Precinct 7927 - Vote By Mail	179	12	107	580	334	0	1	35	298	0
Precinct 7927 - Election Day	67	5	70	162	153	0	0	11	142	0
Precinct 7927	246	17	177	742	487	0	1	46	440	0
Precinct 7928 - Vote By Mail	183	17	177	700	395	0	0	18	377	0
Precinct 7928 - Election Day	90	8	103	217	208	0	0	7	201	0
Precinct 7928	273	25	280	917	603	0	0	25	578	0
Precinct 7929 - Vote By Mail	225	14	146	678	422	0	0	37	385	0
Precinct 7929 - Election Day	87	2	76	169	171	0	0	6	165	0
Precinct 7929	312	16	222	847	593	0	0	43	550	0
Precinct 7931 - Vote By Mail	189	13	139	610	376	0	0	35	341	0
Precinct 7931 - Election Day	78	5	58	141	150	0	0	9	141	0
Precinct 7931	267	18	197	751	526	0	0	44	482	0
Precinct 7932 - Vote By Mail	145	16	95	443	277	0	0	21	256	0
Precinct 7932 - Election Day	44	6	40	118	96	0	0	6	90	0
Precinct 7932	189	22	135	561	373	0	0	27	346	0
Precinct 7933 MB - Vote By Mail	3	1	1	9	6	0	0	1	5	0
Precinct 7933 MB - Election Day	0	0	0	-1	0	0	0	0	0	0
Precinct 7933 MB	3	1	1	8	6	0	0	1	5	0
Precinct 7934 - Vote By Mail	191	14	178	702	408	0	0	25	383	0
Precinct 7934 - Election Day	55	9	80	182	155	0	0	9	146	2
Precinct 7934	246	23	258	884	563	0	0	34	529	2
Precinct 7935 - Vote By Mail	219	14	168	716	435	0	0	34	401	0
Precinct 7935 - Election Day	96	6	107	227	225	0	0	15	210	1
Precinct 7935	315	20	275	943	660	0	0	49	611	1
Precinct 7936 - Vote By Mail	155	16	177	620	369	0	0	21	348	0
Precinct 7936 - Election Day	87	8	113	236	220	0	0	12	208	0
Precinct 7936	242	24	290	856	589	0	0	33	556	0
Precinct 7937 - Vote By Mail	195	17	160	698	406	0	0	34	372	0
Precinct 7937 - Election Day	58	7	94	202	171	0	0	12	159	0
Precinct 7937	253	24	254	900	577	0	0	46	531	0
Precinct 7938 - Vote By Mail	132	8	136	536	301	0	0	25	276	0
Precinct 7938 - Election Day	52	6	55	215	121	0	0	8	113	0
Precinct 7938	184	14	191	751	422	0	0	33	389	0
Precinct 7939 - Vote By Mail	128	12	126	481	289	0	1	22	266	0
Precinct 7939 - Election Day	76	7	99	205	191	0	0	9	182	0
Precinct 7939	204	19	225	686	480	0	1	31	448	0
Precinct 7941 - Vote By Mail	129	13	132	576	304	0	0	30	274	0
Precinct 7941 - Election Day	84	1	72	196	171	0	0	14	157	0
Precinct 7941	213	14	204	772	475	0	0	44	431	0
Precinct 7942 - Vote By Mail	158	19	117	658	330	0	0	36	294	0
Precinct 7942 - Election Day	55	7	62	274	141	0	0	17	124	0
Precinct 7942	213	26	179	932	471	0	0	53	418	0
Precinct 7943 - Vote By Mail	185	38	119	687	367	0	0	25	342	0
Precinct 7943 - Election Day	75	9	61	213	156	0	0	11	145	0
Precinct 7943	260	47	180	900	523	0	0	36	487	0
Precinct 7944 - Vote By Mail	163	21	124	584	340	0	0	32	308	0
Precinct 7944 - Election Day	95	5	76	230	196	0	0	17	179	3
Precinct 7944	258	26	200	814	536	0	0	49	487	3
Precinct 7945 - Vote By Mail	147	23	130	726	337	0	1	36	300	0
Precinct 7945 - Election Day	38	3	35	228	83	0	0	6	77	1
Precinct 7945	185	26	165	954	420	0	1	42	377	1
Precinct 7946 - Vote By Mail	182	47	103	779	365	0	0	33	332	0
Precinct 7946 - Election Day	56	8	42	206	115	0	0	8	107	1
Precinct 7946	238	55	145	985	480	0	0	41	439	1
Precinct 7947 - Vote By Mail	158	53	80	792	332	0	0	41	291	0
Precinct 7947 - Election Day	44	7	34	194	94	0	0	9	85	0
Precinct 7947	202	60	114	986	426	0	0	50	376	0
Precinct 7948 - Vote By Mail	174	58	105	730	373	0	0	36	337	0
Precinct 7948 - Election Day	47	9	45	200	119	0	0	17	102	1
Precinct 7948	221	67	150	930	492	0	0	53	439	1
Precinct 7949 - Vote By Mail	117	38	45	484	233	0	0	33	200	0
Precinct 7949 - Election Day	19	7	23	106	56	0	0	6	50	1
Precinct 7949	136	45	68	590	289	0	0	39	250	1
Precinct 7951 - Vote By Mail	160	85	82	731	365	0	0	38	327	0
Precinct 7951 - Election Day	38	12	27	156	90	0	0	13	77	0
Precinct 7951	198	97	109	887	455	0	0	51	404	0
Precinct 7952 - Vote By Mail	125	58	90	730	292	0	1	18	273	0
Precinct 7952 - Election Day	30	15	30	182	86	0	0	11	75	0
Precinct 7952	155	73	120	912	378	0	1	29	348	0
Precinct 7953 - Vote By Mail	146	63	97	669	331	0	0	25	306	0
Precinct 7953 - Election Day	57	13	30	161	106	0	0	6	100	0
Precinct 7953	203	76	127	830	437	0	0	31	406	0
Precinct 7955 - Vote By Mail	166	45	91	774	350	0	1	47	302	0
Precinct 7955 - Election Day	36	17	32	173	98	0	0	12	86	1
Precinct 7955	202	62	123	947	448	0	1	59	388	1
Precinct 7956 - Vote By Mail	136	50	47	699	266	0	0	33	233	0
Precinct 7956 - Election Day	17	3	14	170	39	0	0	5	34	0
Precinct 7956	153	53	61	869	305	0	0	38	267	0
Precinct 7957 - Vote By Mail	122	32	82	538	261	0	0	25	236	0
Precinct 7957 - Election Day	45	4	25	135	85	0	0	11	74	0
Precinct 7957	167	36	107	673	346	0	0	36	310	0
Precinct 7958 MB - Vote By Mail	46	11	35	320	104	0	2	10	92	0
Precinct 7958 MB - Election Day	0	0	0	-23	0	0	0	0	0	0
Precinct 7958 MB	46	11	35	297	104	0	2	10	92	0
Precinct 7959 - Vote By Mail	110	10	89	541	230	0	0	21	209	0
Precinct 7959 - Election Day	25	4	34	145	68	0	0	5	63	0
Precinct 7959	135	14	123	686	298	0	0	26	272	0
Precinct 9001 MB - Vote By Mail	57	9	29	314	100	0	0	5	95	0
Precinct 9001 MB - Election Day	0	0	0	-30	0	0	0	0	0	0
Precinct 9001 MB	57	9	29	284	100	0	0	5	95	0
Precinct 9101 - Vote By Mail	177	58	100	712	377	0	2	40	335	0
Precinct 9101 - Election Day	86	21	72	201	193	0	0	14	179	0
Precinct 9101	263	79	172	913	570	0	2	54	514	0
Precinct 9102 - Vote By Mail	205	58	99	788	393	0	1	30	362	0
Precinct 9102 - Election Day	79	17	62	204	173	0	0	15	158	0
Precinct 9102	284	75	161	992	566	0	1	45	520	0
Precinct 9103 - Vote By Mail	192	46	99	719	381	0	0	44	337	0
Precinct 9103 - Election Day	95	18	54	238	190	0	1	22	167	0
Precinct 9103	287	64	153	957	571	0	1	66	504	0
Precinct 9104 - Vote By Mail	173	52	116	810	381	0	0	40	341	0
Precinct 9104 - Election Day	72	19	73	220	178	0	0	14	164	0
Precinct 9104	245	71	189	1,030	559	0	0	54	505	0
Precinct 9105 - Vote By Mail	223	52	93	719	413	0	0	45	368	0
Precinct 9105 - Election Day	109	17	71	199	221	0	0	24	197	0
Precinct 9105	332	69	164	918	634	0	0	69	565	0
Precinct 9106 - Vote By Mail	224	46	86	748	397	0	0	41	356	0
Precinct 9106 - Election Day	109	20	75	198	223	0	0	18	205	1
Precinct 9106	333	66	161	946	620	0	0	59	561	1
Precinct 9107 - Vote By Mail	141	39	98	636	305	0	0	27	278	0
Precinct 9107 - Election Day	77	12	60	208	165	0	0	16	149	0
Precinct 9107	218	51	158	844	470	0	0	43	427	0
Precinct 9108 - Vote By Mail	159	34	113	610	336	0	0	30	306	0
Precinct 9108 - Election Day	59	13	56	200	140	0	0	12	128	0
Precinct 9108	218	47	169	810	476	0	0	42	434	0
Precinct 9109 - Vote By Mail	168	22	89	672	300	0	0	21	279	0
Precinct 9109 - Election Day	84	25	68	211	196	0	0	18	178	1
Precinct 9109	252	47	157	883	496	0	0	39	457	1
Precinct 9111 - Vote By Mail	130	36	109	639	316	0	0	41	275	0
Precinct 9111 - Election Day	66	11	63	195	169	0	0	29	140	0
Precinct 9111	196	47	172	834	485	0	0	70	415	0
Precinct 9112 - Vote By Mail	172	33	114	742	351	0	1	31	319	0
Precinct 9112 - Election Day	105	16	67	219	204	0	1	15	188	0
Precinct 9112	277	49	181	961	555	0	2	46	507	0
Precinct 9113 - Vote By Mail	215	31	89	796	371	0	0	36	335	0
Precinct 9113 - Election Day	124	24	72	208	241	0	0	21	220	0
Precinct 9113	339	55	161	1,004	612	0	0	57	555	0
Precinct 9114 - Vote By Mail	131	45	92	659	290	0	0	22	268	0
Precinct 9114 - Election Day	74	9	80	231	182	0	0	18	164	1
Precinct 9114	205	54	172	890	472	0	0	40	432	1
Precinct 9115 - Vote By Mail	158	35	104	699	322	0	0	25	297	0
Precinct 9115 - Election Day	64	14	85	182	179	0	0	16	163	0
Precinct 9115	222	49	189	881	501	0	0	41	460	0
Precinct 9116 - Vote By Mail	154	36	131	782	345	0	0	24	321	0
Precinct 9116 - Election Day	69	17	71	179	174	0	0	17	157	0
Precinct 9116	223	53	202	961	519	0	0	41	478	0
Precinct 9117 - Vote By Mail	169	39	79	629	326	0	2	37	287	0
Precinct 9117 - Election Day	86	18	69	171	195	0	0	21	174	1
Precinct 9117	255	57	148	800	521	0	2	58	461	1
Precinct 9118 - Vote By Mail	146	50	108	742	340	0	0	36	304	0
Precinct 9118 - Election Day	91	25	77	242	223	0	0	29	194	1
Precinct 9118	237	75	185	984	563	0	0	65	498	1
Precinct 9119 - Vote By Mail	183	66	102	703	387	0	1	35	351	0
Precinct 9119 - Election Day	69	16	54	197	156	0	0	17	139	0
Precinct 9119	252	82	156	900	543	0	1	52	490	0
Precinct 9121 - Vote By Mail	155	44	112	735	335	0	0	24	311	0
Precinct 9121 - Election Day	66	28	70	218	184	0	0	20	164	0
Precinct 9121	221	72	182	953	519	0	0	44	475	0
Precinct 9122 - Vote By Mail	162	71	103	775	364	0	0	28	336	0
Precinct 9122 - Election Day	75	14	56	192	160	0	0	15	145	0
Precinct 9122	237	85	159	967	524	0	0	43	481	0
Precinct 9123 - Vote By Mail	137	59	94	661	319	0	1	28	290	0
Precinct 9123 - Election Day	84	17	72	191	187	0	0	14	173	0
Precinct 9123	221	76	166	852	506	0	1	42	463	0
Precinct 9124 - Vote By Mail	167	56	93	736	351	0	0	35	316	0
Precinct 9124 - Election Day	72	11	64	167	159	0	0	12	147	0
Precinct 9124	239	67	157	903	510	0	0	47	463	0
Precinct 9125 - Vote By Mail	186	42	104	681	358	0	0	26	332	0
Precinct 9125 - Election Day	81	15	49	188	152	0	0	7	145	0
Precinct 9125	267	57	153	869	510	0	0	33	477	0
Precinct 9126 - Vote By Mail	187	58	97	819	385	0	0	43	342	0
Precinct 9126 - Election Day	96	22	65	194	200	0	0	17	183	0
Precinct 9126	283	80	162	1,013	585	0	0	60	525	0
Precinct 9127 - Vote By Mail	187	52	100	748	380	0	0	41	339	0
Precinct 9127 - Election Day	103	20	76	223	220	0	1	19	200	1
Precinct 9127	290	72	176	971	600	0	1	60	539	1
Precinct 9128 - Vote By Mail	165	53	95	628	333	0	0	20	313	0
Precinct 9128 - Election Day	102	18	55	190	195	0	0	20	175	0
Precinct 9128	267	71	150	818	528	0	0	40	488	0
Precinct 9129 - Vote By Mail	132	34	82	587	271	0	0	23	248	0
Precinct 9129 - Election Day	86	6	50	151	153	0	1	10	142	0
Precinct 9129	218	40	132	738	424	0	1	33	390	0
Precinct 9131 - Vote By Mail	145	33	90	596	285	0	0	17	268	0
Precinct 9131 - Election Day	56	14	65	138	152	0	0	15	137	2
Precinct 9131	201	47	155	734	437	0	0	32	405	2
Precinct 9132 - Vote By Mail	134	16	84	627	262	0	2	26	234	0
Precinct 9132 - Election Day	73	7	69	194	172	0	0	22	150	1
Precinct 9132	207	23	153	821	434	0	2	48	384	1
