Subtotal Area	DOROTHY CHOU PROUDFOOT	MICHELLE TONG	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7633 - Election Day	29	47	126	108	0	0	31	77	1
Precinct 7633	130	176	735	386	0	1	78	307	1
Precinct 7634 - Vote By Mail	141	127	704	344	0	3	73	268	0
Precinct 7634 - Election Day	43	61	186	143	0	0	38	105	1
Precinct 7634	184	188	890	487	0	3	111	373	1
Precinct 7635 - Vote By Mail	106	128	665	274	0	0	40	234	0
Precinct 7635 - Election Day	17	41	188	83	0	0	24	59	1
Precinct 7635	123	169	853	357	0	0	64	293	1
Precinct 7636 - Vote By Mail	113	135	798	330	0	1	81	248	0
Precinct 7636 - Election Day	47	66	161	155	0	0	41	114	1
Precinct 7636	160	201	959	485	0	1	122	362	1
Precinct 7637 - Vote By Mail	127	131	747	344	0	0	86	258	0
Precinct 7637 - Election Day	30	67	121	145	0	0	47	98	1
Precinct 7637	157	198	868	489	0	0	133	356	1
Precinct 7638 - Vote By Mail	158	134	806	372	0	0	80	292	0
Precinct 7638 - Election Day	48	46	83	132	0	0	37	95	1
Precinct 7638	206	180	889	504	0	0	117	387	1
Precinct 7639 - Vote By Mail	147	154	889	396	0	0	95	301	0
Precinct 7639 - Election Day	51	43	133	154	0	0	59	95	1
Precinct 7639	198	197	1,022	550	0	0	154	396	1
Precinct 7641 - Vote By Mail	177	135	817	400	0	0	88	312	0
Precinct 7641 - Election Day	50	56	134	141	0	0	35	106	0
Precinct 7641	227	191	951	541	0	0	123	418	0
Precinct 7642 - Vote By Mail	97	135	647	311	0	1	78	232	0
Precinct 7642 - Election Day	40	43	118	129	0	0	46	83	0
Precinct 7642	137	178	765	440	0	1	124	315	0
Precinct 7643 - Vote By Mail	168	181	810	433	0	1	83	349	0
Precinct 7643 - Election Day	37	42	131	115	0	0	36	79	0
Precinct 7643	205	223	941	548	0	1	119	428	0
Precinct 7644 - Vote By Mail	149	168	1,014	404	0	0	87	317	0
Precinct 7644 - Election Day	46	103	162	186	0	0	36	150	1
Precinct 7644	195	271	1,176	590	0	0	123	467	1
Precinct 7645 - Vote By Mail	143	80	595	286	0	0	63	223	0
Precinct 7645 - Election Day	23	40	61	96	0	0	32	64	1
Precinct 7645	166	120	656	382	0	0	95	287	1
Precinct 7646 - Vote By Mail	197	176	1,032	485	0	0	112	373	0
Precinct 7646 - Election Day	44	80	121	179	0	0	52	127	3
Precinct 7646	241	256	1,153	664	0	0	164	500	3
Precinct 7647 - Vote By Mail	64	111	724	211	0	0	36	175	0
Precinct 7647 - Election Day	38	56	263	117	0	0	20	97	3
Precinct 7647	102	167	987	328	0	0	56	272	3
Precinct 7648 MB - Vote By Mail	0	0	2	1	0	0	1	0	0
Precinct 7648 MB	0	0	2	1	0	0	1	0	0
Precinct 7649 - Vote By Mail	99	129	723	286	0	0	58	228	0
Precinct 7649 - Election Day	32	59	177	108	0	0	16	92	1
Precinct 7649	131	188	900	394	0	0	74	320	1
Precinct 7651 - Vote By Mail	117	134	834	332	0	1	80	251	0
Precinct 7651 - Election Day	32	42	113	110	0	0	35	75	1
Precinct 7651	149	176	947	442	0	1	115	326	1
Precinct 7652 - Vote By Mail	69	86	535	208	0	0	53	155	0
Precinct 7652 - Election Day	33	42	100	98	0	0	23	75	0
Precinct 7652	102	128	635	306	0	0	76	230	0
Precinct 7653 - Vote By Mail	122	139	750	335	0	0	74	261	0
Precinct 7653 - Election Day	33	34	89	95	0	0	28	67	0
Precinct 7653	155	173	839	430	0	0	102	328	0
Precinct 7654 - Vote By Mail	69	88	413	191	0	0	34	157	0
Precinct 7654 - Election Day	21	39	53	91	0	0	31	60	0
Precinct 7654	90	127	466	282	0	0	65	217	0
Precinct 7655 - Vote By Mail	82	81	583	215	0	0	52	163	0
Precinct 7655 - Election Day	33	26	96	84	0	0	24	60	1
Precinct 7655	115	107	679	299	0	0	76	223	1
Precinct 7656 - Vote By Mail	125	97	603	308	0	0	86	222	0
Precinct 7656 - Election Day	23	23	35	67	0	0	21	46	0
Precinct 7656	148	120	638	375	0	0	107	268	0
Precinct 7657 - Vote By Mail	113	87	561	269	0	1	68	200	0
Precinct 7657 - Election Day	26	37	37	89	0	0	26	63	0
Precinct 7657	139	124	598	358	0	1	94	263	0
Precinct 7701 - Vote By Mail	170	220	868	481	0	0	91	390	0
Precinct 7701 - Election Day	63	79	196	175	0	0	30	145	3
Precinct 7701	233	299	1,064	656	0	0	121	535	3
Precinct 7702 - Vote By Mail	164	144	623	377	0	0	69	308	0
Precinct 7702 - Election Day	47	39	133	107	0	0	21	86	0
Precinct 7702	211	183	756	484	0	0	90	394	0
Precinct 7703 MB - Vote By Mail	26	28	187	71	0	0	17	54	0
Precinct 7703 MB - Election Day	0	0	-13	0	0	0	0	0	0
Precinct 7703 MB	26	28	174	71	0	0	17	54	0
Precinct 7704 - Vote By Mail	196	185	798	490	0	1	108	381	0
Precinct 7704 - Election Day	70	74	204	175	0	0	31	144	0
Precinct 7704	266	259	1,002	665	0	1	139	525	0
Precinct 7705 - Vote By Mail	111	122	470	285	0	0	52	233	0
Precinct 7705 - Election Day	42	46	125	110	0	0	22	88	0
Precinct 7705	153	168	595	395	0	0	74	321	0
Precinct 7706 - Vote By Mail	180	165	687	447	0	0	102	345	0
Precinct 7706 - Election Day	84	48	179	163	0	0	29	134	2
Precinct 7706	264	213	866	610	0	0	131	479	2
Precinct 7707 - Vote By Mail	174	182	683	432	0	0	76	356	0
Precinct 7707 - Election Day	74	72	189	179	0	0	32	147	1
Precinct 7707	248	254	872	611	0	0	108	503	1
Precinct 7708 - Vote By Mail	201	186	710	462	0	0	75	387	0
Precinct 7708 - Election Day	58	59	165	154	0	0	35	119	2
Precinct 7708	259	245	875	616	0	0	110	506	2
Precinct 7709 - Vote By Mail	79	85	324	194	0	0	30	164	0
Precinct 7709 - Election Day	31	46	82	90	0	0	12	78	1
Precinct 7709	110	131	406	284	0	0	42	242	1
Precinct 7711 - Vote By Mail	159	138	658	379	0	1	81	297	0
Precinct 7711 - Election Day	45	64	153	126	0	0	17	109	0
Precinct 7711	204	202	811	505	0	1	98	406	0
Precinct 7712 - Vote By Mail	90	131	425	258	0	1	36	221	0
Precinct 7712 - Election Day	38	50	107	109	0	0	21	88	0
Precinct 7712	128	181	532	367	0	1	57	309	0
Precinct 7801 - Vote By Mail	171	220	823	479	0	0	88	391	0
Precinct 7801 - Election Day	69	90	151	196	0	0	37	159	0
Precinct 7801	240	310	974	675	0	0	125	550	0
Precinct 7802 - Vote By Mail	142	180	646	402	0	1	79	322	0
Precinct 7802 - Election Day	48	74	152	160	0	0	38	122	0
Precinct 7802	190	254	798	562	0	1	117	444	0
Precinct 7803 - Vote By Mail	175	214	718	476	0	0	87	389	0
Precinct 7803 - Election Day	37	60	113	129	0	0	32	97	0
Precinct 7803	212	274	831	605	0	0	119	486	0
Precinct 7804 - Vote By Mail	169	194	734	463	0	0	100	363	0
Precinct 7804 - Election Day	58	76	151	182	0	0	47	135	1
Precinct 7804	227	270	885	645	0	0	147	498	1
Precinct 7805 - Vote By Mail	100	204	644	400	0	0	96	304	0
Precinct 7805 - Election Day	36	87	156	157	0	0	33	124	1
Precinct 7805	136	291	800	557	0	0	129	428	1
Precinct 7806 - Vote By Mail	115	180	602	361	0	0	66	295	0
Precinct 7806 - Election Day	38	85	153	154	0	0	30	124	1
Precinct 7806	153	265	755	515	0	0	96	419	1
Precinct 7807 - Vote By Mail	109	176	642	363	0	1	77	285	0
Precinct 7807 - Election Day	37	100	185	176	0	0	38	138	1
Precinct 7807	146	276	827	539	0	1	115	423	1
Precinct 7808 - Vote By Mail	83	148	525	296	0	0	65	231	0
Precinct 7808 - Election Day	35	65	129	132	0	0	31	101	1
Precinct 7808	118	213	654	428	0	0	96	332	1
Precinct 7809 - Vote By Mail	106	182	624	351	0	0	63	288	0
Precinct 7809 - Election Day	28	71	140	137	0	0	38	99	0
Precinct 7809	134	253	764	488	0	0	101	387	0
Precinct 7811 - Vote By Mail	77	176	582	311	0	0	58	253	0
Precinct 7811 - Election Day	41	80	176	157	0	0	35	122	1
Precinct 7811	118	256	758	468	0	0	93	375	1
Precinct 7812 - Vote By Mail	113	173	680	369	0	0	83	286	0
Precinct 7812 - Election Day	38	95	217	168	0	0	34	134	1
Precinct 7812	151	268	897	537	0	0	117	420	1
Precinct 7813 - Vote By Mail	134	253	843	483	0	0	96	387	0
Precinct 7813 - Election Day	44	127	225	217	0	0	45	172	1
Precinct 7813	178	380	1,068	700	0	0	141	559	1
Precinct 7814 - Vote By Mail	79	150	660	281	0	0	52	229	0
Precinct 7814 - Election Day	22	73	241	120	0	1	23	96	1
Precinct 7814	101	223	901	401	0	1	75	325	1
Precinct 7815 - Vote By Mail	157	208	749	465	0	0	100	365	0
Precinct 7815 - Election Day	53	98	168	181	0	0	30	151	0
Precinct 7815	210	306	917	646	0	0	130	516	0
Precinct 7816 - Vote By Mail	146	224	724	472	0	0	102	370	0
Precinct 7816 - Election Day	43	75	148	151	0	0	33	118	0
Precinct 7816	189	299	872	623	0	0	135	488	0
Precinct 7817 - Vote By Mail	119	208	652	396	0	0	69	327	0
Precinct 7817 - Election Day	48	105	186	185	0	0	32	153	0
Precinct 7817	167	313	838	581	0	0	101	480	0
Precinct 7818 - Vote By Mail	117	202	668	393	0	0	74	319	0
Precinct 7818 - Election Day	35	86	171	150	0	0	28	122	1
Precinct 7818	152	288	839	543	0	0	102	441	1
Precinct 7819 - Vote By Mail	121	165	635	352	0	1	65	286	0
Precinct 7819 - Election Day	25	52	139	91	0	0	14	77	0
Precinct 7819	146	217	774	443	0	1	79	363	0
Precinct 7821 - Vote By Mail	180	242	806	519	0	0	97	422	0
Precinct 7821 - Election Day	67	92	170	190	0	0	31	159	0
Precinct 7821	247	334	976	709	0	0	128	581	0
Precinct 7822 - Vote By Mail	143	177	673	395	0	0	75	320	0
Precinct 7822 - Election Day	78	102	219	224	0	0	44	180	0
Precinct 7822	221	279	892	619	0	0	119	500	0
Precinct 7823 - Vote By Mail	120	204	706	410	0	0	86	324	0
Precinct 7823 - Election Day	51	110	177	189	0	0	28	161	0
Precinct 7823	171	314	883	599	0	0	114	485	0
Precinct 7824 - Vote By Mail	104	160	615	335	0	0	71	264	0
Precinct 7824 - Election Day	43	74	153	158	0	0	41	117	0
Precinct 7824	147	234	768	493	0	0	112	381	0
Precinct 7825 - Vote By Mail	66	149	457	252	0	0	37	215	0
Precinct 7825 - Election Day	42	69	151	132	0	0	20	112	1
Precinct 7825	108	218	608	384	0	0	57	327	1
Precinct 7826 - Vote By Mail	78	125	486	263	0	0	60	203	0
Precinct 7826 - Election Day	45	90	204	163	0	0	28	135	0
Precinct 7826	123	215	690	426	0	0	88	338	0
Precinct 7827 - Vote By Mail	91	174	607	318	0	1	52	265	0
Precinct 7827 - Election Day	23	95	219	147	0	0	28	119	1
Precinct 7827	114	269	826	465	0	1	80	384	1
Precinct 7828 - Vote By Mail	157	224	857	478	0	0	97	381	0
Precinct 7828 - Election Day	54	90	171	183	0	0	38	145	1
Precinct 7828	211	314	1,028	661	0	0	135	526	1
Precinct 7829 - Vote By Mail	175	205	742	466	0	0	86	380	0
Precinct 7829 - Election Day	48	68	149	151	0	0	33	118	2
Precinct 7829	223	273	891	617	0	0	119	498	2
Precinct 7831 - Vote By Mail	164	211	763	485	0	0	110	375	0
Precinct 7831 - Election Day	45	71	139	139	0	0	21	118	2
Precinct 7831	209	282	902	624	0	0	131	493	2
Precinct 7832 - Vote By Mail	140	198	663	413	0	0	75	338	0
Precinct 7832 - Election Day	36	65	118	128	0	0	27	101	0
Precinct 7832	176	263	781	541	0	0	102	439	0
Precinct 7833 - Vote By Mail	102	166	587	343	0	0	75	268	0
Precinct 7833 - Election Day	32	81	146	146	0	0	33	113	0
Precinct 7833	134	247	733	489	0	0	108	381	0
Precinct 7834 - Vote By Mail	102	200	700	375	0	0	73	302	0
Precinct 7834 - Election Day	33	101	194	179	0	0	45	134	0
Precinct 7834	135	301	894	554	0	0	118	436	0
Precinct 7835 - Vote By Mail	140	205	721	428	0	1	82	345	0
Precinct 7835 - Election Day	48	71	142	148	0	0	29	119	0
Precinct 7835	188	276	863	576	0	1	111	464	0
Precinct 7836 - Vote By Mail	180	229	850	505	0	0	96	409	0
Precinct 7836 - Election Day	44	91	193	171	0	0	35	136	1
Precinct 7836	224	320	1,043	676	0	0	131	545	1
Precinct 7837 - Vote By Mail	132	185	718	424	0	0	107	317	0
Precinct 7837 - Election Day	77	85	205	202	0	0	39	163	1
Precinct 7837	209	270	923	626	0	0	146	480	1
Precinct 7838 - Vote By Mail	186	198	752	493	0	0	109	384	0
Precinct 7838 - Election Day	43	85	143	158	0	0	29	129	1
Precinct 7838	229	283	895	651	0	0	138	513	1
Precinct 7839 - Vote By Mail	170	198	731	456	0	0	88	368	0
Precinct 7839 - Election Day	31	69	130	140	0	1	39	100	0
Precinct 7839	201	267	861	596	0	1	127	468	0
Precinct 7841 - Vote By Mail	145	210	752	458	0	0	103	355	0
Precinct 7841 - Election Day	58	105	198	207	0	0	44	163	0
Precinct 7841	203	315	950	665	0	0	147	518	0
Precinct 7842 - Vote By Mail	102	218	702	394	0	0	74	320	0
Precinct 7842 - Election Day	45	87	177	155	0	1	21	133	1
Precinct 7842	147	305	879	549	0	1	95	453	1
Precinct 7843 - Vote By Mail	88	160	546	295	0	0	47	248	0
Precinct 7843 - Election Day	38	91	183	165	0	1	35	129	0
Precinct 7843	126	251	729	460	0	1	82	377	0
Precinct 7844 - Vote By Mail	72	155	499	281	0	0	54	227	0
Precinct 7844 - Election Day	30	79	152	137	0	0	28	109	0
Precinct 7844	102	234	651	418	0	0	82	336	0
Precinct 7845 - Vote By Mail	142	184	676	405	0	0	79	326	0
Precinct 7845 - Election Day	64	83	204	178	0	0	31	147	0
Precinct 7845	206	267	880	583	0	0	110	473	0
Precinct 7846 - Vote By Mail	154	197	736	464	0	0	113	351	0
Precinct 7846 - Election Day	40	84	172	171	0	0	47	124	0
Precinct 7846	194	281	908	635	0	0	160	475	0
Precinct 7847 - Vote By Mail	133	206	698	429	0	0	90	339	0
Precinct 7847 - Election Day	60	82	193	183	0	0	40	143	1
Precinct 7847	193	288	891	612	0	0	130	482	1
Precinct 7848 - Vote By Mail	164	190	665	437	0	0	83	354	0
Precinct 7848 - Election Day	59	68	182	169	0	0	41	128	1
Precinct 7848	223	258	847	606	0	0	124	482	1
Precinct 7849 - Vote By Mail	147	201	729	443	0	0	95	348	0
Precinct 7849 - Election Day	46	98	172	188	0	0	43	145	1
Precinct 7849	193	299	901	631	0	0	138	493	1
Precinct 7851 - Vote By Mail	117	101	414	272	0	1	53	218	0
Precinct 7851 - Election Day	35	33	112	85	0	0	17	68	0
Precinct 7851	152	134	526	357	0	1	70	286	0
Precinct 7852 - Vote By Mail	135	145	533	350	0	0	70	280	0
Precinct 7852 - Election Day	41	37	111	103	0	0	25	78	0
Precinct 7852	176	182	644	453	0	0	95	358	0
Precinct 7853 - Vote By Mail	154	156	694	394	0	0	84	310	0
Precinct 7853 - Election Day	56	59	161	139	0	0	24	115	0
Precinct 7853	210	215	855	533	0	0	108	425	0
Precinct 7854 - Vote By Mail	165	160	703	430	0	0	105	325	0
Precinct 7854 - Election Day	58	82	175	173	0	0	33	140	0
Precinct 7854	223	242	878	603	0	0	138	465	0
Precinct 7855 - Vote By Mail	146	201	763	451	0	0	104	347	0
Precinct 7855 - Election Day	65	95	211	204	0	0	43	161	1
Precinct 7855	211	296	974	655	0	0	147	508	1
Precinct 7856 - Vote By Mail	121	175	643	376	0	0	80	296	0
Precinct 7856 - Election Day	54	103	204	193	0	0	35	158	1
Precinct 7856	175	278	847	569	0	0	115	454	1
Precinct 7857 - Vote By Mail	130	205	748	437	0	0	102	335	0
Precinct 7857 - Election Day	40	89	158	156	0	0	27	129	0
Precinct 7857	170	294	906	593	0	0	129	464	0
Precinct 7858 - Vote By Mail	103	193	622	349	0	0	53	296	0
Precinct 7858 - Election Day	36	91	157	151	0	0	24	127	0
Precinct 7858	139	284	779	500	0	0	77	423	0
Precinct 7859 - Vote By Mail	175	192	747	464	0	0	97	367	0
Precinct 7859 - Election Day	54	65	152	167	0	0	48	119	0
Precinct 7859	229	257	899	631	0	0	145	486	0
Precinct 7861 - Vote By Mail	170	178	699	432	0	0	84	348	0
Precinct 7861 - Election Day	49	96	164	171	0	0	26	145	0
Precinct 7861	219	274	863	603	0	0	110	493	0
Precinct 7862 - Vote By Mail	150	171	669	401	0	0	80	321	0
Precinct 7862 - Election Day	66	100	195	198	0	0	32	166	0
Precinct 7862	216	271	864	599	0	0	112	487	0
Precinct 7863 - Vote By Mail	113	181	693	373	0	0	79	294	0
Precinct 7863 - Election Day	58	112	208	208	0	0	38	170	0
Precinct 7863	171	293	901	581	0	0	117	464	0
Precinct 7864 - Vote By Mail	132	171	661	374	0	0	71	303	0
Precinct 7864 - Election Day	34	91	153	157	0	0	30	127	2
Precinct 7864	166	262	814	531	0	0	101	430	2
Precinct 7865 - Vote By Mail	137	194	677	408	0	1	76	331	0
Precinct 7865 - Election Day	35	92	163	160	0	0	33	127	0
Precinct 7865	172	286	840	568	0	1	109	458	0
Precinct 7866 - Vote By Mail	171	199	690	446	0	0	76	370	0
Precinct 7866 - Election Day	59	60	158	143	0	0	24	119	0
Precinct 7866	230	259	848	589	0	0	100	489	0
Precinct 7867 - Vote By Mail	180	226	766	470	0	1	63	406	0
Precinct 7867 - Election Day	54	87	212	184	0	0	41	143	2
Precinct 7867	234	313	978	654	0	1	104	549	2
Precinct 7868 - Vote By Mail	130	180	659	376	0	0	66	310	0
Precinct 7868 - Election Day	63	78	217	162	0	0	21	141	0
Precinct 7868	193	258	876	538	0	0	87	451	0
Precinct 7869 - Vote By Mail	184	176	683	441	0	0	81	360	0
Precinct 7869 - Election Day	70	83	178	191	0	0	38	153	0
Precinct 7869	254	259	861	632	0	0	119	513	0
Precinct 7871 - Vote By Mail	163	203	702	464	0	0	98	366	0
Precinct 7871 - Election Day	61	68	200	157	0	0	28	129	0
Precinct 7871	224	271	902	621	0	0	126	495	0
Precinct 7872 - Vote By Mail	161	178	675	420	0	0	81	339	0
Precinct 7872 - Election Day	71	85	199	186	0	0	30	156	0
Precinct 7872	232	263	874	606	0	0	111	495	0
Precinct 7873 - Vote By Mail	149	211	689	444	0	0	84	360	0
Precinct 7873 - Election Day	61	123	202	214	0	0	30	184	0
Precinct 7873	210	334	891	658	0	0	114	544	0
Precinct 7874 - Vote By Mail	71	90	370	191	0	0	30	161	0
Precinct 7874 - Election Day	31	55	119	108	0	0	21	87	1
Precinct 7874	102	145	489	299	0	0	51	248	1
Precinct 7875 - Vote By Mail	56	138	500	253	0	2	57	194	0
Precinct 7875 - Election Day	40	55	147	115	0	0	20	95	0
Precinct 7875	96	193	647	368	0	2	77	289	0
Precinct 7876 - Vote By Mail	76	120	462	257	0	0	61	196	0
Precinct 7876 - Election Day	22	42	106	93	0	1	28	64	0
Precinct 7876	98	162	568	350	0	1	89	260	0
Precinct 7901 - Vote By Mail	57	101	399	191	0	0	33	158	0
Precinct 7901 - Election Day	17	37	150	67	0	0	13	54	0
Precinct 7901	74	138	549	258	0	0	46	212	0
Precinct 7902 - Vote By Mail	82	158	680	290	0	2	48	240	0
Precinct 7902 - Election Day	29	87	232	145	0	0	29	116	0
Precinct 7902	111	245	912	435	0	2	77	356	0
Precinct 7903 - Vote By Mail	83	157	623	286	0	0	46	240	0
Precinct 7903 - Election Day	32	68	229	125	0	0	25	100	0
Precinct 7903	115	225	852	411	0	0	71	340	0
Precinct 7904 - Vote By Mail	94	166	680	299	0	1	38	260	0
Precinct 7904 - Election Day	28	73	157	122	0	0	20	102	1
Precinct 7904	122	239	837	421	0	1	58	362	1
Precinct 7905 - Vote By Mail	110	199	684	356	0	1	46	309	0
Precinct 7905 - Election Day	45	105	191	183	0	0	31	152	2
Precinct 7905	155	304	875	539	0	1	77	461	2
Precinct 7906 - Vote By Mail	88	147	599	283	0	0	48	235	0
Precinct 7906 - Election Day	22	71	187	118	0	0	24	94	1
Precinct 7906	110	218	786	401	0	0	72	329	1
Precinct 7907 - Vote By Mail	95	197	704	344	0	0	52	292	0
Precinct 7907 - Election Day	43	94	238	165	0	0	27	138	1
Precinct 7907	138	291	942	509	0	0	79	430	1
Precinct 7908 - Vote By Mail	119	178	752	366	0	0	69	297	0
Precinct 7908 - Election Day	41	95	240	172	0	0	35	137	1
Precinct 7908	160	273	992	538	0	0	104	434	1
Precinct 7909 - Vote By Mail	78	181	558	311	0	0	52	259	0
Precinct 7909 - Election Day	33	83	185	141	0	1	23	117	1
Precinct 7909	111	264	743	452	0	1	75	376	1
Precinct 7911 - Vote By Mail	65	185	666	322	0	0	72	250	0
Precinct 7911 - Election Day	40	65	205	129	0	0	23	106	1
Precinct 7911	105	250	871	451	0	0	95	356	1
Precinct 7912 - Vote By Mail	108	199	800	370	0	0	63	307	0
Precinct 7912 - Election Day	31	101	259	182	0	0	46	136	4
Precinct 7912	139	300	1,059	552	0	0	109	443	4
Precinct 7913 - Vote By Mail	88	209	660	350	0	2	51	297	0
Precinct 7913 - Election Day	55	131	263	216	0	0	29	187	1
Precinct 7913	143	340	923	566	0	2	80	484	1
Precinct 7914 - Vote By Mail	111	210	715	390	0	0	69	321	0
Precinct 7914 - Election Day	33	78	187	142	0	0	30	112	1
Precinct 7914	144	288	902	532	0	0	99	433	1
Precinct 7915 - Vote By Mail	74	168	605	290	0	0	48	242	0
Precinct 7915 - Election Day	37	121	238	183	0	0	24	159	1
Precinct 7915	111	289	843	473	0	0	72	401	1
Precinct 7916 - Vote By Mail	94	176	639	335	0	0	65	270	0
Precinct 7916 - Election Day	29	109	219	162	0	0	23	139	1
Precinct 7916	123	285	858	497	0	0	88	409	1
Precinct 7917 - Vote By Mail	95	206	716	357	0	2	54	301	0
Precinct 7917 - Election Day	34	128	271	187	0	0	23	164	2
Precinct 7917	129	334	987	544	0	2	77	465	2
Precinct 7918 - Vote By Mail	93	161	597	297	0	0	43	254	0
Precinct 7918 - Election Day	43	77	227	145	0	0	23	122	2
Precinct 7918	136	238	824	442	0	0	66	376	2
Precinct 7919 - Vote By Mail	79	173	608	309	0	3	54	252	0
Precinct 7919 - Election Day	33	121	258	177	0	0	21	156	2
Precinct 7919	112	294	866	486	0	3	75	408	2
Precinct 7921 - Vote By Mail	87	177	682	310	0	0	46	264	0
Precinct 7921 - Election Day	25	65	229	103	0	0	11	92	2
Precinct 7921	112	242	911	413	0	0	57	356	2
Precinct 7922 - Vote By Mail	82	189	648	314	0	1	42	271	0
Precinct 7922 - Election Day	29	99	210	157	0	0	29	128	0
Precinct 7922	111	288	858	471	0	1	71	399	0
Precinct 7923 - Vote By Mail	89	193	666	337	0	0	55	282	0
Precinct 7923 - Election Day	37	105	214	172	0	0	30	142	0
Precinct 7923	126	298	880	509	0	0	85	424	0
Precinct 7924 - Vote By Mail	80	190	649	303	0	0	33	270	0
Precinct 7924 - Election Day	24	74	202	126	0	0	25	101	3
Precinct 7924	104	264	851	429	0	0	58	371	3
Precinct 7925 - Vote By Mail	65	121	434	225	0	0	39	186	0
Precinct 7925 - Election Day	18	61	110	89	0	0	10	79	0
Precinct 7925	83	182	544	314	0	0	49	265	0
Precinct 7926 - Vote By Mail	93	180	610	337	0	0	64	273	0
Precinct 7926 - Election Day	43	84	178	150	0	0	21	129	2
Precinct 7926	136	264	788	487	0	0	85	402	2
Precinct 7927 - Vote By Mail	96	172	580	335	0	0	67	268	0
Precinct 7927 - Election Day	40	88	162	154	0	0	26	128	0
Precinct 7927	136	260	742	489	0	0	93	396	0
Precinct 7928 - Vote By Mail	119	217	700	395	0	0	59	336	0
Precinct 7928 - Election Day	56	126	217	208	0	0	25	183	1
Precinct 7928	175	343	917	603	0	0	84	519	1
Precinct 7929 - Vote By Mail	128	205	678	424	0	0	91	333	0
Precinct 7929 - Election Day	49	96	169	172	0	0	27	145	0
Precinct 7929	177	301	847	596	0	0	118	478	0
Precinct 7931 - Vote By Mail	99	191	610	378	0	1	87	290	0
Precinct 7931 - Election Day	50	74	141	150	0	1	25	124	0
Precinct 7931	149	265	751	528	0	2	112	414	0
Precinct 7932 - Vote By Mail	98	126	443	277	0	1	52	224	0
Precinct 7932 - Election Day	34	42	118	96	0	0	17	79	3
Precinct 7932	132	168	561	373	0	1	69	303	3
Precinct 7933 MB - Vote By Mail	2	3	9	6	0	0	1	5	0
Precinct 7933 MB - Election Day	0	0	-1	0	0	0	0	0	0
Precinct 7933 MB	2	3	8	6	0	0	1	5	0
Precinct 7934 - Vote By Mail	97	238	702	409	0	0	74	335	0
Precinct 7934 - Election Day	26	99	182	156	0	0	30	126	1
Precinct 7934	123	337	884	565	0	0	104	461	1
Precinct 7935 - Vote By Mail	135	203	716	436	0	0	98	338	0
Precinct 7935 - Election Day	51	126	227	227	0	0	49	178	1
Precinct 7935	186	329	943	663	0	0	147	516	1
Precinct 7936 - Vote By Mail	108	205	620	370	0	0	57	313	0
Precinct 7936 - Election Day	51	134	236	221	0	0	35	186	1
Precinct 7936	159	339	856	591	0	0	92	499	1
Precinct 7937 - Vote By Mail	129	217	698	406	0	0	60	346	0
Precinct 7937 - Election Day	27	119	202	172	0	0	26	146	0
Precinct 7937	156	336	900	578	0	0	86	492	0
Precinct 7938 - Vote By Mail	86	169	536	301	0	0	46	255	0
Precinct 7938 - Election Day	33	66	215	121	0	0	22	99	0
Precinct 7938	119	235	751	422	0	0	68	354	0
Precinct 7939 - Vote By Mail	68	164	481	289	0	0	57	232	0
Precinct 7939 - Election Day	52	104	205	191	0	0	33	158	2
Precinct 7939	120	268	686	480	0	0	90	390	2
Precinct 7941 - Vote By Mail	83	159	576	304	0	1	61	242	0
Precinct 7941 - Election Day	46	92	196	173	0	0	35	138	0
Precinct 7941	129	251	772	477	0	1	96	380	0
Precinct 7942 - Vote By Mail	87	181	658	333	0	0	65	268	0
Precinct 7942 - Election Day	25	83	274	141	0	0	30	111	3
Precinct 7942	112	264	932	474	0	0	95	379	3
Precinct 7943 - Vote By Mail	114	200	687	368	0	0	54	314	0
Precinct 7943 - Election Day	48	77	213	158	0	0	33	125	0
Precinct 7943	162	277	900	526	0	0	87	439	0
Precinct 7944 - Vote By Mail	84	197	584	342	0	0	61	281	0
Precinct 7944 - Election Day	58	97	230	197	0	0	41	156	1
Precinct 7944	142	294	814	539	0	0	102	437	1
Precinct 7945 - Vote By Mail	99	177	726	338	0	0	62	276	0
Precinct 7945 - Election Day	23	51	228	85	0	1	10	74	0
Precinct 7945	122	228	954	423	0	1	72	350	0
Precinct 7946 - Vote By Mail	133	167	779	366	0	2	64	300	0
Precinct 7946 - Election Day	36	53	206	115	0	0	25	90	1
Precinct 7946	169	220	985	481	0	2	89	390	1
Precinct 7947 - Vote By Mail	130	144	792	332	0	0	58	274	0
Precinct 7947 - Election Day	29	46	194	95	0	0	20	75	0
Precinct 7947	159	190	986	427	0	0	78	349	0
Precinct 7948 - Vote By Mail	138	176	730	373	0	0	59	314	0
Precinct 7948 - Election Day	41	54	200	119	0	0	23	96	1
Precinct 7948	179	230	930	492	0	0	82	410	1
Precinct 7949 - Vote By Mail	79	107	484	233	0	0	47	186	0
Precinct 7949 - Election Day	28	20	106	57	0	0	9	48	0
Precinct 7949	107	127	590	290	0	0	56	234	0
Precinct 7951 - Vote By Mail	141	152	731	366	0	2	71	293	0
Precinct 7951 - Election Day	39	36	156	90	0	0	14	76	1
Precinct 7951	180	188	887	456	0	2	85	369	1
Precinct 7952 - Vote By Mail	97	165	730	292	0	0	30	262	0
Precinct 7952 - Election Day	21	47	182	86	0	0	17	69	1
