Subtotal Area	DIANNE FEINSTEIN	KEVIN DE LEON	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
Precinct 9208 - Election Day	191	82	1,002	287	0	0	14	273
Precinct 9208 - Vote By Mail	322	134	1,002	491	0	1	34	456
Precinct 9209 - Election Day	170	61	711	245	0	0	14	231
Precinct 9209 - Vote By Mail	218	83	711	327	0	0	26	301
Precinct 9211 - Election Day	156	70	889	234	0	0	8	226
Precinct 9211 - Vote By Mail	281	129	889	432	0	0	22	410
Precinct 9212 - Election Day	143	78	803	234	0	0	13	221
Precinct 9212 - Vote By Mail	259	118	803	400	0	0	23	377
Precinct 9213 - Election Day	179	72	951	264	0	0	13	251
Precinct 9213 - Vote By Mail	324	146	951	508	0	1	37	470
Precinct 9214 - Election Day	110	46	640	166	0	0	10	156
Precinct 9214 - Vote By Mail	222	98	640	334	0	0	14	320
Precinct 9215 - Election Day	131	55	652	194	0	0	8	186
Precinct 9215 - Vote By Mail	230	77	652	327	0	0	20	307
Precinct 9216 - Election Day	166	68	845	246	0	0	12	234
Precinct 9216 - Vote By Mail	255	100	845	379	0	0	24	355
Precinct 9217 - Election Day	127	53	698	194	0	0	14	180
Precinct 9217 - Vote By Mail	215	110	698	349	0	0	24	325
Precinct 9218 - Election Day	168	60	841	249	0	0	21	228
Precinct 9218 - Vote By Mail	265	119	841	412	0	1	27	384
Precinct 9219 - Election Day	159	74	802	242	0	0	9	233
Precinct 9219 - Vote By Mail	267	114	802	399	0	0	18	381
Precinct 9221 - Election Day	103	33	651	145	0	0	9	136
Precinct 9221 - Vote By Mail	273	101	651	399	0	1	24	374
Precinct 9222 - Election Day	181	46	883	249	0	0	22	227
Precinct 9222 - Vote By Mail	315	105	883	449	0	0	29	420
Precinct 9223 - Election Day	102	44	638	160	0	0	14	146
Precinct 9223 - Vote By Mail	228	84	638	338	0	1	25	312
Precinct 9224 - Election Day	154	93	960	263	0	0	16	247
Precinct 9224 - Vote By Mail	329	141	960	506	0	1	35	470
Precinct 9225 - Election Day	193	82	958	299	0	0	24	275
Precinct 9225 - Vote By Mail	286	153	958	469	0	1	29	439
Precinct 9226 - Election Day	169	76	926	271	0	0	26	245
Precinct 9226 - Vote By Mail	330	126	926	486	0	0	30	456
Precinct 9227 - Election Day	129	50	738	188	0	0	9	179
Precinct 9227 - Vote By Mail	288	93	738	404	0	0	23	381
Precinct 9228 - Election Day	133	43	747	189	0	0	13	176
Precinct 9228 - Vote By Mail	293	102	747	424	0	0	29	395
Precinct 9229 - Election Day	117	39	598	162	0	0	6	156
Precinct 9229 - Vote By Mail	228	70	598	316	0	0	18	298
Precinct 9231 - Election Day	222	86	953	313	0	0	5	308
Precinct 9231 - Vote By Mail	335	131	953	488	0	0	22	466
Precinct 9232 - Election Day	139	64	735	212	0	0	9	203
Precinct 9232 - Vote By Mail	283	107	735	396	0	0	6	390
Precinct 9233 - Election Day	148	47	793	209	0	0	14	195
Precinct 9233 - Vote By Mail	300	103	793	434	0	0	31	403
Precinct 9234 - Election Day	130	51	746	187	0	0	6	181
Precinct 9234 - Vote By Mail	298	112	746	438	0	0	28	410
Precinct 9235 - Election Day	174	53	884	239	0	0	12	227
Precinct 9235 - Vote By Mail	333	119	884	488	0	1	35	452
Precinct 9236 - Election Day	141	41	683	201	0	0	19	182
Precinct 9236 - Vote By Mail	253	93	683	358	0	0	12	346
Precinct 9237 - Election Day	153	63	936	229	0	0	13	216
Precinct 9237 - Vote By Mail	388	134	936	539	0	1	16	522
Precinct 9238 - Election Day	154	62	842	230	0	0	14	216
Precinct 9238 - Vote By Mail	307	114	842	456	0	0	35	421
Precinct 9239 - Election Day	142	45	881	200	0	0	13	187
Precinct 9239 - Vote By Mail	363	105	881	499	0	0	31	468
Precinct 9241 - Election Day	163	67	1,005	255	0	0	25	230
Precinct 9241 - Vote By Mail	387	162	1,005	578	0	2	27	549
Precinct 9242 - Election Day	172	88	972	277	0	0	17	260
Precinct 9242 - Vote By Mail	346	144	972	513	0	0	23	490
Precinct 9243 - Election Day	113	66	594	193	0	0	14	179
Precinct 9243 - Vote By Mail	213	76	594	307	0	0	18	289
Precinct 9244 - Election Day	177	67	903	255	0	0	11	244
Precinct 9244 - Vote By Mail	321	143	903	485	0	0	21	464
Precinct 9245 - Election Day	140	58	742	209	0	1	10	198
Precinct 9245 - Vote By Mail	267	97	742	375	0	0	11	364
Precinct 9246 - Election Day	172	73	929	257	0	0	12	245
Precinct 9246 - Vote By Mail	372	128	929	528	0	0	28	500
Precinct 9247 - Election Day	172	80	927	264	0	0	12	252
Precinct 9247 - Vote By Mail	340	148	927	515	0	0	27	488
Precinct 9248 - Election Day	155	92	907	258	0	0	11	247
Precinct 9248 - Vote By Mail	326	140	907	487	0	3	18	466
Precinct 9249 - Election Day	186	77	917	271	0	0	8	263
Precinct 9249 - Vote By Mail	322	147	917	495	0	1	25	469
Precinct 9251 - Election Day	197	76	995	287	0	0	14	273
Precinct 9251 - Vote By Mail	364	140	995	530	0	0	26	504
Precinct 9252 - Election Day	129	73	944	219	0	1	16	202
Precinct 9252 - Vote By Mail	375	143	944	550	0	0	32	518
Precinct 9253 - Election Day	110	59	772	187	0	0	18	169
Precinct 9253 - Vote By Mail	253	108	772	397	0	0	36	361
Precinct 9254 - Election Day	150	72	935	230	0	0	8	222
Precinct 9254 - Vote By Mail	377	148	935	538	0	0	13	525
Precinct 9255 - Election Day	107	63	553	183	0	0	13	170
Precinct 9255 - Vote By Mail	147	102	553	263	0	0	14	249
Precinct 9256 - Election Day	76	49	474	130	0	0	5	125
Precinct 9256 - Vote By Mail	138	85	474	233	0	0	10	223
Precinct 9257 MB - Vote By Mail	132	98	321	235	0	0	5	230
Precinct 9258 - Election Day	120	66	712	193	0	0	7	186
Precinct 9258 - Vote By Mail	235	114	712	373	0	1	23	349
Precinct 9401 - Election Day	160	122	1,012	293	0	0	11	282
Precinct 9401 - Vote By Mail	259	202	1,012	484	0	0	23	461
Precinct 9402 - Election Day	162	105	977	290	0	1	22	267
Precinct 9402 - Vote By Mail	255	178	977	458	0	0	25	433
Precinct 9403 - Election Day	149	78	897	240	0	0	13	227
Precinct 9403 - Vote By Mail	239	153	897	419	0	0	27	392
Precinct 9404 - Election Day	114	74	930	200	0	0	12	188
Precinct 9404 - Vote By Mail	281	158	930	462	0	0	23	439
Precinct 9405 - Election Day	133	57	786	210	0	2	18	190
Precinct 9405 - Vote By Mail	207	127	786	364	0	0	30	334
Precinct 9406 - Election Day	145	83	868	244	0	2	14	228
Precinct 9406 - Vote By Mail	259	146	868	421	0	0	16	405
Precinct 9407 - Election Day	150	86	889	253	0	0	17	236
Precinct 9407 - Vote By Mail	240	144	889	409	0	0	25	384
Precinct 9408 - Election Day	139	109	886	265	0	0	17	248
Precinct 9408 - Vote By Mail	216	169	886	415	0	0	30	385
Precinct 9409 - Election Day	114	80	590	201	0	0	7	194
Precinct 9409 - Vote By Mail	149	85	590	252	0	0	18	234
Precinct 9411 - Election Day	132	122	956	271	0	0	17	254
Precinct 9411 - Vote By Mail	245	169	956	431	0	1	16	414
Precinct 9412 - Election Day	141	92	848	245	0	1	11	233
Precinct 9412 - Vote By Mail	230	124	848	380	0	1	25	354
Precinct 9413 - Election Day	128	83	894	229	0	0	18	211
Precinct 9413 - Vote By Mail	274	144	894	461	0	0	43	418
Precinct 9414 - Election Day	143	64	916	216	0	0	9	207
Precinct 9414 - Vote By Mail	290	150	916	463	0	0	23	440
Precinct 9415 - Election Day	121	53	784	187	0	0	13	174
Precinct 9415 - Vote By Mail	239	120	784	392	0	0	33	359
Precinct 9416 - Election Day	166	95	1,008	282	1	0	20	261
Precinct 9416 - Vote By Mail	303	145	1,008	480	1	0	31	448
Precinct 9417 - Election Day	103	62	752	175	0	0	10	165
Precinct 9417 - Vote By Mail	237	128	752	402	0	0	37	365
Precinct 9418 - Election Day	125	70	790	211	0	0	16	195
Precinct 9418 - Vote By Mail	247	88	790	376	0	0	41	335
Precinct 9419 - Election Day	124	76	924	222	0	0	22	200
Precinct 9419 - Vote By Mail	287	133	924	468	0	0	48	420
Precinct 9421 - Election Day	139	82	906	238	0	0	17	221
Precinct 9421 - Vote By Mail	274	125	906	446	0	0	47	399
Precinct 9422 - Election Day	162	105	1,056	283	0	0	16	267
Precinct 9422 - Vote By Mail	281	182	1,056	513	0	1	49	463
Precinct 9423 - Election Day	133	70	889	219	0	1	15	203
Precinct 9423 - Vote By Mail	281	141	889	440	0	0	18	422
Precinct 9424 - Election Day	118	83	952	224	0	1	22	201
Precinct 9424 - Vote By Mail	317	149	952	496	0	0	30	466
Precinct 9425 - Election Day	117	67	933	199	0	0	15	184
Precinct 9425 - Vote By Mail	302	123	933	465	0	1	39	425
Precinct 9426 - Election Day	114	63	823	198	0	2	19	177
Precinct 9426 - Vote By Mail	256	110	823	408	0	0	42	366
Precinct 9427 - Election Day	139	52	948	210	0	0	19	191
Precinct 9427 - Vote By Mail	265	122	948	447	0	0	60	387
Precinct 9428 - Election Day	98	69	961	183	0	0	16	167
Precinct 9428 - Vote By Mail	303	169	961	518	0	0	46	472
Precinct 9429 - Election Day	127	72	899	228	1	0	28	199
Precinct 9429 - Vote By Mail	247	143	899	432	0	0	42	390
Precinct 9431 - Election Day	146	76	973	235	0	0	13	222
Precinct 9431 - Vote By Mail	311	116	973	464	0	0	37	427
Precinct 9432 - Election Day	132	70	945	214	0	0	12	202
Precinct 9432 - Vote By Mail	307	121	945	468	0	0	40	428
Precinct 9433 - Election Day	103	70	945	195	0	0	22	173
Precinct 9433 - Vote By Mail	308	133	945	487	0	0	46	441
Precinct 9434 - Election Day	158	87	979	261	0	0	16	245
Precinct 9434 - Vote By Mail	308	138	979	481	1	0	34	446
Precinct 9435 - Election Day	142	93	969	251	0	0	16	235
Precinct 9435 - Vote By Mail	296	112	969	448	0	0	40	408
Precinct 9436 - Election Day	139	70	1,006	232	0	0	23	209
Precinct 9436 - Vote By Mail	303	167	1,006	495	0	0	25	470
Precinct 9437 - Election Day	143	62	897	219	0	0	14	205
Precinct 9437 - Vote By Mail	267	133	897	435	0	0	35	400
Precinct 9438 - Election Day	101	81	948	202	0	0	20	182
Precinct 9438 - Vote By Mail	325	135	948	496	0	0	36	460
Precinct 9439 - Election Day	111	45	879	173	0	1	16	156
Precinct 9439 - Vote By Mail	263	128	879	425	0	0	34	391
Precinct 9441 - Election Day	139	108	980	261	0	1	13	247
Precinct 9441 - Vote By Mail	274	149	980	462	0	0	39	423
Precinct 9442 - Election Day	158	102	1,008	280	0	0	20	260
Precinct 9442 - Vote By Mail	286	132	1,008	461	0	0	43	418
Precinct 9443 - Election Day	133	69	937	220	1	0	17	202
Precinct 9443 - Vote By Mail	270	144	937	442	0	1	27	414
Precinct 9444 - Election Day	112	65	937	190	1	0	12	177
Precinct 9444 - Vote By Mail	266	130	937	442	0	0	46	396
Precinct 9445 - Election Day	132	82	981	230	0	0	16	214
Precinct 9445 - Vote By Mail	297	163	981	493	0	0	33	460
Precinct 9446 - Election Day	152	81	1,090	240	0	0	7	233
Precinct 9446 - Vote By Mail	344	176	1,090	564	0	0	44	520
Precinct 9447 - Election Day	151	79	906	236	0	0	6	230
Precinct 9447 - Vote By Mail	294	128	906	448	0	0	26	422
Precinct 9448 - Election Day	130	90	909	232	0	0	12	220
Precinct 9448 - Vote By Mail	261	123	909	429	0	0	45	384
Precinct 9449 - Election Day	107	60	830	177	2	0	8	167
Precinct 9449 - Vote By Mail	273	119	830	428	0	0	36	392
Precinct 9451 - Election Day	70	21	420	97	0	0	6	91
Precinct 9451 - Vote By Mail	131	72	420	218	0	0	15	203
Precinct 9452 - Election Day	155	82	840	259	0	0	22	237
Precinct 9452 - Vote By Mail	266	107	840	412	0	0	39	373
Precinct 9453 - Election Day	85	35	500	135	0	0	15	120
Precinct 9453 - Vote By Mail	144	80	500	244	0	0	20	224
Precinct 9501 MB - Vote By Mail	82	23	148	110	0	0	5	105
Precinct 9502 MB - Vote By Mail	109	61	245	177	0	0	7	170
Precinct 9503/9504 - Election Day	130	61	729	198	0	0	7	191
Precinct 9503/9504 - Vote By Mail	206	92	729	315	0	1	16	298
Precinct 9505 - Election Day	122	46	784	177	0	0	9	168
Precinct 9505 - Vote By Mail	270	101	784	383	0	1	11	371
Precinct 9506 - Election Day	116	59	766	177	0	0	2	175
Precinct 9506 - Vote By Mail	200	95	766	313	0	0	18	295
Precinct 9507 - Election Day	143	85	766	231	0	0	3	228
Precinct 9507 - Vote By Mail	218	176	766	406	0	0	12	394
Precinct 9508 - Election Day	113	116	798	237	0	0	8	229
Precinct 9508 - Vote By Mail	246	179	798	429	0	0	4	425
Precinct 9509 - Election Day	120	105	759	230	0	0	5	225
Precinct 9509 - Vote By Mail	230	147	759	386	0	0	9	377
Precinct 9511 - Election Day	101	82	622	190	0	1	6	183
Precinct 9511 - Vote By Mail	162	120	622	296	0	0	14	282
Precinct 9512 - Election Day	144	92	809	240	0	0	4	236
Precinct 9512 - Vote By Mail	232	151	809	399	0	0	16	383
Precinct 9513 - Election Day	174	91	902	275	0	0	10	265
Precinct 9513 - Vote By Mail	214	161	902	390	0	1	14	375
Precinct 9514/9522 - Election Day	190	104	928	304	0	0	10	294
Precinct 9514/9522 - Vote By Mail	281	160	928	456	0	2	13	441
Precinct 9515 - Election Day	134	80	705	222	0	0	8	214
Precinct 9515 - Vote By Mail	220	120	705	368	0	0	28	340
Precinct 9516 - Election Day	150	92	866	254	0	0	12	242
Precinct 9516 - Vote By Mail	237	162	866	427	0	0	28	399
Precinct 9517 - Election Day	124	93	801	228	0	0	11	217
Precinct 9517 - Vote By Mail	219	165	801	397	0	0	13	384
Precinct 9518 - Election Day	124	101	802	229	0	0	4	225
Precinct 9518 - Vote By Mail	246	157	802	431	0	1	27	403
Precinct 9519 - Election Day	138	116	910	262	0	0	8	254
Precinct 9519 - Vote By Mail	288	182	910	486	0	1	15	470
Precinct 9521 - Election Day	182	119	939	316	0	0	15	301
Precinct 9521 - Vote By Mail	271	157	939	442	0	0	14	428
Precinct 9701 - Election Day	112	81	671	201	0	0	8	193
Precinct 9701 - Vote By Mail	185	130	671	340	0	1	24	315
Precinct 9702 - Election Day	134	74	723	210	0	0	2	208
Precinct 9702 - Vote By Mail	203	139	723	364	0	0	22	342
Precinct 9703 - Election Day	135	80	986	232	0	0	17	215
Precinct 9703 - Vote By Mail	337	163	986	530	0	0	30	500
Precinct 9704 - Election Day	179	87	950	279	0	0	13	266
Precinct 9704 - Vote By Mail	294	168	950	505	0	0	43	462
Precinct 9705 - Election Day	152	90	919	261	3	0	16	242
Precinct 9705 - Vote By Mail	300	160	919	483	0	0	23	460
Precinct 9706 MB - Vote By Mail	27	10	49	39	0	0	2	37
Precinct 9707 - Election Day	96	56	821	173	0	0	21	152
Precinct 9707 - Vote By Mail	300	155	821	491	0	0	36	455
Precinct 9708 - Election Day	146	94	948	250	0	0	10	240
Precinct 9708 - Vote By Mail	325	147	948	500	0	0	28	472
Precinct 9709 - Election Day	172	90	1,028	281	7	0	12	262
Precinct 9709 - Vote By Mail	333	147	1,028	517	0	0	37	480
Precinct 9711 - Election Day	132	49	641	195	0	0	14	181
Precinct 9711 - Vote By Mail	229	90	641	336	0	0	17	319
Precinct 9712 - Election Day	112	37	649	160	0	0	11	149
Precinct 9712 - Vote By Mail	281	94	649	398	1	0	22	375
Precinct 9713 - Election Day	134	73	960	225	1	0	17	207
Precinct 9713 - Vote By Mail	306	144	960	489	0	0	39	450
Precinct 9714 - Election Day	128	59	931	208	1	0	20	187
Precinct 9714 - Vote By Mail	356	148	931	538	0	0	34	504
Precinct 9715 - Election Day	122	46	569	180	0	0	12	168
Precinct 9715 - Vote By Mail	207	78	569	309	0	0	24	285
Precinct 9716 - Election Day	140	82	947	239	0	0	17	222
Precinct 9716 - Vote By Mail	299	150	947	481	0	0	32	449
Precinct 9717 - Election Day	157	96	972	265	0	0	12	253
Precinct 9717 - Vote By Mail	328	181	972	532	0	0	23	509
Precinct 9718 - Election Day	148	70	862	227	0	0	9	218
Precinct 9718 - Vote By Mail	308	149	862	496	0	0	39	457
Precinct 9719 - Election Day	163	67	901	245	0	0	15	230
Precinct 9719 - Vote By Mail	357	135	901	524	2	0	30	492
Precinct 9721 - Election Day	143	45	662	198	0	0	10	188
Precinct 9721 - Vote By Mail	242	94	662	357	0	0	21	336
Precinct 9722 - Election Day	77	27	605	119	1	0	14	104
Precinct 9722 - Vote By Mail	215	100	605	355	0	0	40	315
Precinct 9723 - Election Day	62	26	481	98	0	0	10	88
Precinct 9723 - Vote By Mail	189	62	481	275	0	0	24	251
Precinct 9724 - Election Day	138	58	991	205	0	0	9	196
Precinct 9724 - Vote By Mail	366	148	991	565	0	0	51	514
Precinct 9725 - Election Day	123	70	970	214	0	1	20	193
Precinct 9725 - Vote By Mail	301	142	970	499	0	0	56	443
Precinct 9726 - Election Day	144	101	655	263	0	0	18	245
Precinct 9726 - Vote By Mail	155	72	655	241	0	0	14	227
Precinct 9727 - Election Day	54	24	459	79	0	0	1	78
Precinct 9727 - Vote By Mail	160	84	459	271	0	0	27	244
Precinct 9728 - Election Day	143	59	926	231	0	0	29	202
Precinct 9728 - Vote By Mail	324	140	926	503	0	0	39	464
Precinct 9729 - Election Day	123	48	800	191	0	0	20	171
Precinct 9729 - Vote By Mail	304	106	800	442	0	2	30	410
Precinct 9731 - Election Day	113	33	556	167	0	1	20	146
Precinct 9731 - Vote By Mail	201	63	556	282	0	0	18	264
Precinct 9732 MB - Vote By Mail	37	18	70	56	0	0	1	55
Precinct 9733 MB - Vote By Mail	128	53	235	191	0	0	10	181
Precinct 9734 - Election Day	100	44	603	154	0	1	9	144
Precinct 9734 - Vote By Mail	241	86	603	341	0	0	14	327
Precinct 9735 - Election Day	136	46	809	206	0	0	24	182
Precinct 9735 - Vote By Mail	305	112	809	449	0	0	32	417
Precinct 9736 - Election Day	113	54	713	173	0	0	6	167
Precinct 9736 - Vote By Mail	272	112	713	410	0	1	25	384
Precinct 9737 - Election Day	131	66	818	208	0	0	11	197
Precinct 9737 - Vote By Mail	301	146	818	476	0	0	29	447
Precinct 9738 - Election Day	101	64	848	185	0	0	20	165
Precinct 9738 - Vote By Mail	263	117	848	404	0	0	24	380
Precinct 9739 - Election Day	118	93	828	220	0	1	8	211
Precinct 9739 - Vote By Mail	192	119	828	335	0	0	24	311
Precinct 9741 - Election Day	125	98	552	232	0	1	8	223
Precinct 9741 - Vote By Mail	50	48	552	105	0	0	7	98
Precinct 9742 - Election Day	113	45	677	180	4	0	18	158
Precinct 9742 - Vote By Mail	195	73	677	289	0	1	20	268
Precinct 9743 - Election Day	164	132	1,163	310	0	0	14	296
Precinct 9743 - Vote By Mail	319	154	1,163	501	0	1	27	473
Precinct 9744 - Election Day	116	107	911	247	1	0	23	223
Precinct 9744 - Vote By Mail	220	146	911	391	0	0	25	366
Precinct 9745 - Election Day	159	99	991	282	0	0	24	258
Precinct 9745 - Vote By Mail	203	127	991	346	0	1	15	330
Precinct 9746 - Election Day	150	56	884	232	0	1	25	206
Precinct 9746 - Vote By Mail	286	138	884	452	0	3	25	424
Precinct 9747 - Election Day	161	75	973	246	0	1	9	236
Precinct 9747 - Vote By Mail	311	126	973	470	0	1	32	437
Precinct 9748 - Election Day	149	67	931	229	0	0	13	216
Precinct 9748 - Vote By Mail	293	137	931	475	1	0	44	430
Precinct 9749 - Election Day	118	86	913	225	2	1	18	204
Precinct 9749 - Vote By Mail	222	141	913	384	0	0	21	363
Precinct 9751 - Election Day	154	84	1,016	253	0	0	15	238
Precinct 9751 - Vote By Mail	325	174	1,016	523	0	1	23	499
Precinct 9752 - Election Day	109	56	710	175	3	1	6	165
Precinct 9752 - Vote By Mail	253	112	710	392	0	0	27	365
Precinct 9753 - Election Day	116	59	756	186	0	0	11	175
Precinct 9753 - Vote By Mail	240	126	756	388	0	0	22	366
Precinct 9754 - Election Day	31	14	707	47	0	1	1	45
Precinct 9754 - Vote By Mail	257	107	707	377	0	0	13	364
Precinct 9755 - Election Day	109	54	582	172	0	0	9	163
Precinct 9755 - Vote By Mail	166	104	582	285	2	0	13	270
Precinct 9756 - Election Day	106	67	941	185	0	2	10	173
Precinct 9756 - Vote By Mail	279	157	941	477	0	0	41	436
Precinct 9801 - Election Day	53	43	408	104	0	0	8	96
Precinct 9801 - Vote By Mail	98	73	408	181	0	0	10	171
Congressional District 12	201,314	113,364	443,570	332,491	87	315	17,411	314,678
Congressional District 14	24,853	12,590	56,946	40,357	19	59	2,836	37,443
Assembly District 17	128,770	75,455	291,063	214,827	62	252	10,288	204,225
Assembly District 19	97,397	50,499	209,453	158,021	44	122	9,959	147,896
BART District 7	15,883	7,383	38,460	24,736	3	35	1,432	23,266
BART District 8	103,631	51,607	223,735	166,386	47	133	10,968	155,238
BART District 9	106,653	66,964	238,321	181,726	56	206	7,847	173,617
Supervisorial District 1	19,414	11,396	42,767	32,743	7	19	1,907	30,810
Supervisorial District 2	26,668	11,447	50,394	40,402	1	26	2,260	38,115
Supervisorial District 3	17,800	8,998	39,799	28,571	2	25	1,746	26,798
Supervisorial District 4	19,072	10,235	42,953	31,699	8	17	2,367	29,307
Supervisorial District 5	24,793	15,594	53,744	42,036	5	43	1,601	40,387
Supervisorial District 6	17,449	9,939	43,321	29,158	2	57	1,711	27,388
Supervisorial District 7	22,946	11,251	47,076	36,587	30	27	2,333	34,197
Supervisorial District 8	29,815	17,173	58,122	48,632	31	24	1,589	46,988
Supervisorial District 9	16,901	13,412	42,988	31,769	10	48	1,398	30,313
Supervisorial District 10	16,561	8,257	41,862	26,459	9	30	1,602	24,818
Supervisorial District 11	14,748	8,252	37,490	24,792	1	58	1,733	23,000
Bayview/Hunters Point	7,427	3,087	19,914	11,270	1	17	738	10,514
Chinatown	7,937	3,732	17,446	12,440	1	7	763	11,669
Civic Center/Downtown	11,277	6,521	28,644	19,045	1	34	1,212	17,798
Diamond Heights	3,800	1,764	7,002	5,802	3	5	230	5,564
Excelsior	10,791	6,306	27,634	18,420	1	43	1,279	17,097
Haight Ashbury	7,066	4,788	14,982	12,240	2	8	376	11,854
Ingleside	4,833	2,513	12,118	7,928	2	18	562	7,346
Inner Sunset	4,605	2,900	9,734	7,857	0	9	343	7,505
Lake Merced	3,508	1,983	8,390	5,918	1	5	421	5,491
Laurel Heights/Anza Vista	4,912	2,705	10,097	8,010	0	4	389	7,617
Marina Pacific Heights	21,221	9,327	40,622	32,395	5	26	1,816	30,548
Mission	11,923	10,451	31,129	23,295	3	26	892	22,374
Noe Valley	9,015	4,915	16,964	14,420	3	4	483	13,930
North Bernal Heights	4,023	3,026	8,795	7,263	2	7	205	7,049
North Embarcadero	3,275	1,635	7,019	5,232	0	6	316	4,910
Portola	3,603	2,001	9,293	6,104	2	15	483	5,604
Potrero Hill	7,862	4,651	16,814	13,081	3	8	557	12,513
Richmond	16,852	9,943	37,322	28,503	5	16	1,687	26,795
Sea Cliff/Presidio Heights	4,496	1,726	8,050	6,587	1	3	361	6,222
South of Bernal Heights	4,298	2,790	9,419	7,393	6	13	286	7,088
South of Market	10,257	5,787	24,674	17,045	2	32	967	16,044
Sunset	18,809	10,070	42,363	31,246	8	17	2,342	28,879
Upper Market/Eureka Valley	10,093	5,643	18,966	16,190	12	3	439	15,736
Visitation Valley	2,850	1,208	8,139	4,488	3	6	421	4,058
West of Twin Peaks	17,826	8,216	34,909	27,838	27	18	1,751	26,042
Western Addition	13,608	8,266	30,077	22,838	12	24	928	21,874
