Subtotal Area	RYAN LAM	DEAN PRESTON	NOMVULA O'MEARA	VALLIE BROWN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
Precinct 7522/7523 - Election Day	4	169	2	107	1,464	290	0	0	8	0	282	0
Precinct 7522/7523 - Vote By Mail	7	187	0	216	1,464	424	0	0	14	0	410	0
Precinct 7522/7523	11	356	2	323	1,464	714	0	0	22	0	692	0
Precinct 7524 - Election Day	1	50	0	43	606	98	0	0	4	0	94	0
Precinct 7524 - Vote By Mail	4	78	0	80	606	167	0	0	5	0	162	0
Precinct 7524	5	128	0	123	606	265	0	0	9	0	256	0
Precinct 7525 - Election Day	0	47	1	45	762	97	0	0	4	0	93	0
Precinct 7525 - Vote By Mail	8	86	1	89	762	191	0	1	6	0	184	0
Precinct 7525	8	133	2	134	762	288	0	1	10	0	277	0
Precinct 7526 - Election Day	1	71	3	40	974	125	0	0	10	0	115	0
Precinct 7526 - Vote By Mail	6	127	3	145	974	297	0	0	16	0	281	0
Precinct 7526	7	198	6	185	974	422	0	0	26	0	396	0
Precinct 7527/7528 - Election Day	8	62	4	39	689	120	0	0	7	0	113	0
Precinct 7527/7528 - Vote By Mail	27	75	6	91	689	215	0	0	16	0	199	0
Precinct 7527/7528	35	137	10	130	689	335	0	0	23	0	312	0
Precinct 7529 - Election Day	3	95	1	65	906	172	0	1	7	0	164	0
Precinct 7529 - Vote By Mail	6	133	1	143	906	295	0	2	10	0	283	0
Precinct 7529	9	228	2	208	906	467	0	3	17	0	447	0
Precinct 7531 - Election Day	2	65	2	39	839	116	0	1	7	0	108	0
Precinct 7531 - Vote By Mail	0	127	3	132	839	276	0	0	14	0	262	0
Precinct 7531	2	192	5	171	839	392	0	1	21	0	370	0
Precinct 7532 - Election Day	12	63	2	31	792	114	0	0	6	0	108	0
Precinct 7532 - Vote By Mail	17	91	7	102	792	221	0	0	4	0	217	0
Precinct 7532	29	154	9	133	792	335	0	0	10	0	325	0
Precinct 7533 - Election Day	2	120	3	71	936	201	0	0	5	0	196	0
Precinct 7533 - Vote By Mail	6	153	3	104	936	275	0	0	9	0	266	0
Precinct 7533	8	273	6	175	936	476	0	0	14	0	462	0
Precinct 7534 - Election Day	2	93	0	52	881	153	0	0	6	0	147	0
Precinct 7534 - Vote By Mail	4	114	2	103	881	237	0	0	14	0	223	0
Precinct 7534	6	207	2	155	881	390	0	0	20	0	370	0
Precinct 7536/7535 - Election Day	6	199	4	103	1,594	318	0	0	6	0	312	0
Precinct 7536/7535 - Vote By Mail	8	239	3	224	1,594	495	0	2	19	0	474	0
Precinct 7536/7535	14	438	7	327	1,594	813	0	2	25	0	786	0
Precinct 7537/7538 - Election Day	2	179	3	106	1,472	301	0	0	11	0	290	0
Precinct 7537/7538 - Vote By Mail	7	200	6	208	1,472	437	0	0	16	0	421	0
Precinct 7537/7538	9	379	9	314	1,472	738	0	0	27	0	711	0
Precinct 7539 - Election Day	2	138	0	84	906	233	0	1	8	0	224	0
Precinct 7539 - Vote By Mail	6	123	3	140	906	279	0	0	7	0	272	0
Precinct 7539	8	261	3	224	906	512	0	1	15	0	496	0
Precinct 7541 - Election Day	1	82	3	46	769	136	0	0	4	0	132	0
Precinct 7541 - Vote By Mail	8	105	1	127	769	247	0	1	5	0	241	0
Precinct 7541	9	187	4	173	769	383	0	1	9	0	373	0
Precinct 7543/7542 - Election Day	5	133	8	95	1,718	252	0	0	11	0	241	0
Precinct 7543/7542 - Vote By Mail	9	260	7	250	1,718	549	0	1	22	0	526	0
Precinct 7543/7542	14	393	15	345	1,718	801	0	1	33	0	767	0
Precinct 7544 - Election Day	2	76	1	62	892	152	0	0	11	0	141	0
Precinct 7544 - Vote By Mail	6	136	3	118	892	281	0	0	18	0	263	0
Precinct 7544	8	212	4	180	892	433	0	0	29	0	404	0
Precinct 7545 - Election Day	3	86	1	37	877	139	0	0	12	0	127	0
Precinct 7545 - Vote By Mail	9	124	1	116	877	277	0	0	27	0	250	0
Precinct 7545	12	210	2	153	877	416	0	0	39	0	377	0
Precinct 7546/7547 - Election Day	10	178	3	141	1,900	340	0	0	8	0	332	0
Precinct 7546/7547 - Vote By Mail	7	350	5	284	1,900	670	0	0	24	0	646	0
Precinct 7546/7547	17	528	8	425	1,900	1,010	0	0	32	0	978	0
Precinct 7548 - Election Day	3	107	2	78	1,027	198	0	0	8	0	190	0
Precinct 7548 - Vote By Mail	5	134	1	167	1,027	322	0	1	14	0	307	0
Precinct 7548	8	241	3	245	1,027	520	0	1	22	0	497	0
Precinct 7549 - Election Day	2	78	2	50	799	135	0	0	3	0	132	0
Precinct 7549 - Vote By Mail	17	129	3	122	799	286	0	0	15	0	271	0
Precinct 7549	19	207	5	172	799	421	0	0	18	0	403	0
Precinct 7552 - Election Day	1	53	0	76	685	136	0	0	6	0	130	0
Precinct 7552 - Vote By Mail	5	64	0	130	685	213	0	0	14	0	199	0
Precinct 7552	6	117	0	206	685	349	0	0	20	0	329	0
Precinct 7553 MB - Election Day	0	0	0	1	182	1	0	0	0	0	1	0
Precinct 7553 MB - Vote By Mail	3	23	0	48	182	81	0	1	6	0	74	0
Precinct 7553 MB	3	23	0	49	182	82	0	1	6	0	75	0
Precinct 7554 - Election Day	4	47	1	80	795	135	0	0	3	0	132	0
Precinct 7554 - Vote By Mail	6	110	2	186	795	311	0	0	7	0	304	0
Precinct 7554	10	157	3	266	795	446	0	0	10	0	436	0
Precinct 7555/7551 - Election Day	4	154	2	168	1,584	340	0	1	11	0	328	0
Precinct 7555/7551 - Vote By Mail	9	256	6	276	1,584	565	0	0	18	0	547	0
Precinct 7555/7551	13	410	8	444	1,584	905	0	1	29	0	875	0
Precinct 7556/7557 - Election Day	1	63	1	81	958	147	0	0	1	0	146	0
Precinct 7556/7557 - Vote By Mail	17	124	3	236	958	400	0	2	18	0	380	0
Precinct 7556/7557	18	187	4	317	958	547	0	2	19	0	526	0
Precinct 9501 MB - Election Day	0	0	0	1	147	2	0	0	1	0	1	0
Precinct 9501 MB - Vote By Mail	1	19	3	38	147	69	0	0	8	0	61	0
Precinct 9501 MB	1	19	3	39	147	71	0	0	9	0	62	0
Precinct 9502 MB - Election Day	0	1	0	2	253	5	0	0	2	0	3	0
Precinct 9502 MB - Vote By Mail	3	41	2	54	253	104	0	0	4	0	100	0
Precinct 9502 MB	3	42	2	56	253	109	0	0	6	0	103	0
Precinct 9503/9504 - Election Day	4	39	1	40	667	86	0	0	2	0	84	0
Precinct 9503/9504 - Vote By Mail	8	59	1	99	667	176	0	1	8	0	167	0
Precinct 9503/9504	12	98	2	139	667	262	0	1	10	0	251	0
Precinct 9505 - Election Day	5	54	1	50	760	116	0	0	6	0	110	0
Precinct 9505 - Vote By Mail	15	105	2	113	760	246	0	1	10	0	235	0
Precinct 9505	20	159	3	163	760	362	0	1	16	0	345	0
Precinct 9506 - Election Day	5	33	2	47	750	95	0	0	8	0	87	0
Precinct 9506 - Vote By Mail	7	61	1	111	750	186	0	0	6	0	180	0
Precinct 9506	12	94	3	158	750	281	0	0	14	0	267	0
Precinct 9507 - Election Day	2	66	0	50	713	121	0	0	3	0	118	0
Precinct 9507 - Vote By Mail	2	81	2	117	713	212	0	0	10	0	202	0
Precinct 9507	4	147	2	167	713	333	0	0	13	0	320	0
Precinct 9511/9509 - Election Day	3	124	3	87	1,314	228	0	1	10	0	217	0
Precinct 9511/9509 - Vote By Mail	10	158	2	200	1,314	383	0	0	13	0	370	0
Precinct 9511/9509	13	282	5	287	1,314	611	0	1	23	0	587	0
Precinct 9512/9508 - Election Day	5	122	3	86	1,544	231	0	2	13	0	216	0
Precinct 9512/9508 - Vote By Mail	8	198	5	256	1,544	489	0	2	20	0	467	0
Precinct 9512/9508	13	320	8	342	1,544	720	0	4	33	0	683	0
Precinct 9513 - Election Day	1	87	3	66	872	163	0	0	6	0	157	0
Precinct 9513 - Vote By Mail	9	120	1	105	872	243	0	0	8	0	235	0
Precinct 9513	10	207	4	171	872	406	0	0	14	0	392	0
Precinct 9514/9522 - Election Day	7	82	0	64	888	158	0	0	5	0	153	0
Precinct 9514/9522 - Vote By Mail	6	104	2	142	888	270	0	0	16	0	254	0
Precinct 9514/9522	13	186	2	206	888	428	0	0	21	0	407	0
Precinct 9516/9515 - Election Day	14	134	2	110	1,579	275	0	0	15	0	260	0
Precinct 9516/9515 - Vote By Mail	33	215	3	197	1,579	485	0	0	37	0	448	0
Precinct 9516/9515	47	349	5	307	1,579	760	0	0	52	0	708	0
Precinct 9517/9518 - Election Day	10	145	5	79	1,554	252	0	0	13	0	239	0
Precinct 9517/9518 - Vote By Mail	18	242	3	195	1,554	484	0	1	25	0	458	0
Precinct 9517/9518	28	387	8	274	1,554	736	0	1	38	0	697	0
Precinct 9519 - Election Day	9	66	3	63	882	148	0	0	7	0	141	0
Precinct 9519 - Vote By Mail	12	144	0	137	882	304	0	1	10	0	293	0
Precinct 9519	21	210	3	200	882	452	0	1	17	0	434	0
Precinct 9521 - Election Day	3	88	5	77	870	182	0	0	9	0	173	0
Precinct 9521 - Vote By Mail	9	106	1	159	870	295	0	0	20	0	275	0
Precinct 9521	12	194	6	236	870	477	0	0	29	0	448	0
Congressional District 12 - Election Day	223	4,249	109	3,354	51,976	8,348	0	8	405	0	7,935	0
Congressional District 12 - Vote By Mail	695	6,870	156	7,817	51,976	16,417	0	31	848	0	15,538	0
Congressional District 12	918	11,119	265	11,171	51,976	24,765	0	39	1,253	0	23,473	0
Assembly District 17 - Election Day	155	3,208	81	2,532	39,183	6,286	0	5	305	0	5,976	0
Assembly District 17 - Vote By Mail	554	5,217	128	5,894	39,183	12,471	0	25	653	0	11,793	0
Assembly District 17	709	8,425	209	8,426	39,183	18,757	0	30	958	0	17,769	0
Assembly District 19 - Election Day	68	1,041	28	822	12,793	2,062	0	3	100	0	1,959	0
Assembly District 19 - Vote By Mail	141	1,653	28	1,923	12,793	3,946	0	6	195	0	3,745	0
Assembly District 19	209	2,694	56	2,745	12,793	6,008	0	9	295	0	5,704	0
Supervisorial District 5 - Election Day	223	4,249	109	3,354	51,976	8,348	0	8	405	0	7,935	0
Supervisorial District 5 - Vote By Mail	695	6,870	156	7,817	51,976	16,417	0	31	848	0	15,538	0
Supervisorial District 5	918	11,119	265	11,171	51,976	24,765	0	39	1,253	0	23,473	0
Haight Ashbury - Election Day	49	1,532	26	1,132	14,950	2,833	0	1	93	0	2,739	0
Haight Ashbury - Vote By Mail	117	2,169	41	2,301	14,950	4,844	0	6	210	0	4,628	0
Haight Ashbury	166	3,701	67	3,433	14,950	7,677	0	7	303	0	7,367	0
Inner Sunset - Election Day	49	640	18	524	7,549	1,286	0	0	55	0	1,231	0
Inner Sunset - Vote By Mail	104	1,073	14	1,186	7,549	2,516	0	3	136	0	2,377	0
Inner Sunset	153	1,713	32	1,710	7,549	3,802	0	3	191	0	3,608	0
Laurel Heights/Anza Vista - Election Day	5	191	3	139	2,280	354	0	1	15	0	338	0
Laurel Heights/Anza Vista - Vote By Mail	15	280	6	371	2,280	699	0	0	27	0	672	0
Laurel Heights/Anza Vista	20	471	9	510	2,280	1,053	0	1	42	0	1,010	0
Marina Pacific Heights - Election Day	23	153	8	179	3,437	398	0	0	35	0	363	0
Marina Pacific Heights - Vote By Mail	88	368	23	499	3,437	1,047	0	5	64	0	978	0
Marina Pacific Heights	111	521	31	678	3,437	1,445	0	5	99	0	1,341	0
Western Addition - Election Day	97	1,733	54	1,380	23,760	3,477	0	6	207	0	3,264	0
Western Addition - Vote By Mail	371	2,980	72	3,460	23,760	7,311	0	17	411	0	6,883	0
Western Addition	468	4,713	126	4,840	23,760	10,788	0	23	618	0	10,147	0
