Subtotal Area	JOEL VENTRESCA	WILMA PANG	ROBERT L. JORDAN, JR.	PAUL YBARRA ROBERTSON	ELLEN LEE ZHOU	LONDON N. BREED	MARC ROTH	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
Precinct 7326/7337 - Vote By Mail	22	9	4	27	91	312	0	1,709	525	0	0	60	0	465	0
Precinct 7326/7337	29	17	9	33	113	410	0	1,709	689	0	0	78	0	611	0
Precinct 7327 - Election Day	2	1	0	2	9	25	0	668	40	0	0	1	0	39	0
Precinct 7327 - Vote By Mail	2	3	7	6	93	67	0	668	217	0	3	36	0	178	0
Precinct 7327	4	4	7	8	102	92	0	668	257	0	3	37	0	217	0
Precinct 7328 - Election Day	2	1	2	2	15	17	0	985	42	0	1	2	0	39	0
Precinct 7328 - Vote By Mail	9	7	6	9	92	156	0	985	331	0	3	49	0	279	0
Precinct 7328	11	8	8	11	107	173	0	985	373	0	4	51	0	318	0
Precinct 7329 - Election Day	2	2	1	1	2	35	0	638	52	0	0	9	0	43	0
Precinct 7329 - Vote By Mail	13	7	8	15	25	108	0	638	196	0	0	20	0	176	0
Precinct 7329	15	9	9	16	27	143	0	638	248	0	0	29	0	219	0
Precinct 7331 - Election Day	6	3	3	14	14	62	0	850	113	0	0	11	0	102	0
Precinct 7331 - Vote By Mail	15	6	5	26	38	186	0	850	302	0	0	26	0	276	0
Precinct 7331	21	9	8	40	52	248	0	850	415	0	0	37	0	378	0
Precinct 7332/7334 - Election Day	21	5	3	8	22	91	0	1,601	185	0	3	32	0	150	0
Precinct 7332/7334 - Vote By Mail	23	14	8	11	71	245	0	1,601	439	0	4	63	0	372	0
Precinct 7332/7334	44	19	11	19	93	336	0	1,601	624	0	7	95	0	522	0
Precinct 7333/7335 - Election Day	14	4	1	5	18	116	0	1,930	190	0	0	32	0	158	0
Precinct 7333/7335 - Vote By Mail	31	8	6	37	62	332	0	1,930	542	0	1	65	0	476	0
Precinct 7333/7335	45	12	7	42	80	448	0	1,930	732	0	1	97	0	634	0
Precinct 7336/7345 - Election Day	21	6	4	9	23	119	0	2,021	214	0	0	32	0	182	0
Precinct 7336/7345 - Vote By Mail	34	7	9	26	48	381	0	2,021	557	0	1	51	0	505	0
Precinct 7336/7345	55	13	13	35	71	500	0	2,021	771	0	1	83	0	687	0
Precinct 7338/7349 - Election Day	13	2	5	5	25	83	0	1,783	151	0	1	17	0	133	0
Precinct 7338/7349 - Vote By Mail	25	13	9	12	115	318	0	1,783	541	0	4	45	0	492	0
Precinct 7338/7349	38	15	14	17	140	401	0	1,783	692	0	5	62	0	625	0
Precinct 7339/7341 - Election Day	10	2	1	13	10	99	0	1,588	158	0	0	23	0	135	0
Precinct 7339/7341 - Vote By Mail	31	4	8	18	55	249	0	1,588	411	0	0	46	0	365	0
Precinct 7339/7341	41	6	9	31	65	348	0	1,588	569	0	0	69	0	500	0
Precinct 7342 - Election Day	10	9	4	5	15	90	0	909	158	0	1	24	0	133	0
Precinct 7342 - Vote By Mail	17	8	0	12	18	144	0	909	231	0	0	32	0	199	0
Precinct 7342	27	17	4	17	33	234	0	909	389	0	1	56	0	332	0
Precinct 7343 - Election Day	7	0	2	4	12	53	0	706	89	0	0	11	0	78	0
Precinct 7343 - Vote By Mail	12	2	3	5	14	86	0	706	145	0	0	23	0	122	0
Precinct 7343	19	2	5	9	26	139	0	706	234	0	0	34	0	200	0
Precinct 7344 - Election Day	10	2	3	5	5	62	0	1,052	113	0	0	26	0	87	0
Precinct 7344 - Vote By Mail	21	8	2	12	36	182	0	1,052	290	0	0	29	0	261	0
Precinct 7344	31	10	5	17	41	244	0	1,052	403	0	0	55	0	348	0
Precinct 7346 - Election Day	9	1	2	7	8	50	0	879	89	0	0	12	0	77	0
Precinct 7346 - Vote By Mail	14	5	6	14	16	96	0	879	170	0	0	19	0	151	0
Precinct 7346	23	6	8	21	24	146	0	879	259	0	0	31	0	228	0
Precinct 7348/7347 - Election Day	9	3	6	5	19	87	0	1,826	152	0	0	23	0	129	0
Precinct 7348/7347 - Vote By Mail	45	12	11	15	42	254	0	1,826	432	0	0	53	0	379	0
Precinct 7348/7347	54	15	17	20	61	341	0	1,826	584	0	0	76	0	508	0
Precinct 7502 - Election Day	7	2	1	4	8	44	0	779	70	0	0	4	0	66	0
Precinct 7502 - Vote By Mail	22	5	1	10	21	155	0	779	248	0	0	34	0	214	0
Precinct 7502	29	7	2	14	29	199	0	779	318	0	0	38	0	280	0
Precinct 7503 - Election Day	4	1	1	2	7	56	0	725	79	0	0	8	0	71	0
Precinct 7503 - Vote By Mail	10	3	2	9	16	137	0	725	204	0	0	27	0	177	0
Precinct 7503	14	4	3	11	23	193	0	725	283	0	0	35	0	248	0
Precinct 7504/7501 - Election Day	5	0	0	2	6	93	0	1,019	121	0	0	15	0	106	0
Precinct 7504/7501 - Vote By Mail	11	0	2	8	29	227	0	1,019	308	0	3	28	0	277	0
Precinct 7504/7501	16	0	2	10	35	320	0	1,019	429	0	3	43	0	383	0
Precinct 7505 - Election Day	7	1	0	1	5	82	0	851	101	0	0	5	0	96	0
Precinct 7505 - Vote By Mail	18	5	5	8	43	251	0	851	363	0	1	32	0	330	0
Precinct 7505	25	6	5	9	48	333	0	851	464	0	1	37	0	426	0
Precinct 7506/7507 - Election Day	6	5	3	2	12	135	0	1,913	188	0	0	25	0	163	0
Precinct 7506/7507 - Vote By Mail	27	9	12	11	72	319	0	1,913	514	0	2	62	0	450	0
Precinct 7506/7507	33	14	15	13	84	454	0	1,913	702	0	2	87	0	613	0
Precinct 7508 - Election Day	7	0	2	5	15	52	0	720	96	0	0	15	0	81	0
Precinct 7508 - Vote By Mail	14	3	2	9	56	179	0	720	286	0	1	22	0	263	0
Precinct 7508	21	3	4	14	71	231	0	720	382	0	1	37	0	344	0
Precinct 7509/7511 - Election Day	7	3	2	2	17	75	0	914	128	0	0	22	0	106	0
Precinct 7509/7511 - Vote By Mail	20	6	5	9	39	173	0	914	287	0	1	34	0	252	0
Precinct 7509/7511	27	9	7	11	56	248	0	914	415	0	1	56	0	358	0
Precinct 7512 - Election Day	2	1	2	2	23	44	0	588	78	0	1	3	0	74	0
Precinct 7512 - Vote By Mail	11	3	3	8	45	117	0	588	207	0	0	20	0	187	0
Precinct 7512	13	4	5	10	68	161	0	588	285	0	1	23	0	261	0
Precinct 7513 - Election Day	3	0	0	1	5	75	0	784	101	0	2	15	0	84	0
Precinct 7513 - Vote By Mail	7	6	2	3	44	112	0	784	194	0	0	20	0	174	0
Precinct 7513	10	6	2	4	49	187	0	784	295	0	2	35	0	258	0
Precinct 7514 - Election Day	0	0	0	0	7	76	0	901	87	0	1	3	0	83	0
Precinct 7514 - Vote By Mail	2	2	5	3	40	164	0	901	234	0	3	15	0	216	0
Precinct 7514	2	2	5	3	47	240	0	901	321	0	4	18	0	299	0
Precinct 7515 - Election Day	1	1	1	3	5	74	0	852	97	0	1	11	0	85	0
Precinct 7515 - Vote By Mail	5	3	6	4	23	169	0	852	241	0	1	30	0	210	0
Precinct 7515	6	4	7	7	28	243	0	852	338	0	2	41	0	295	0
Precinct 7516 - Election Day	8	3	0	3	15	76	0	906	112	0	0	7	0	105	0
Precinct 7516 - Vote By Mail	20	11	1	9	68	214	0	906	359	0	1	35	0	323	0
Precinct 7516	28	14	1	12	83	290	0	906	471	0	1	42	0	428	0
Precinct 7518/7517 - Election Day	30	6	1	6	23	184	0	1,754	328	0	0	78	0	250	0
Precinct 7518/7517 - Vote By Mail	38	12	0	12	26	364	0	1,754	563	0	0	111	0	452	0
Precinct 7518/7517	68	18	1	18	49	548	0	1,754	891	0	0	189	0	702	0
Precinct 7519 - Election Day	5	1	2	2	10	68	0	709	116	0	0	28	0	88	0
Precinct 7519 - Vote By Mail	9	4	2	5	8	138	0	709	204	0	0	38	0	166	0
Precinct 7519	14	5	4	7	18	206	0	709	320	0	0	66	0	254	0
Precinct 7521 - Election Day	6	7	3	1	3	90	0	761	135	0	0	25	0	110	0
Precinct 7521 - Vote By Mail	7	3	2	4	7	173	0	761	248	0	0	52	0	196	0
Precinct 7521	13	10	5	5	10	263	0	761	383	0	0	77	0	306	0
Precinct 7522/7523 - Election Day	11	4	5	6	16	178	0	1,464	290	0	0	70	0	220	0
Precinct 7522/7523 - Vote By Mail	20	7	2	5	14	288	0	1,464	424	0	0	88	0	336	0
Precinct 7522/7523	31	11	7	11	30	466	0	1,464	714	0	0	158	0	556	0
Precinct 7524 - Election Day	6	1	3	0	4	73	0	606	98	0	0	11	0	87	0
Precinct 7524 - Vote By Mail	8	3	0	2	8	126	0	606	167	0	0	20	0	147	0
Precinct 7524	14	4	3	2	12	199	0	606	265	0	0	31	0	234	0
Precinct 7525 - Election Day	4	1	2	2	3	72	0	762	97	0	0	13	0	84	0
Precinct 7525 - Vote By Mail	9	1	4	3	16	128	0	762	191	0	0	30	0	161	0
Precinct 7525	13	2	6	5	19	200	0	762	288	0	0	43	0	245	0
Precinct 7526 - Election Day	13	1	0	2	17	63	0	974	125	0	1	28	0	96	0
Precinct 7526 - Vote By Mail	12	2	0	9	18	214	0	974	297	0	0	42	0	255	0
Precinct 7526	25	3	0	11	35	277	0	974	422	0	1	70	0	351	0
Precinct 7527/7528 - Election Day	6	1	1	4	24	64	0	689	120	0	0	20	0	100	0
Precinct 7527/7528 - Vote By Mail	9	2	3	5	26	130	0	689	215	0	0	40	0	175	0
Precinct 7527/7528	15	3	4	9	50	194	0	689	335	0	0	60	0	275	0
Precinct 7529 - Election Day	12	5	1	2	7	106	0	906	172	0	0	39	0	133	0
Precinct 7529 - Vote By Mail	11	5	2	4	10	190	0	906	294	0	0	72	0	222	0
Precinct 7529	23	10	3	6	17	296	0	906	466	0	0	111	0	355	0
Precinct 7531 - Election Day	9	6	1	0	8	66	0	839	116	0	0	26	0	90	0
Precinct 7531 - Vote By Mail	21	4	1	2	8	182	0	839	276	0	0	58	0	218	0
Precinct 7531	30	10	2	2	16	248	0	839	392	0	0	84	0	308	0
Precinct 7532 - Election Day	5	6	2	4	16	65	0	792	114	0	0	16	0	98	0
Precinct 7532 - Vote By Mail	15	2	3	3	25	148	0	792	221	0	0	25	0	196	0
Precinct 7532	20	8	5	7	41	213	0	792	335	0	0	41	0	294	0
Precinct 7533 - Election Day	19	7	2	2	14	113	0	936	201	0	0	44	0	157	0
Precinct 7533 - Vote By Mail	18	4	0	12	18	161	0	936	275	0	1	61	0	213	0
Precinct 7533	37	11	2	14	32	274	0	936	476	0	1	105	0	370	0
Precinct 7534 - Election Day	9	5	1	2	4	82	0	881	153	0	0	50	0	103	0
Precinct 7534 - Vote By Mail	11	2	2	7	10	160	0	881	237	0	1	44	0	192	0
Precinct 7534	20	7	3	9	14	242	0	881	390	0	1	94	0	295	0
Precinct 7536/7535 - Election Day	16	13	2	6	18	180	0	1,594	318	0	0	83	0	235	0
Precinct 7536/7535 - Vote By Mail	26	6	4	5	27	337	0	1,594	495	0	1	89	0	405	0
Precinct 7536/7535	42	19	6	11	45	517	0	1,594	813	0	1	172	0	640	0
Precinct 7537/7538 - Election Day	23	6	1	7	15	167	0	1,472	301	0	0	82	0	219	0
Precinct 7537/7538 - Vote By Mail	39	4	2	6	20	282	0	1,472	437	0	1	83	0	353	0
Precinct 7537/7538	62	10	3	13	35	449	0	1,472	738	0	1	165	0	572	0
Precinct 7539 - Election Day	11	5	2	3	8	141	0	906	233	0	0	63	0	170	0
Precinct 7539 - Vote By Mail	17	4	0	7	5	179	0	906	279	0	1	66	0	212	0
Precinct 7539	28	9	2	10	13	320	0	906	512	0	1	129	0	382	0
Precinct 7541 - Election Day	6	4	2	7	3	74	0	769	136	0	0	40	0	96	0
Precinct 7541 - Vote By Mail	8	3	1	7	22	156	0	769	247	0	0	50	0	197	0
Precinct 7541	14	7	3	14	25	230	0	769	383	0	0	90	0	293	0
Precinct 7543/7542 - Election Day	11	10	2	4	18	151	0	1,718	252	0	0	56	0	196	0
Precinct 7543/7542 - Vote By Mail	33	6	0	7	32	357	0	1,718	549	0	1	113	0	435	0
Precinct 7543/7542	44	16	2	11	50	508	0	1,718	801	0	1	169	0	631	0
Precinct 7544 - Election Day	8	3	0	7	8	90	0	892	152	0	0	36	0	116	0
Precinct 7544 - Vote By Mail	17	2	0	7	13	182	1	892	281	0	1	58	0	222	1
Precinct 7544	25	5	0	14	21	272	1	892	433	0	1	94	0	338	1
Precinct 7545 - Election Day	6	3	0	4	15	73	0	877	139	0	0	38	0	101	0
Precinct 7545 - Vote By Mail	12	7	3	8	18	190	0	877	277	0	0	39	0	238	0
Precinct 7545	18	10	3	12	33	263	0	877	416	0	0	77	0	339	0
Precinct 7546/7547 - Election Day	14	9	1	7	17	208	0	1,900	340	0	0	84	0	256	0
Precinct 7546/7547 - Vote By Mail	50	9	4	12	26	421	0	1,900	670	0	0	148	0	522	0
Precinct 7546/7547	64	18	5	19	43	629	0	1,900	1,010	0	0	232	0	778	0
Precinct 7548 - Election Day	6	6	1	3	12	130	0	1,027	198	0	0	40	0	158	0
Precinct 7548 - Vote By Mail	27	10	1	9	10	214	0	1,027	322	0	1	50	0	271	0
Precinct 7548	33	16	2	12	22	344	0	1,027	520	0	1	90	0	429	0
Precinct 7549 - Election Day	10	5	0	3	8	77	0	799	135	0	0	32	0	103	0
Precinct 7549 - Vote By Mail	26	2	1	8	28	170	0	799	286	0	0	51	0	235	0
Precinct 7549	36	7	1	11	36	247	0	799	421	0	0	83	0	338	0
Precinct 7552 - Election Day	4	2	0	1	5	102	0	685	136	0	0	22	0	114	0
Precinct 7552 - Vote By Mail	10	2	0	5	10	156	0	685	213	0	0	30	0	183	0
Precinct 7552	14	4	0	6	15	258	0	685	349	0	0	52	0	297	0
Precinct 7553 MB - Election Day	0	0	0	0	0	1	0	182	1	0	0	0	0	1	0
Precinct 7553 MB - Vote By Mail	3	1	3	2	5	60	0	182	81	0	0	7	0	74	0
Precinct 7553 MB	3	1	3	2	5	61	0	182	82	0	0	7	0	75	0
Precinct 7554 - Election Day	4	2	0	4	8	95	0	795	135	0	0	22	0	113	0
Precinct 7554 - Vote By Mail	13	7	1	7	13	231	0	795	311	0	0	39	0	272	0
Precinct 7554	17	9	1	11	21	326	0	795	446	0	0	61	0	385	0
Precinct 7555/7551 - Election Day	16	5	4	7	16	241	0	1,584	340	0	0	51	0	289	0
Precinct 7555/7551 - Vote By Mail	24	4	4	15	24	391	0	1,584	565	0	0	103	0	462	0
Precinct 7555/7551	40	9	8	22	40	632	0	1,584	905	0	0	154	0	751	0
Precinct 7556/7557 - Election Day	7	7	0	2	8	96	0	958	147	0	0	27	0	120	0
Precinct 7556/7557 - Vote By Mail	19	5	1	3	22	292	0	958	400	0	0	58	0	342	0
Precinct 7556/7557	26	12	1	5	30	388	0	958	547	0	0	85	0	462	0
Precinct 7601 - Election Day	8	4	2	3	7	44	0	677	81	0	0	13	0	68	0
Precinct 7601 - Vote By Mail	9	3	1	8	13	100	0	677	151	0	0	17	0	134	0
Precinct 7601	17	7	3	11	20	144	0	677	232	0	0	30	0	202	0
Precinct 7602/7603 - Election Day	14	6	1	7	19	97	0	1,659	176	0	1	31	0	144	0
Precinct 7602/7603 - Vote By Mail	30	14	8	8	39	211	0	1,659	383	0	3	70	0	310	0
Precinct 7602/7603	44	20	9	15	58	308	0	1,659	559	0	4	101	0	454	0
Precinct 7605/7609 - Election Day	5	3	4	1	15	78	0	1,508	114	0	0	8	0	106	0
Precinct 7605/7609 - Vote By Mail	37	14	3	9	52	281	0	1,508	444	0	5	43	0	396	0
Precinct 7605/7609	42	17	7	10	67	359	0	1,508	558	0	5	51	0	502	0
Precinct 7606 - Election Day	4	3	0	2	7	47	0	887	74	0	0	11	0	63	0
Precinct 7606 - Vote By Mail	18	3	4	5	22	109	0	887	180	0	0	19	0	161	0
Precinct 7606	22	6	4	7	29	156	0	887	254	0	0	30	0	224	0
Precinct 7607 - Election Day	3	7	2	2	11	51	0	900	86	0	0	10	0	76	0
Precinct 7607 - Vote By Mail	11	5	7	11	14	152	0	900	236	0	1	35	0	200	0
Precinct 7607	14	12	9	13	25	203	0	900	322	0	1	45	0	276	0
Precinct 7608/7604 - Election Day	9	4	1	6	14	55	0	1,300	102	0	1	12	0	89	0
Precinct 7608/7604 - Vote By Mail	20	7	6	12	30	174	0	1,300	279	0	3	27	0	249	0
Precinct 7608/7604	29	11	7	18	44	229	0	1,300	381	0	4	39	0	338	0
Precinct 7611 - Election Day	5	3	3	3	8	34	0	763	65	0	1	8	0	56	0
Precinct 7611 - Vote By Mail	12	1	4	2	31	116	0	763	190	0	5	19	0	166	0
Precinct 7611	17	4	7	5	39	150	0	763	255	0	6	27	0	222	0
Precinct 7613/7612 - Election Day	12	6	4	4	24	62	0	1,421	139	0	2	25	0	112	0
Precinct 7613/7612 - Vote By Mail	36	2	5	9	87	195	0	1,421	372	0	5	33	0	334	0
Precinct 7613/7612	48	8	9	13	111	257	0	1,421	511	0	7	58	0	446	0
Precinct 7614 - Election Day	10	2	4	6	5	42	0	932	83	0	0	14	0	69	0
Precinct 7614 - Vote By Mail	17	2	5	7	18	107	0	932	188	0	0	32	0	156	0
Precinct 7614	27	4	9	13	23	149	0	932	271	0	0	46	0	225	0
Precinct 7615 - Election Day	6	3	0	4	7	29	0	745	61	0	1	11	0	49	0
Precinct 7615 - Vote By Mail	15	2	6	5	29	84	0	745	153	0	0	12	0	141	0
Precinct 7615	21	5	6	9	36	113	0	745	214	0	1	23	0	190	0
Precinct 7616/7654 - Election Day	5	3	0	2	10	59	0	1,246	90	0	0	11	0	79	0
Precinct 7616/7654 - Vote By Mail	31	3	1	8	22	258	0	1,246	347	0	0	24	0	323	0
Precinct 7616/7654	36	6	1	10	32	317	0	1,246	437	0	0	35	0	402	0
Precinct 7617 - Election Day	7	1	1	0	4	31	0	737	49	0	0	5	0	44	0
Precinct 7617 - Vote By Mail	21	6	7	6	24	116	0	737	196	0	1	15	0	180	0
Precinct 7617	28	7	8	6	28	147	0	737	245	0	1	20	0	224	0
Precinct 7618 - Election Day	6	2	0	6	8	39	0	873	82	0	0	21	0	61	0
Precinct 7618 - Vote By Mail	19	3	1	4	21	140	0	873	237	0	1	48	0	188	0
Precinct 7618	25	5	1	10	29	179	0	873	319	0	1	69	0	249	0
Precinct 7619 - Election Day	11	4	0	1	10	44	0	1,055	89	0	0	19	0	70	0
Precinct 7619 - Vote By Mail	25	6	3	18	31	170	0	1,055	301	0	1	47	0	253	0
Precinct 7619	36	10	3	19	41	214	0	1,055	390	0	1	66	0	323	0
Precinct 7621 - Election Day	4	0	0	2	17	55	0	1,064	89	0	0	11	0	78	0
Precinct 7621 - Vote By Mail	22	7	3	11	32	181	0	1,064	290	0	0	34	0	256	0
Precinct 7621	26	7	3	13	49	236	0	1,064	379	0	0	45	0	334	0
Precinct 7622 - Election Day	3	1	1	2	8	47	0	923	69	0	0	7	0	62	0
Precinct 7622 - Vote By Mail	9	4	1	9	13	102	0	923	159	0	1	20	0	138	0
Precinct 7622	12	5	2	11	21	149	0	923	228	0	1	27	0	200	0
Precinct 7623 - Election Day	2	3	1	1	8	50	0	965	81	0	0	16	0	65	0
Precinct 7623 - Vote By Mail	17	1	5	5	19	112	0	965	188	0	0	29	0	159	0
Precinct 7623	19	4	6	6	27	162	0	965	269	0	0	45	0	224	0
Precinct 7624 - Election Day	2	1	1	4	5	37	0	835	59	0	0	9	0	50	0
Precinct 7624 - Vote By Mail	7	3	2	6	23	114	0	835	173	0	3	15	0	155	0
Precinct 7624	9	4	3	10	28	151	0	835	232	0	3	24	0	205	0
Precinct 7625 - Election Day	3	1	2	1	3	25	0	809	40	0	1	4	0	35	0
Precinct 7625 - Vote By Mail	10	12	4	9	81	257	0	809	398	0	4	21	0	373	0
Precinct 7625	13	13	6	10	84	282	0	809	438	0	5	25	0	408	0
Precinct 7626 - Election Day	1	0	1	2	5	42	0	1,037	61	0	0	10	0	51	0
Precinct 7626 - Vote By Mail	9	2	2	15	30	205	0	1,037	294	0	1	30	0	263	0
Precinct 7626	10	2	3	17	35	247	0	1,037	355	0	1	40	0	314	0
Precinct 7628 - Election Day	4	1	2	3	3	63	0	933	98	0	0	22	0	76	0
Precinct 7628 - Vote By Mail	17	4	2	6	18	136	0	933	231	0	0	48	0	183	0
Precinct 7628	21	5	4	9	21	199	0	933	329	0	0	70	0	259	0
Precinct 7629 - Election Day	3	2	1	4	5	49	0	847	75	0	0	11	0	64	0
Precinct 7629 - Vote By Mail	11	2	3	7	15	120	0	847	187	0	1	28	0	158	0
Precinct 7629	14	4	4	11	20	169	0	847	262	0	1	39	0	222	0
Precinct 7632 - Election Day	6	2	1	3	5	60	0	1,112	95	0	0	18	0	77	0
Precinct 7632 - Vote By Mail	13	6	3	8	15	176	0	1,112	258	0	0	37	0	221	0
Precinct 7632	19	8	4	11	20	236	0	1,112	353	0	0	55	0	298	0
Precinct 7633/7631 - Election Day	11	2	2	4	15	97	1	1,902	153	0	1	20	0	132	1
Precinct 7633/7631 - Vote By Mail	27	13	1	14	64	328	0	1,902	514	0	3	64	0	447	0
Precinct 7633/7631	38	15	3	18	79	425	1	1,902	667	0	4	84	0	579	1
Precinct 7634 - Election Day	5	1	2	5	16	48	0	864	86	0	0	9	0	77	0
Precinct 7634 - Vote By Mail	15	0	4	10	32	174	0	864	254	0	2	17	0	235	0
Precinct 7634	20	1	6	15	48	222	0	864	340	0	2	26	0	312	0
Precinct 7635 - Election Day	3	0	0	1	4	47	0	821	60	0	0	5	0	55	0
Precinct 7635 - Vote By Mail	13	4	1	11	14	161	0	821	221	0	2	15	0	204	0
Precinct 7635	16	4	1	12	18	208	0	821	281	0	2	20	0	259	0
Precinct 7636 - Election Day	5	2	2	0	4	49	0	945	79	0	1	16	0	62	0
Precinct 7636 - Vote By Mail	22	3	4	10	23	138	0	945	233	0	3	30	0	200	0
Precinct 7636	27	5	6	10	27	187	0	945	312	0	4	46	0	262	0
Precinct 7637 - Election Day	7	2	0	2	10	31	0	841	56	0	0	4	0	52	0
Precinct 7637 - Vote By Mail	11	3	2	18	33	132	0	841	231	0	0	32	0	199	0
Precinct 7637	18	5	2	20	43	163	0	841	287	0	0	36	0	251	0
Precinct 7638/7656 - Election Day	8	2	1	9	27	30	0	1,467	89	0	0	12	0	77	0
Precinct 7638/7656 - Vote By Mail	38	8	4	35	107	215	0	1,467	460	0	1	52	0	407	0
Precinct 7638/7656	46	10	5	44	134	245	0	1,467	549	0	1	64	0	484	0
Precinct 7639/7641 - Election Day	12	5	0	12	17	70	0	1,935	137	0	0	21	0	116	0
Precinct 7639/7641 - Vote By Mail	44	14	8	37	91	324	0	1,935	596	0	0	78	0	518	0
Precinct 7639/7641	56	19	8	49	108	394	0	1,935	733	0	0	99	0	634	0
Precinct 7642 - Election Day	4	0	1	9	12	40	0	946	68	0	0	2	0	66	0
Precinct 7642 - Vote By Mail	14	2	4	13	34	129	0	946	209	0	1	12	0	196	0
Precinct 7642	18	2	5	22	46	169	0	946	277	0	1	14	0	262	0
Precinct 7643 - Election Day	6	0	2	3	8	63	0	927	87	0	1	4	0	82	0
Precinct 7643 - Vote By Mail	19	5	3	9	61	191	0	927	308	0	0	20	0	288	0
Precinct 7643	25	5	5	12	69	254	0	927	395	0	1	24	0	370	0
Precinct 7644 - Election Day	4	1	0	1	8	69	0	1,111	87	0	0	4	0	83	0
Precinct 7644 - Vote By Mail	15	1	2	5	29	172	0	1,111	250	0	0	26	0	224	0
Precinct 7644	19	2	2	6	37	241	0	1,111	337	0	0	30	0	307	0
Precinct 7645 - Election Day	5	1	0	7	8	19	0	626	42	0	1	1	0	40	0
Precinct 7645 - Vote By Mail	16	3	3	26	36	94	0	626	218	0	0	40	0	178	0
Precinct 7645	21	4	3	33	44	113	0	626	260	0	1	41	0	218	0
Precinct 7646 - Election Day	1	1	0	0	8	42	0	1,090	60	0	0	8	0	52	0
Precinct 7646 - Vote By Mail	18	6	3	11	35	245	0	1,090	346	0	0	28	0	318	0
Precinct 7646	19	7	3	11	43	287	0	1,090	406	0	0	36	0	370	0
Precinct 7647 - Election Day	7	2	2	4	0	33	0	968	55	0	0	7	0	48	0
Precinct 7647 - Vote By Mail	7	1	3	7	7	100	0	968	136	0	3	8	0	125	0
Precinct 7647	14	3	5	11	7	133	0	968	191	0	3	15	0	173	0
Precinct 7648 MB - Election Day	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Precinct 7648 MB - Vote By Mail	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Precinct 7648 MB	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Precinct 7649 - Election Day	3	0	1	3	3	40	0	888	58	0	0	8	0	50	0
Precinct 7649 - Vote By Mail	6	7	2	5	27	146	0	888	212	0	0	19	0	193	0
Precinct 7649	9	7	3	8	30	186	0	888	270	0	0	27	0	243	0
Precinct 7651 - Election Day	3	0	0	4	5	35	0	830	50	0	0	3	0	47	0
Precinct 7651 - Vote By Mail	9	6	0	8	26	134	0	830	206	0	1	22	0	183	0
Precinct 7651	12	6	0	12	31	169	0	830	256	0	1	25	0	230	0
Precinct 7652 - Election Day	6	2	1	3	2	30	0	596	48	0	0	4	0	44	0
Precinct 7652 - Vote By Mail	7	2	0	6	15	102	0	596	152	0	0	20	0	132	0
Precinct 7652	13	4	1	9	17	132	0	596	200	0	0	24	0	176	0
Precinct 7653/7657 - Election Day	1	1	2	3	6	61	0	1,373	79	0	0	5	0	74	0
Precinct 7653/7657 - Vote By Mail	14	8	1	14	49	260	0	1,373	366	0	0	20	0	346	0
Precinct 7653/7657	15	9	3	17	55	321	0	1,373	445	0	0	25	0	420	0
Precinct 7655/7627 - Election Day	5	0	2	0	7	43	0	1,150	63	0	0	6	0	57	0
Precinct 7655/7627 - Vote By Mail	18	2	0	10	46	171	0	1,150	269	0	0	22	0	247	0
Precinct 7655/7627	23	2	2	10	53	214	0	1,150	332	0	0	28	0	304	0
Precinct 7701 - Election Day	14	2	1	2	16	81	0	1,035	139	0	0	23	0	116	0
Precinct 7701 - Vote By Mail	24	4	2	9	23	238	0	1,035	372	0	2	70	0	300	0
Precinct 7701	38	6	3	11	39	319	0	1,035	511	0	2	93	0	416	0
Precinct 7703 MB - Election Day	0	0	0	0	0	1	0	178	1	0	0	0	0	1	0
Precinct 7703 MB - Vote By Mail	3	1	3	1	1	39	0	178	54	0	0	6	0	48	0
Precinct 7703 MB	3	1	3	1	1	40	0	178	55	0	0	6	0	49	0
Precinct 7704/7702 - Election Day	11	13	4	10	29	152	0	1,723	249	0	1	29	0	219	0
Precinct 7704/7702 - Vote By Mail	44	15	6	16	86	386	0	1,723	632	0	1	78	0	553	0
Precinct 7704/7702	55	28	10	26	115	538	0	1,723	881	0	2	107	0	772	0
Precinct 7705 - Election Day	2	5	0	3	13	63	0	570	91	0	0	5	0	86	0
Precinct 7705 - Vote By Mail	18	2	1	11	24	129	0	570	219	0	2	32	0	185	0
Precinct 7705	20	7	1	14	37	192	0	570	310	0	2	37	0	271	0
Precinct 7706 - Election Day	15	3	0	8	22	95	0	839	151	0	1	7	0	143	0
Precinct 7706 - Vote By Mail	20	1	2	12	30	227	0	839	337	0	0	45	0	292	0
Precinct 7706	35	4	2	20	52	322	0	839	488	0	1	52	0	435	0
Precinct 7707 - Election Day	12	3	0	7	11	91	0	861	139	0	0	15	0	124	0
Precinct 7707 - Vote By Mail	34	7	4	11	16	233	0	861	344	0	2	37	0	305	0
Precinct 7707	46	10	4	18	27	324	0	861	483	0	2	52	0	429	0
Precinct 7708 - Election Day	9	2	3	5	7	79	0	881	116	0	0	11	0	105	0
Precinct 7708 - Vote By Mail	36	13	1	17	31	221	0	881	358	0	0	39	0	319	0
