Subtotal Area	PAUL MIYAMOTO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
Portola - Vote By Mail	2,111	9,927	2,924	0	1	812	0	2,111	0
Portola	2,711	9,927	3,734	0	1	1,022	0	2,711	0
Potrero Hill - Election Day	1,250	16,717	1,709	0	0	459	0	1,250	0
Potrero Hill - Vote By Mail	3,445	16,717	4,950	0	0	1,505	0	3,445	0
Potrero Hill	4,695	16,717	6,659	0	0	1,964	0	4,695	0
Richmond - Election Day	3,537	37,882	4,923	0	1	1,385	0	3,537	0
Richmond - Vote By Mail	7,994	37,882	11,263	0	1	3,268	0	7,994	0
Richmond	11,531	37,882	16,186	0	2	4,653	0	11,531	0
Sea Cliff/Presidio Heights - Election Day	626	6,193	810	0	0	184	0	626	0
Sea Cliff/Presidio Heights - Vote By Mail	1,504	6,193	2,005	0	0	501	0	1,504	0
Sea Cliff/Presidio Heights	2,130	6,193	2,815	0	0	685	0	2,130	0
South of Bernal Heights - Election Day	798	7,872	1,104	0	0	306	0	798	0
South of Bernal Heights - Vote By Mail	1,677	7,872	2,480	0	1	802	0	1,677	0
South of Bernal Heights	2,475	7,872	3,584	0	1	1,108	0	2,475	0
South of Market - Election Day	1,296	24,361	1,800	0	0	504	0	1,296	0
South of Market - Vote By Mail	4,546	24,361	6,390	0	0	1,844	0	4,546	0
South of Market	5,842	24,361	8,190	0	0	2,348	0	5,842	0
Sunset - Election Day	3,516	42,750	4,923	0	0	1,407	0	3,516	0
Sunset - Vote By Mail	8,966	42,750	12,872	0	7	3,899	0	8,966	0
Sunset	12,482	42,750	17,795	0	7	5,306	0	12,482	0
Upper Market/Eureka Valley - Election Day	2,240	19,329	3,077	0	0	837	0	2,240	0
Upper Market/Eureka Valley - Vote By Mail	4,909	19,329	7,002	0	1	2,092	0	4,909	0
Upper Market/Eureka Valley	7,149	19,329	10,079	0	1	2,929	0	7,149	0
Visitation Valley - Election Day	348	7,912	488	0	0	140	0	348	0
Visitation Valley - Vote By Mail	1,437	7,912	1,957	0	1	519	0	1,437	0
Visitation Valley	1,785	7,912	2,445	0	1	659	0	1,785	0
West of Twin Peaks - Election Day	3,559	33,087	4,572	0	1	1,012	0	3,559	0
West of Twin Peaks - Vote By Mail	8,899	33,087	11,829	0	0	2,930	0	8,899	0
West of Twin Peaks	12,458	33,087	16,401	0	1	3,942	0	12,458	0
Western Addition - Election Day	2,597	26,737	3,810	0	0	1,213	0	2,597	0
Western Addition - Vote By Mail	5,686	26,737	8,270	0	1	2,583	0	5,686	0
Western Addition	8,283	26,737	12,080	0	1	3,796	0	8,283	0
