Subtotal Area	IVY LEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7546/7547 - Election Day	273	1,900	340	0	0	67	273	0
Precinct 7546/7547 - Vote By Mail	541	1,900	672	0	0	131	541	0
Precinct 7546/7547	814	1,900	1,012	0	0	198	814	0
Precinct 7548 - Election Day	161	1,027	197	0	0	36	161	0
Precinct 7548 - Vote By Mail	250	1,027	322	0	1	71	250	0
Precinct 7548	411	1,027	519	0	1	107	411	0
Precinct 7549 - Election Day	111	799	135	0	0	24	111	0
Precinct 7549 - Vote By Mail	201	799	285	0	0	84	201	0
Precinct 7549	312	799	420	0	0	108	312	0
Precinct 7552 - Election Day	108	685	136	0	0	28	108	0
Precinct 7552 - Vote By Mail	151	685	213	0	0	62	151	0
Precinct 7552	259	685	349	0	0	90	259	0
Precinct 7553 MB - Election Day	1	182	1	0	0	0	1	0
Precinct 7553 MB - Vote By Mail	58	182	81	0	0	23	58	0
Precinct 7553 MB	59	182	82	0	0	23	59	0
Precinct 7554 - Election Day	100	795	135	0	0	35	100	0
Precinct 7554 - Vote By Mail	226	795	313	0	0	87	226	0
Precinct 7554	326	795	448	0	0	122	326	0
Precinct 7555/7551 - Election Day	271	1,584	340	0	0	69	271	0
Precinct 7555/7551 - Vote By Mail	433	1,584	565	0	0	132	433	0
Precinct 7555/7551	704	1,584	905	0	0	201	704	0
Precinct 7556/7557 - Election Day	107	958	147	0	0	40	107	0
Precinct 7556/7557 - Vote By Mail	317	958	400	0	0	83	317	0
Precinct 7556/7557	424	958	547	0	0	123	424	0
Precinct 7601 - Election Day	58	677	81	0	0	23	58	0
Precinct 7601 - Vote By Mail	118	677	150	0	0	32	118	0
Precinct 7601	176	677	231	0	0	55	176	0
Precinct 7602/7603 - Election Day	128	1,659	174	0	0	46	128	0
Precinct 7602/7603 - Vote By Mail	313	1,659	381	0	0	68	313	0
Precinct 7602/7603	441	1,659	555	0	0	114	441	0
Precinct 7605/7609 - Election Day	98	1,508	115	0	0	17	98	0
Precinct 7605/7609 - Vote By Mail	379	1,508	444	0	1	64	379	0
Precinct 7605/7609	477	1,508	559	0	1	81	477	0
Precinct 7606 - Election Day	63	887	75	0	0	12	63	0
Precinct 7606 - Vote By Mail	138	887	179	0	0	41	138	0
Precinct 7606	201	887	254	0	0	53	201	0
Precinct 7607 - Election Day	69	900	86	0	0	17	69	0
Precinct 7607 - Vote By Mail	187	900	236	0	0	49	187	0
Precinct 7607	256	900	322	0	0	66	256	0
Precinct 7608/7604 - Election Day	83	1,300	102	0	0	19	83	0
Precinct 7608/7604 - Vote By Mail	230	1,300	278	0	0	48	230	0
Precinct 7608/7604	313	1,300	380	0	0	67	313	0
Precinct 7611 - Election Day	53	763	65	0	0	12	53	0
Precinct 7611 - Vote By Mail	146	763	189	0	0	43	146	0
Precinct 7611	199	763	254	0	0	55	199	0
Precinct 7613/7612 - Election Day	101	1,421	139	0	0	38	101	0
Precinct 7613/7612 - Vote By Mail	278	1,421	374	0	0	96	278	0
Precinct 7613/7612	379	1,421	513	0	0	134	379	0
Precinct 7614 - Election Day	63	932	83	0	0	20	63	0
Precinct 7614 - Vote By Mail	152	932	188	0	0	36	152	0
Precinct 7614	215	932	271	0	0	56	215	0
Precinct 7615 - Election Day	50	745	61	0	0	11	50	0
Precinct 7615 - Vote By Mail	124	745	153	0	1	28	124	0
Precinct 7615	174	745	214	0	1	39	174	0
Precinct 7616/7654 - Election Day	75	1,246	90	0	0	15	75	0
Precinct 7616/7654 - Vote By Mail	267	1,246	350	0	0	83	267	0
Precinct 7616/7654	342	1,246	440	0	0	98	342	0
Precinct 7617 - Election Day	34	737	49	0	0	15	34	0
Precinct 7617 - Vote By Mail	153	737	197	0	0	44	153	0
Precinct 7617	187	737	246	0	0	59	187	0
Precinct 7618 - Election Day	62	873	82	0	0	20	62	0
Precinct 7618 - Vote By Mail	182	873	239	0	0	57	182	0
Precinct 7618	244	873	321	0	0	77	244	0
Precinct 7619 - Election Day	68	1,055	89	0	0	21	68	0
Precinct 7619 - Vote By Mail	217	1,055	300	0	0	83	217	0
Precinct 7619	285	1,055	389	0	0	104	285	0
Precinct 7621 - Election Day	72	1,064	89	0	0	17	72	0
Precinct 7621 - Vote By Mail	222	1,064	290	0	0	68	222	0
Precinct 7621	294	1,064	379	0	0	85	294	0
Precinct 7622 - Election Day	55	923	68	0	0	13	55	0
Precinct 7622 - Vote By Mail	126	923	157	0	0	31	126	0
Precinct 7622	181	923	225	0	0	44	181	0
Precinct 7623 - Election Day	70	965	81	0	0	11	70	0
Precinct 7623 - Vote By Mail	155	965	188	0	1	32	155	0
Precinct 7623	225	965	269	0	1	43	225	0
Precinct 7624 - Election Day	53	835	60	0	0	7	53	0
Precinct 7624 - Vote By Mail	140	835	175	0	0	35	140	0
Precinct 7624	193	835	235	0	0	42	193	0
Precinct 7625 - Election Day	30	809	40	0	0	10	30	0
Precinct 7625 - Vote By Mail	304	809	401	0	0	97	304	0
Precinct 7625	334	809	441	0	0	107	334	0
Precinct 7626 - Election Day	51	1,037	61	0	0	10	51	0
Precinct 7626 - Vote By Mail	223	1,037	298	0	0	75	223	0
Precinct 7626	274	1,037	359	0	0	85	274	0
Precinct 7628 - Election Day	78	933	98	0	0	20	78	0
Precinct 7628 - Vote By Mail	167	933	233	0	0	66	167	0
Precinct 7628	245	933	331	0	0	86	245	0
Precinct 7629 - Election Day	61	847	73	0	0	12	61	0
Precinct 7629 - Vote By Mail	129	847	188	0	0	59	129	0
Precinct 7629	190	847	261	0	0	71	190	0
Precinct 7632 - Election Day	75	1,112	94	0	0	19	75	0
Precinct 7632 - Vote By Mail	198	1,112	258	0	0	60	198	0
Precinct 7632	273	1,112	352	0	0	79	273	0
Precinct 7633/7631 - Election Day	119	1,902	153	0	0	34	119	0
Precinct 7633/7631 - Vote By Mail	399	1,902	516	0	0	117	399	0
Precinct 7633/7631	518	1,902	669	0	0	151	518	0
Precinct 7634 - Election Day	59	864	86	0	0	27	59	0
Precinct 7634 - Vote By Mail	201	864	254	0	0	53	201	0
Precinct 7634	260	864	340	0	0	80	260	0
Precinct 7635 - Election Day	51	821	60	0	0	9	51	0
Precinct 7635 - Vote By Mail	177	821	219	0	0	42	177	0
Precinct 7635	228	821	279	0	0	51	228	0
Precinct 7636 - Election Day	65	945	79	0	0	14	65	0
Precinct 7636 - Vote By Mail	163	945	233	0	0	70	163	0
Precinct 7636	228	945	312	0	0	84	228	0
Precinct 7637 - Election Day	47	841	56	0	0	9	47	0
Precinct 7637 - Vote By Mail	177	841	235	0	0	58	177	0
Precinct 7637	224	841	291	0	0	67	224	0
Precinct 7638/7656 - Election Day	55	1,467	89	0	0	34	55	0
Precinct 7638/7656 - Vote By Mail	318	1,467	461	0	0	143	318	0
Precinct 7638/7656	373	1,467	550	0	0	177	373	0
Precinct 7639/7641 - Election Day	102	1,935	136	0	0	34	102	0
Precinct 7639/7641 - Vote By Mail	423	1,935	596	0	0	173	423	0
Precinct 7639/7641	525	1,935	732	0	0	207	525	0
Precinct 7642 - Election Day	49	946	68	0	0	19	49	0
Precinct 7642 - Vote By Mail	143	946	207	0	0	64	143	0
Precinct 7642	192	946	275	0	0	83	192	0
Precinct 7643 - Election Day	70	927	86	0	0	16	70	0
Precinct 7643 - Vote By Mail	232	927	308	0	1	75	232	0
Precinct 7643	302	927	394	0	1	91	302	0
Precinct 7644 - Election Day	70	1,111	87	0	0	17	70	0
Precinct 7644 - Vote By Mail	190	1,111	249	0	0	59	190	0
Precinct 7644	260	1,111	336	0	0	76	260	0
Precinct 7645 - Election Day	32	626	42	0	0	10	32	0
Precinct 7645 - Vote By Mail	146	626	218	0	0	72	146	0
Precinct 7645	178	626	260	0	0	82	178	0
Precinct 7646 - Election Day	47	1,090	60	0	0	13	47	0
Precinct 7646 - Vote By Mail	254	1,090	347	0	0	93	254	0
Precinct 7646	301	1,090	407	0	0	106	301	0
Precinct 7647 - Election Day	48	968	55	0	0	7	48	0
Precinct 7647 - Vote By Mail	110	968	136	0	0	26	110	0
Precinct 7647	158	968	191	0	0	33	158	0
Precinct 7648 MB - Election Day	0	2	0	0	0	0	0	0
Precinct 7648 MB - Vote By Mail	0	2	0	0	0	0	0	0
Precinct 7648 MB	0	2	0	0	0	0	0	0
Precinct 7649 - Election Day	48	888	58	0	0	10	48	0
Precinct 7649 - Vote By Mail	166	888	213	0	0	47	166	0
Precinct 7649	214	888	271	0	0	57	214	0
Precinct 7651 - Election Day	42	830	50	0	0	8	42	0
Precinct 7651 - Vote By Mail	159	830	207	0	0	48	159	0
Precinct 7651	201	830	257	0	0	56	201	0
Precinct 7652 - Election Day	37	596	48	0	0	11	37	0
Precinct 7652 - Vote By Mail	102	596	152	0	0	50	102	0
Precinct 7652	139	596	200	0	0	61	139	0
Precinct 7653/7657 - Election Day	70	1,373	79	0	0	9	70	0
Precinct 7653/7657 - Vote By Mail	266	1,373	367	0	0	101	266	0
Precinct 7653/7657	336	1,373	446	0	0	110	336	0
Precinct 7655/7627 - Election Day	38	1,150	62	0	0	24	38	0
Precinct 7655/7627 - Vote By Mail	199	1,150	270	0	0	71	199	0
Precinct 7655/7627	237	1,150	332	0	0	95	237	0
Precinct 7701 - Election Day	103	1,035	139	0	0	36	103	0
Precinct 7701 - Vote By Mail	283	1,035	372	0	0	89	283	0
Precinct 7701	386	1,035	511	0	0	125	386	0
Precinct 7703 MB - Election Day	1	178	1	0	0	0	1	0
Precinct 7703 MB - Vote By Mail	41	178	55	0	0	14	41	0
Precinct 7703 MB	42	178	56	0	0	14	42	0
Precinct 7704/7702 - Election Day	201	1,723	249	0	0	48	201	0
Precinct 7704/7702 - Vote By Mail	479	1,723	632	0	0	153	479	0
Precinct 7704/7702	680	1,723	881	0	0	201	680	0
Precinct 7705 - Election Day	72	570	91	0	0	19	72	0
Precinct 7705 - Vote By Mail	164	570	219	0	0	55	164	0
Precinct 7705	236	570	310	0	0	74	236	0
Precinct 7706 - Election Day	125	839	151	0	0	26	125	0
Precinct 7706 - Vote By Mail	252	839	337	0	0	85	252	0
Precinct 7706	377	839	488	0	0	111	377	0
Precinct 7707 - Election Day	119	861	139	0	0	20	119	0
Precinct 7707 - Vote By Mail	253	861	345	0	0	92	253	0
Precinct 7707	372	861	484	0	0	112	372	0
Precinct 7708 - Election Day	91	881	116	0	0	25	91	0
Precinct 7708 - Vote By Mail	278	881	359	0	0	81	278	0
Precinct 7708	369	881	475	0	0	106	369	0
Precinct 7709 - Election Day	61	395	75	0	0	14	61	0
Precinct 7709 - Vote By Mail	117	395	150	0	0	33	117	0
Precinct 7709	178	395	225	0	0	47	178	0
Precinct 7712/7711 - Election Day	164	1,308	198	0	0	34	164	0
Precinct 7712/7711 - Vote By Mail	346	1,308	454	0	0	108	346	0
Precinct 7712/7711	510	1,308	652	0	0	142	510	0
Precinct 7801 - Election Day	112	968	138	0	0	26	112	0
Precinct 7801 - Vote By Mail	266	968	367	0	0	101	266	0
Precinct 7801	378	968	505	0	0	127	378	0
Precinct 7802 - Election Day	110	788	131	0	0	21	110	0
Precinct 7802 - Vote By Mail	193	788	275	0	0	82	193	0
Precinct 7802	303	788	406	0	0	103	303	0
Precinct 7803 - Election Day	66	822	85	0	0	19	66	0
Precinct 7803 - Vote By Mail	272	822	373	0	0	101	272	0
Precinct 7803	338	822	458	0	0	120	338	0
Precinct 7805/7804 - Election Day	228	1,683	283	0	0	55	228	0
Precinct 7805/7804 - Vote By Mail	463	1,683	631	0	0	168	463	0
Precinct 7805/7804	691	1,683	914	0	0	223	691	0
Precinct 7807 - Election Day	124	796	155	0	0	31	124	0
Precinct 7807 - Vote By Mail	174	796	243	0	0	69	174	0
Precinct 7807	298	796	398	0	0	100	298	0
Precinct 7808/7806 - Election Day	191	1,377	243	0	0	52	191	0
Precinct 7808/7806 - Vote By Mail	349	1,377	462	0	0	113	349	0
Precinct 7808/7806	540	1,377	705	0	0	165	540	0
Precinct 7809 - Election Day	91	770	112	0	0	21	91	0
Precinct 7809 - Vote By Mail	178	770	249	0	0	71	178	0
Precinct 7809	269	770	361	0	0	92	269	0
Precinct 7811 - Election Day	110	726	126	0	0	16	110	0
Precinct 7811 - Vote By Mail	158	726	199	0	0	41	158	0
Precinct 7811	268	726	325	0	0	57	268	0
Precinct 7812 - Election Day	105	871	132	0	0	27	105	0
Precinct 7812 - Vote By Mail	210	871	286	0	0	76	210	0
Precinct 7812	315	871	418	0	0	103	315	0
Precinct 7813 - Election Day	153	1,037	179	0	0	26	153	0
Precinct 7813 - Vote By Mail	282	1,037	348	0	0	66	282	0
Precinct 7813	435	1,037	527	0	0	92	435	0
Precinct 7814 - Election Day	93	887	122	0	1	28	93	0
Precinct 7814 - Vote By Mail	158	887	215	0	1	56	158	0
Precinct 7814	251	887	337	0	2	84	251	0
Precinct 7815/7816 - Election Day	185	1,779	231	0	0	46	185	0
Precinct 7815/7816 - Vote By Mail	506	1,779	661	0	0	155	506	0
Precinct 7815/7816	691	1,779	892	0	0	201	691	0
Precinct 7817/7818 - Election Day	237	1,641	291	0	0	54	237	0
Precinct 7817/7818 - Vote By Mail	437	1,641	588	0	0	151	437	0
Precinct 7817/7818	674	1,641	879	0	0	205	674	0
Precinct 7819/7827 - Election Day	194	1,585	230	0	0	36	194	0
Precinct 7819/7827 - Vote By Mail	387	1,585	499	0	0	112	387	0
Precinct 7819/7827	581	1,585	729	0	0	148	581	0
Precinct 7821 - Election Day	134	965	168	0	1	33	134	0
Precinct 7821 - Vote By Mail	277	965	371	0	0	94	277	0
Precinct 7821	411	965	539	0	1	127	411	0
Precinct 7822/7823 - Election Day	273	1,748	322	0	0	49	273	0
Precinct 7822/7823 - Vote By Mail	484	1,748	629	0	0	145	484	0
Precinct 7822/7823	757	1,748	951	0	0	194	757	0
Precinct 7824/7825 - Election Day	199	1,353	243	0	0	44	199	0
Precinct 7824/7825 - Vote By Mail	317	1,353	418	0	0	101	317	0
Precinct 7824/7825	516	1,353	661	0	0	145	516	0
Precinct 7826 - Election Day	113	661	139	0	0	26	113	0
Precinct 7826 - Vote By Mail	128	661	175	0	0	47	128	0
Precinct 7826	241	661	314	0	0	73	241	0
Precinct 7828 - Election Day	107	997	132	0	0	25	107	0
Precinct 7828 - Vote By Mail	253	997	327	0	0	74	253	0
Precinct 7828	360	997	459	0	0	99	360	0
Precinct 7829 - Election Day	104	884	134	0	0	30	104	0
Precinct 7829 - Vote By Mail	241	884	346	0	0	105	241	0
Precinct 7829	345	884	480	0	0	135	345	0
Precinct 7832 - Election Day	85	773	103	0	0	18	85	0
Precinct 7832 - Vote By Mail	215	773	290	0	0	75	215	0
Precinct 7832	300	773	393	0	0	93	300	0
Precinct 7834/7833 - Election Day	212	1,593	279	0	0	67	212	0
Precinct 7834/7833 - Vote By Mail	362	1,593	474	0	0	112	362	0
Precinct 7834/7833	574	1,593	753	0	0	179	574	0
Precinct 7835 - Election Day	76	847	97	0	0	21	76	0
Precinct 7835 - Vote By Mail	224	847	289	0	0	65	224	0
Precinct 7835	300	847	386	0	0	86	300	0
Precinct 7836 - Election Day	103	1,011	131	0	0	28	103	0
Precinct 7836 - Vote By Mail	274	1,011	378	0	0	104	274	0
Precinct 7836	377	1,011	509	0	0	132	377	0
Precinct 7837/7838 - Election Day	226	1,784	281	0	0	55	226	0
Precinct 7837/7838 - Vote By Mail	499	1,784	675	0	0	176	499	0
Precinct 7837/7838	725	1,784	956	0	0	231	725	0
Precinct 7839/7831 - Election Day	189	1,718	238	0	0	49	189	0
Precinct 7839/7831 - Vote By Mail	487	1,718	681	0	0	194	487	0
Precinct 7839/7831	676	1,718	919	0	0	243	676	0
Precinct 7841/7842 - Election Day	269	1,778	331	0	0	62	269	0
Precinct 7841/7842 - Vote By Mail	426	1,778	566	0	0	140	426	0
Precinct 7841/7842	695	1,778	897	0	0	202	695	0
Precinct 7843 - Election Day	120	719	148	0	0	28	120	0
Precinct 7843 - Vote By Mail	166	719	226	0	0	60	166	0
Precinct 7843	286	719	374	0	0	88	286	0
Precinct 7844 - Election Day	91	630	105	0	0	14	91	0
Precinct 7844 - Vote By Mail	162	630	199	0	0	37	162	0
Precinct 7844	253	630	304	0	0	51	253	0
Precinct 7845 - Election Day	102	870	137	0	0	35	102	0
Precinct 7845 - Vote By Mail	220	870	298	0	0	78	220	0
Precinct 7845	322	870	435	0	0	113	322	0
Precinct 7846 - Election Day	97	888	122	0	0	25	97	0
Precinct 7846 - Vote By Mail	216	888	308	0	0	92	216	0
Precinct 7846	313	888	430	0	0	117	313	0
Precinct 7847/7848 - Election Day	219	1,718	274	0	0	55	219	0
Precinct 7847/7848 - Vote By Mail	440	1,718	593	0	0	153	440	0
Precinct 7847/7848	659	1,718	867	0	0	208	659	0
Precinct 7849 - Election Day	132	887	165	0	0	33	132	0
Precinct 7849 - Vote By Mail	243	887	314	0	0	71	243	0
Precinct 7849	375	887	479	0	0	104	375	0
Precinct 7852/7851 - Election Day	119	1,153	158	0	0	39	119	0
Precinct 7852/7851 - Vote By Mail	377	1,153	479	0	0	102	377	0
Precinct 7852/7851	496	1,153	637	0	0	141	496	0
Precinct 7853/7859 - Election Day	186	1,736	229	0	0	43	186	0
Precinct 7853/7859 - Vote By Mail	463	1,736	606	0	0	143	463	0
Precinct 7853/7859	649	1,736	835	0	0	186	649	0
Precinct 7854 - Election Day	92	866	127	0	0	35	92	0
Precinct 7854 - Vote By Mail	221	866	314	0	0	93	221	0
Precinct 7854	313	866	441	0	0	128	313	0
Precinct 7855/7856 - Election Day	257	1,775	307	0	0	50	257	0
Precinct 7855/7856 - Vote By Mail	443	1,775	600	0	0	157	443	0
Precinct 7855/7856	700	1,775	907	0	0	207	700	0
Precinct 7858/7857 - Election Day	200	1,646	251	0	0	51	200	0
Precinct 7858/7857 - Vote By Mail	406	1,646	530	0	0	124	406	0
Precinct 7858/7857	606	1,646	781	0	0	175	606	0
Precinct 7861 - Election Day	106	854	131	0	0	25	106	0
Precinct 7861 - Vote By Mail	229	854	310	0	0	81	229	0
Precinct 7861	335	854	441	0	0	106	335	0
Precinct 7862 - Election Day	134	857	155	0	0	21	134	0
Precinct 7862 - Vote By Mail	208	857	275	0	0	67	208	0
Precinct 7862	342	857	430	0	0	88	342	0
Precinct 7863 - Election Day	121	881	155	0	0	34	121	0
Precinct 7863 - Vote By Mail	210	881	264	0	0	54	210	0
Precinct 7863	331	881	419	0	0	88	331	0
Precinct 7864 - Election Day	108	804	127	0	0	19	108	0
Precinct 7864 - Vote By Mail	200	804	267	0	0	67	200	0
Precinct 7864	308	804	394	0	0	86	308	0
Precinct 7866 - Election Day	106	822	129	0	0	23	106	0
Precinct 7866 - Vote By Mail	267	822	357	0	0	90	267	0
Precinct 7866	373	822	486	0	0	113	373	0
Precinct 7867 - Election Day	112	969	149	0	0	37	112	0
Precinct 7867 - Vote By Mail	289	969	366	0	0	77	289	0
Precinct 7867	401	969	515	0	0	114	401	0
Precinct 7868 - Election Day	126	870	151	0	0	25	126	0
Precinct 7868 - Vote By Mail	211	870	268	0	0	57	211	0
Precinct 7868	337	870	419	0	0	82	337	0
Precinct 7869 - Election Day	121	863	146	0	0	25	121	0
Precinct 7869 - Vote By Mail	246	863	355	0	0	109	246	0
Precinct 7869	367	863	501	0	0	134	367	0
Precinct 7871 - Election Day	106	877	151	0	0	45	106	0
Precinct 7871 - Vote By Mail	245	877	303	0	0	58	245	0
Precinct 7871	351	877	454	0	0	103	351	0
Precinct 7872 - Election Day	122	863	157	0	0	35	122	0
Precinct 7872 - Vote By Mail	248	863	333	0	0	85	248	0
Precinct 7872	370	863	490	0	0	120	370	0
Precinct 7873/7865 - Election Day	227	1,688	279	0	0	52	227	0
Precinct 7873/7865 - Vote By Mail	448	1,688	618	0	0	170	448	0
Precinct 7873/7865	675	1,688	897	0	0	222	675	0
Precinct 7874 - Election Day	53	474	68	0	0	15	53	0
Precinct 7874 - Vote By Mail	111	474	143	0	0	32	111	0
Precinct 7874	164	474	211	0	0	47	164	0
Precinct 7875 - Election Day	64	624	82	0	0	18	64	0
Precinct 7875 - Vote By Mail	131	624	182	0	0	51	131	0
Precinct 7875	195	624	264	0	0	69	195	0
Precinct 7876 - Election Day	53	523	68	0	0	15	53	0
Precinct 7876 - Vote By Mail	129	523	182	0	0	53	129	0
Precinct 7876	182	523	250	0	0	68	182	0
Precinct 7902/7904 - Election Day	163	1,729	212	0	0	49	163	0
Precinct 7902/7904 - Vote By Mail	288	1,729	392	0	0	104	288	0
Precinct 7902/7904	451	1,729	604	0	0	153	451	0
Precinct 7903 - Election Day	88	826	112	0	0	24	88	0
Precinct 7903 - Vote By Mail	172	826	219	0	1	46	172	0
Precinct 7903	260	826	331	0	1	70	260	0
Precinct 7905 - Election Day	118	880	135	0	0	17	118	0
Precinct 7905 - Vote By Mail	200	880	262	0	0	62	200	0
Precinct 7905	318	880	397	0	0	79	318	0
Precinct 7906 - Election Day	84	757	104	0	0	20	84	0
Precinct 7906 - Vote By Mail	136	757	175	0	0	39	136	0
Precinct 7906	220	757	279	0	0	59	220	0
Precinct 7908/7907 - Election Day	213	1,907	266	0	0	53	213	0
Precinct 7908/7907 - Vote By Mail	415	1,907	515	0	0	100	415	0
Precinct 7908/7907	628	1,907	781	0	0	153	628	0
Precinct 7909 - Election Day	102	718	120	0	0	18	102	0
Precinct 7909 - Vote By Mail	161	718	199	0	0	38	161	0
Precinct 7909	263	718	319	0	0	56	263	0
Precinct 7911 - Election Day	100	845	122	0	0	22	100	0
Precinct 7911 - Vote By Mail	156	845	197	0	0	41	156	0
Precinct 7911	256	845	319	0	0	63	256	0
Precinct 7912/7913 - Election Day	267	1,940	320	0	0	53	267	0
Precinct 7912/7913 - Vote By Mail	379	1,940	489	0	1	109	379	0
Precinct 7912/7913	646	1,940	809	0	1	162	646	0
Precinct 7915/7914 - Election Day	223	1,692	283	0	0	60	223	0
Precinct 7915/7914 - Vote By Mail	344	1,692	427	0	0	83	344	0
Precinct 7915/7914	567	1,692	710	0	0	143	567	0
Precinct 7916 - Election Day	124	842	145	0	0	21	124	0
Precinct 7916 - Vote By Mail	180	842	238	0	0	58	180	0
Precinct 7916	304	842	383	0	0	79	304	0
Precinct 7917/7919 - Election Day	248	1,823	298	0	1	49	248	0
Precinct 7917/7919 - Vote By Mail	361	1,823	460	0	0	99	361	0
Precinct 7917/7919	609	1,823	758	0	1	148	609	0
Precinct 7918 - Election Day	105	798	129	0	0	24	105	0
Precinct 7918 - Vote By Mail	156	798	194	0	0	38	156	0
Precinct 7918	261	798	323	0	0	62	261	0
Precinct 7921/7922 - Election Day	175	1,729	220	0	0	45	175	0
Precinct 7921/7922 - Vote By Mail	345	1,729	437	0	0	92	345	0
Precinct 7921/7922	520	1,729	657	0	0	137	520	0
Precinct 7923/7924 - Election Day	197	1,708	233	0	0	36	197	0
Precinct 7923/7924 - Vote By Mail	335	1,708	433	0	1	97	335	0
Precinct 7923/7924	532	1,708	666	0	1	133	532	0
Precinct 7925 - Election Day	61	530	74	0	0	13	61	0
Precinct 7925 - Vote By Mail	119	530	165	0	0	46	119	0
Precinct 7925	180	530	239	0	0	59	180	0
Precinct 7926 - Election Day	118	783	143	0	0	25	118	0
Precinct 7926 - Vote By Mail	176	783	233	0	0	57	176	0
Precinct 7926	294	783	376	0	0	82	294	0
Precinct 7928/7927 - Election Day	253	1,661	310	0	0	57	253	0
Precinct 7928/7927 - Vote By Mail	402	1,661	533	0	0	131	402	0
Precinct 7928/7927	655	1,661	843	0	0	188	655	0
Precinct 7929 - Election Day	118	830	151	0	0	33	118	0
Precinct 7929 - Vote By Mail	244	830	311	0	0	67	244	0
Precinct 7929	362	830	462	0	0	100	362	0
Precinct 7931 - Election Day	93	742	116	0	0	23	93	0
Precinct 7931 - Vote By Mail	219	742	284	0	0	65	219	0
Precinct 7931	312	742	400	0	0	88	312	0
Precinct 7932 - Election Day	70	547	84	0	0	14	70	0
Precinct 7932 - Vote By Mail	134	547	177	0	0	43	134	0
Precinct 7932	204	547	261	0	0	57	204	0
Precinct 7933 MB - Election Day	0	7	0	0	0	0	0	0
Precinct 7933 MB - Vote By Mail	3	7	4	0	0	1	3	0
Precinct 7933 MB	3	7	4	0	0	1	3	0
Precinct 7934 - Election Day	105	866	125	0	0	20	105	0
Precinct 7934 - Vote By Mail	242	866	304	0	0	62	242	0
Precinct 7934	347	866	429	0	0	82	347	0
Precinct 7935 - Election Day	135	927	173	0	0	38	135	0
Precinct 7935 - Vote By Mail	230	927	311	0	0	81	230	0
Precinct 7935	365	927	484	0	0	119	365	0
Precinct 7936/7939 - Election Day	275	1,508	340	0	0	65	275	0
Precinct 7936/7939 - Vote By Mail	343	1,508	452	0	0	109	343	0
Precinct 7936/7939	618	1,508	792	0	0	174	618	0
Precinct 7937 - Election Day	125	899	155	0	0	30	125	0
Precinct 7937 - Vote By Mail	228	899	300	0	0	72	228	0
Precinct 7937	353	899	455	0	0	102	353	0
Precinct 7938 - Election Day	92	758	114	0	1	21	92	0
Precinct 7938 - Vote By Mail	160	758	203	0	0	43	160	0
Precinct 7938	252	758	317	0	1	64	252	0
Precinct 7941 - Election Day	97	752	117	0	0	20	97	0
Precinct 7941 - Vote By Mail	169	752	224	0	0	55	169	0
Precinct 7941	266	752	341	0	0	75	266	0
Precinct 7942 - Election Day	81	923	93	0	0	12	81	0
Precinct 7942 - Vote By Mail	215	923	270	0	0	55	215	0
Precinct 7942	296	923	363	0	0	67	296	0
Precinct 7943/7944 - Election Day	207	1,675	262	0	0	55	207	0
Precinct 7943/7944 - Vote By Mail	407	1,675	514	0	0	107	407	0
Precinct 7943/7944	614	1,675	776	0	0	162	614	0
Precinct 7945 - Election Day	60	940	66	0	0	6	60	0
Precinct 7945 - Vote By Mail	212	940	264	0	0	52	212	0
Precinct 7945	272	940	330	0	0	58	272	0
Precinct 7946/7949 - Election Day	112	1,553	132	0	0	20	112	0
Precinct 7946/7949 - Vote By Mail	363	1,553	468	0	0	105	363	0
Precinct 7946/7949	475	1,553	600	0	0	125	475	0
Precinct 7947 - Election Day	54	960	71	0	0	17	54	0
Precinct 7947 - Vote By Mail	218	960	290	0	0	72	218	0
Precinct 7947	272	960	361	0	0	89	272	0
Precinct 7948 - Election Day	78	918	94	0	0	16	78	0
Precinct 7948 - Vote By Mail	226	918	291	0	0	65	226	0
Precinct 7948	304	918	385	0	0	81	304	0
Precinct 7951/7955 - Election Day	118	1,818	137	0	1	18	118	0
Precinct 7951/7955 - Vote By Mail	444	1,818	588	0	0	144	444	0
Precinct 7951/7955	562	1,818	725	0	1	162	562	0
Precinct 7953 - Election Day	67	824	83	0	0	16	67	0
Precinct 7953 - Vote By Mail	186	824	246	0	0	60	186	0
Precinct 7953	253	824	329	0	0	76	253	0
Precinct 7954 MB - Election Day	0	1	0	0	0	0	0	0
Precinct 7954 MB - Vote By Mail	1	1	1	0	0	0	1	0
Precinct 7954 MB	1	1	1	0	0	0	1	0
Precinct 7956/7952 - Election Day	103	1,759	120	0	0	17	103	0
Precinct 7956/7952 - Vote By Mail	355	1,759	463	0	0	108	355	0
Precinct 7956/7952	458	1,759	583	0	0	125	458	0
Precinct 7957 - Election Day	61	665	74	0	0	13	61	0
Precinct 7957 - Vote By Mail	155	665	209	0	0	54	155	0
Precinct 7957	216	665	283	0	0	67	216	0
Precinct 7958 MB - Election Day	3	301	6	0	0	3	3	0
Precinct 7958 MB - Vote By Mail	62	301	91	0	0	29	62	0
Precinct 7958 MB	65	301	97	0	0	32	65	0
Precinct 7959/7901 - Election Day	104	1,198	127	0	0	23	104	0
Precinct 7959/7901 - Vote By Mail	230	1,198	280	0	0	50	230	0
Precinct 7959/7901	334	1,198	407	0	0	73	334	0
